Running with TEMP=0.9, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Lateral Motor Column Neuron Migration -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Calcium Ion Import Into Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Calcium Ion Import Into Sarcoplasmic Reticulum -> Biodomain: Muscle System, Ion Transport, Intracellular Structures and Organelles, Cell Signaling, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Flagellated Sperm Motility -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Calcitriol Binding -> Biodomain: Metal Binding and Homeostasis, Immune Response, Cell Cycle, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Metaphase/Anaphase Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Leukocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process -> Biodomain: Mitochondrial Metabolism, Apoptosis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Organelle Assembly -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism, Endolysosome
GO Term: Positive Regulation Of Organelle Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Calcidiol Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Lithocholic Acid Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Chenodeoxycholic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Response To Inositol -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Response To Dna Integrity Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Response To Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Cellular Response To Reactive Nitrogen Species -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Immune Response
GO Term: Regulation Of Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Endolysosome, Immune Response
GO Term: Negative Regulation Of Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Fibroblast Growth Factor Receptor Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Hepatocyte Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Hepatocyte Growth Factor Receptor Signaling Pathway -> Biodomain: Proteostasis, Endolysosome, Vasculature, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Hepatocyte Growth Factor Receptor Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Interleukin-2-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Prolactin Signaling Pathway -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Interleukin-4-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Interleukin-4-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Erythrocyte Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Vasculature, Proteostasis
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Ketone Body Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Acrosome Reaction -> Biodomain: Oxidative Stress, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Macrophage Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Macrophage Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Lipid Metabolism
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism
GO Term: Regulation Of Positive Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Positive Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress By P53 Class Mediator -> Biodomain: Apoptosis, Oxidative Stress, DNA Repair, Proteostasis, Tau Homeostasis
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress By P53 Class Mediator -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Cell Cycle, DNA Repair
GO Term: Geranylgeranyl Diphosphate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Erythrocyte Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Immune Response, Oxidative Stress, Proteostasis
GO Term: Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, DNA Repair, Oxidative Stress
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: Regulation Of Apoptotic Process Involved In Outflow Tract Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Apoptotic Process Involved In Outflow Tract Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Proteostasis, Immune Response
GO Term: Regulation Of Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Proteostasis, Vasculature, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Negative Regulation Of Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Vasculature
GO Term: Apoptotic Process Involved In Blood Vessel Morphogenesis -> Biodomain: Apoptosis, Vasculature, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Apoptotic Process Involved In Embryonic Digit Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, DNA Repair, Synapse
GO Term: Negative Regulation Of Polyamine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Polyamine Transmembrane Transport -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis, Apoptosis
GO Term: (R)-Carnitine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: D3 Vitamins Binding -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Immune Response, Oxidative Stress, Epigenetic
GO Term: Regulation Of Chromatin Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Voltage-Gated Potassium Channel Activity Involved In Ventricular Cardiac Muscle Cell Action Potential Repolarization -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Semaphorin-Plexin Signaling Pathway Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Sodium Ion Transmembrane Transport -> Biodomain: Synapse, Vasculature, Proteostasis, Myelination, Oxidative Stress
GO Term: Negative Regulation Of Sodium Ion Transmembrane Transport -> Biodomain: Vasculature, Synapse, Metal Binding and Homeostasis, Myelination, Proteostasis
GO Term: Positive Regulation Of Sodium Ion Transmembrane Transport -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Copper Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Positive Regulation Of Apoptotic Process Involved In Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Autophagy
GO Term: Response To Chloroquine -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Cellular Response To Chloroquine -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Immune Response
GO Term: Oxaloacetate(2-) Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Sulfate Transmembrane Transport -> Biodomain: Endolysosome, Lipid Metabolism, Myelination, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Melanocyte Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Protein Localization To Spindle Pole Body -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, DNA Repair
GO Term: Negative Regulation Of Notch Signaling Pathway Involved In Somitogenesis -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Negative Regulation Of Rna Catabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Immune Response, Autophagy
GO Term: Negative Regulation Of Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Chemoattractant Activity Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Lipid Metabolism, Immune Response
GO Term: Ceramide 1-Phosphate Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Ceramide 1-Phosphate Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Ceramide 1-Phosphate Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Protein Localization To Bicellular Tight Junction -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Synapse, Lipid Metabolism
GO Term: Mitotic Cytokinetic Process -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Mitotic Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Localization To Cell Junction -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Myelination
GO Term: Positive Regulation Of Mrna Binding -> Biodomain: RNA Spliceosome, Immune Response, Synapse, Cell Cycle, Autophagy
GO Term: Regulation Of Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Negative Regulation Of Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Deactivation Of Mitotic Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis, DNA Repair
GO Term: Negative Regulation Of Amyloid-Beta Formation -> Biodomain: APP Metabolism, Proteostasis, Tau Homeostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Male Mating Behavior -> Biodomain: Synapse, Epigenetic, Proteostasis, Lipid Metabolism, Myelination
GO Term: Negative Regulation Of Ripoptosome Assembly Involved In Necroptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Riboflavin Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Mitochondrial Membrane Permeability Involved In Programmed Necrotic Cell Death -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Stem Cell Population Maintenance -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Stem Cell Population Maintenance -> Biodomain: Stem Cell Biology, Developmental Biology, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Mesenchymal Stem Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Mesenchymal Stem Cell Proliferation -> Biodomain: Cell Cycle, Mitochondrial Metabolism, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Protein Localization To Cell Leading Edge -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Protein Localization To Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Protein Localization To Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Tau Homeostasis, Autophagy
GO Term: L-Alpha-Amino Acid Transmembrane Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Synapse, Endolysosome, Autophagy
GO Term: Chloride Transmembrane Transport -> Biodomain: Ion Homeostasis, Membrane Transport, Cell Signaling, Cell Physiology, Neuronal Signaling
GO Term: Protein Localization To Mitotic Spindle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulatory T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Endolysosome
GO Term: Cytotoxic T Cell Pyroptotic Cell Death -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Sperm Capacitation -> Biodomain: Oxidative Stress, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Negative Regulation Of Sperm Capacitation -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Sperm Capacitation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Acetyltransferase Complex -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Catalytic Complex -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Transmembrane Transporter Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Regulation Of Protein Autoubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Positive Regulation Of Protein Autoubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Lysosomal Hops Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Lipid Metabolism
GO Term: Regulation Of Apoptotic Dna Fragmentation -> Biodomain: Apoptosis, DNA Repair, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Apoptotic Dna Fragmentation -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Apoptotic Dna Fragmentation -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Regulation Of Organelle Transport Along Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Calcium Ion Transmembrane Transport Via High Voltage-Gated Calcium Channel -> Biodomain: Synapse, Vasculature, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Protein K63-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Immune Response, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Protein K48-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Cell Cycle, Epigenetic
GO Term: Regulation Of Protein Monoubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Immune Response
GO Term: Positive Regulation Of Protein Monoubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, DNA Repair, Apoptosis
GO Term: Positive Regulation Of Protein Linear Polyubiquitination -> Biodomain: Proteostasis, Apoptosis, Immune Response, Autophagy, DNA Repair
GO Term: Regulation Of Intracellular Signal Transduction -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Intracellular Signal Transduction -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Intracellular Signal Transduction -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Cellular Response To Vascular Endothelial Growth Factor Stimulus -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Catalase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Serine/Threonine Protein Kinase Complex -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Autophagy, Proteostasis
GO Term: Endoribonuclease Complex -> Biodomain: RNA Spliceosome, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: 5'-Adenylyl Sulfate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: 3'-Phospho-5'-Adenylyl Sulfate Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Gmp Reductase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: H4 Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Neutrophil Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Negative Regulation Of Neutrophil Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Neutrophil Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Vasculature
GO Term: Negative Regulation Of Eosinophil Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Protein Localization To Nucleolus -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, RNA Spliceosome, DNA Repair
GO Term: Proton Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Immune Response, Oxidative Stress
GO Term: Silver Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Carnitine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Heterotrimeric G-Protein Complex Assembly -> Biodomain: Proteostasis, Synapse, Immune Response, Vasculature, Cell Cycle
GO Term: Positive Regulation Of Large Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Anti-Mullerian Hormone Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Epigenetic, Immune Response
GO Term: Immune Response Involved In Response To Exogenous Dsrna -> Biodomain: Immune Response, Apoptosis, Endolysosome, Oxidative Stress, Proteostasis
GO Term: O-Acyl-L-Carnitine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Response To Fluoride -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To Fluoride -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Neutrophil Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Neutrophil Migration -> Biodomain: Immune Response, Vasculature, Apoptosis, Autophagy, Proteostasis
GO Term: Positive Regulation Of Neutrophil Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Assembly Of Large Subunit Precursor Of Preribosome -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, RNA Spliceosome, Epigenetic
GO Term: Regulation Of Mrna Stability Involved In Cellular Response To Uv -> Biodomain: DNA Repair, Oxidative Stress, RNA Spliceosome, Proteostasis, Apoptosis
GO Term: Regulation Of Membrane Hyperpolarization -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Membrane Hyperpolarization -> Biodomain: Synapse, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Vasculature
GO Term: Positive Regulation Of Membrane Hyperpolarization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Vasculature
GO Term: 1-Phosphatidyl-1D-Myo-Inositol 4,5-Bisphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Autophagy, Cell Cycle
GO Term: 1-Phosphatidyl-1D-Myo-Inositol 4,5-Bisphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Cell Cycle, Autophagy, Endolysosome, Proteostasis
GO Term: Kinociliary Basal Body -> Biodomain: Cilium Organization, Organelle Biogenesis And Maintenance, Structural Stabilization, Cell Morphogenesis, Cellular Assembly And Organization
GO Term: Calcium Ion Import Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Synapse, Immune Response, Vasculature, Apoptosis
GO Term: Regulation Of Glucose Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Glucose Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, RNA Spliceosome
GO Term: Positive Regulation Of Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Autophagy, Cell Cycle
GO Term: Carbon Dioxide Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Negative Regulation Of Rna Biosynthetic Process -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Rna Biosynthetic Process -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Proteostasis, Cell Cycle
