Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: 8-Oxo-Gdp Phosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Mitochondrial Metabolism, Unknown
GO Term: 8-Hydroxy-Dadp Phosphatase Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Protein Import Into Peroxisome Matrix, Substrate Release -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: Epigenetic Programming In The Zygotic Pronuclei -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Unknown
GO Term: Epigenetic Programing Of Female Pronucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Epigenetic Programing Of Male Pronucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Unknown
GO Term: Hemi-Methylated Dna-Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Unknown
GO Term: Cellular Response To Human Chorionic Gonadotropin Stimulus -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Immune Response, Cell Cycle
GO Term: Response To Human Chorionic Gonadotropin -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Amphisome -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Autolysosome -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Cell Cycle Phase Transition -> Biodomain: Cell Cycle, Cellular Process, DNA Repair, Structural Stabilization, Epigenetic
GO Term: Meiotic Cell Cycle Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Autophagy, Proteostasis, Epigenetic
GO Term: Mitotic Cell Cycle Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Mitotic Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Mitotic Dna Integrity Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Meiotic Dna Integrity Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Signal Transduction, Epigenetic, Apoptosis
GO Term: Meiotic Spindle Checkpoint Signaling -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Cilium Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Synapse, Vasculature
GO Term: Metaphase/Anaphase Transition Of Cell Cycle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Modulation By Host Of Viral Process -> Biodomain: Immune Response, Autophagy, Apoptosis, Epigenetic, Endolysosome
GO Term: Suppression Of Viral Release By Host -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation By Host Of Viral Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation By Host Of Viral Process -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Trans-Golgi Network To Recycling Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Unknown
GO Term: Nucleophagy -> Biodomain: Autophagy, Endolysosome, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Mitotic G2/M Transition Checkpoint -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Autophagy, Proteostasis
GO Term: Mitotic G1/S Transition Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Modulation By Host Of Viral Genome Replication -> Biodomain: Viral Process, Host-Pathogen Interaction, Immune Response, Endolysosome, Autophagy
GO Term: Negative Regulation By Host Of Viral Genome Replication -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Positive Regulation By Host Of Viral Genome Replication -> Biodomain: Immune Response, DNA Repair, Proteostasis, Apoptosis, Epigenetic
GO Term: Modulation By Host Of Viral Rna Genome Replication -> Biodomain: Immune Response, RNA Spliceosome, Endolysosome, Autophagy, Apoptosis
GO Term: Cell Cycle G2/M Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Proteostasis
GO Term: Cell Cycle G1/S Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Apoptosis
GO Term: Estrous Cycle -> Biodomain: Endolysosome, Autophagy, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Plasma Membrane Raft -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization
GO Term: Plasma Membrane Raft Assembly -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Plasma Membrane Raft Distribution -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Plasma Membrane Raft Organization -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Protein Localization To Plasma Membrane Raft -> Biodomain: Proteostasis,Lipid Metabolism,Structural Stabilization,Endolysosome,Synapse
GO Term: Protein Transport Into Plasma Membrane Raft -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Immune Response, Synapse
GO Term: Negative Regulation By Host Of Viral Glycoprotein Metabolic Process -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Glycoprotein Metabolic Process, Autophagy
GO Term: Lipoprotein Localization To Membrane -> Biodomain: Lipid Metabolism, Vasculature, Structural Stabilization, Proteostasis, Immune Response
GO Term: Protein-Containing Complex Binding -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Immune Response, DNA Repair
GO Term: Mitotic Cytokinesis Checkpoint Signaling -> Biodomain: Cell Cycle  
DNA Repair  
Apoptosis  
Proteostasis  
Autophagy
GO Term: Double-Strand Break Repair Via Single-Strand Annealing -> Biodomain: DNA Repair, DNA Damage Response, Cell Cycle, Structural Stabilization, Epigenetic
GO Term: Double-Strand Break Repair Via Synthesis-Dependent Strand Annealing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Apoptosis
GO Term: Dna Replication Proofreading -> Biodomain: DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Oxidative Stress, Epigenetic
GO Term: Dna Deamination -> Biodomain: DNA Repair, Epigenetic, Immune Response, Cell Cycle, Apoptosis
GO Term: Depurination -> Biodomain: DNA Repair, DNA damage response, Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Depyrimidination -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Actin Nucleation -> Biodomain: Structural Stabilization, Cytoskeleton, Proteostasis, Cellular Processes, Cell Cycle
GO Term: Mitochondrial Magnesium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Nitric Oxide Biosynthetic Process -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism, Apoptosis
GO Term: Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: G0 To G1 Transition -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Mitochondrial Degradosome -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Plasma Membrane Fusion -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Vasculature
GO Term: Dna End Binding -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Structural Stabilization, Unknown
GO Term: G Protein-Coupled Purinergic Nucleotide Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Apoptosis, Oxidative Stress
GO Term: G Protein-Coupled Udp Receptor Activity -> Biodomain: Immune Response, Unknown, Lipid Metabolism, Proteostasis, Autophagy
GO Term: G Protein-Coupled Utp Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Oxidative Stress
GO Term: G Protein-Coupled Atp Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Unknown
GO Term: Protein Insertion Into Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Protein Insertion Into Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Protein Import Into Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Protein Import Into Peroxisome Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Protein Targeting To Er -> Biodomain: Proteostasis, Endolysosome, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Protein Insertion Into Er Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Protein Insertion Into Er Membrane By Stop-Transfer Membrane-Anchor Sequence -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Protein Retention In Golgi Apparatus -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Unknown
GO Term: Constitutive Secretory Pathway -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Unknown
GO Term: Regulated Exocytosis -> Biodomain: Synapse, Immune Response, Endolysosome, APP Metabolism, Proteostasis
GO Term: Transcytosis -> Biodomain: Endolysosome, Vasculature, Proteostasis, Lipid Metabolism, Immune Response
GO Term: T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Endolysosome
GO Term: Positive Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Negative Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Endolysosome
GO Term: Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Unknown
GO Term: Extrathymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Endolysosome
GO Term: T-Helper 1 Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Cell Cycle
GO Term: T-Helper 2 Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Autophagy, Apoptosis, Unknown
GO Term: Cytotoxic T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Regulatory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Regulation Of Viral Genome Replication -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Viral Genome Replication -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Viral Genome Replication -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Unknown
GO Term: Innate Immune Response -> Biodomain: Immune Response, Endolysosome, Apoptosis, Oxidative Stress, Autophagy
GO Term: Regulation Of Innate Immune Response -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Innate Immune Response -> Biodomain: Immune Response, Response to External Stimulus, Defense Response, Oxidative Stress, Autophagy
GO Term: Regulation Of Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Unknown
GO Term: Interleukin-18 Receptor Complex -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Keratin Filament -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Type Iii Intermediate Filament -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Adhesion, Myelination, Proteostasis
GO Term: Intermediate Filament-Based Process -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: Intermediate Filament Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Intermediate Filament Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Unknown, Autophagy
GO Term: Intermediate Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Unknown
GO Term: Intermediate Filament Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Intermediate Filament Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Intermediate Filament Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Integrin Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Synapse, Endolysosome
GO Term: Protein Neddylation -> Biodomain: Proteostasis, Cell Cycle, DNA Repair, Apoptosis, Autophagy
GO Term: Azole Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Pronucleus -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Unknown
GO Term: Membrane Raft -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Regulation Of Bone Resorption -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Apoptosis, Unknown
GO Term: Bioactive Lipid Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Unknown
GO Term: N-Acetylglucosamine Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Keratan Sulfotransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Synapse, Immune Response
GO Term: Pre-Mrna Branch Point Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Meiotic Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Unknown
GO Term: Udp Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Development Of Secondary Sexual Characteristics -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Cell Cycle, Apoptosis
GO Term: Development Of Primary Sexual Characteristics -> Biodomain: Reproductive Process, Developmental Process, Sex Differentiation, Hormonal Regulation, Anatomical Structure Development
GO Term: Meiotic Telomere Clustering -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Epigenetic, Autophagy
GO Term: Triplex Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Unknown
GO Term: Homologous Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Autophagy, Apoptosis
GO Term: Single-Stranded Dna 5'-3' Dna Exonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: Tripeptide Aminopeptidase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Unknown
GO Term: Myosin Ii Binding -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Synapse, Immune Response
GO Term: Neuronal Ion Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Clustering Of Voltage-Gated Sodium Channels -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Clustering Of Voltage-Gated Potassium Channels -> Biodomain: Synapse, Myelination, Structural Stabilization, Membrane Organization, Cell Differentiation
GO Term: Cell Fate Commitment -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Asymmetric Protein Localization Involved In Cell Fate Determination -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Epigenetic, Autophagy
GO Term: Intercellular Bridge -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Glutathione Dehydrogenase (Ascorbate) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Basal Protein Localization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Apoptosis
GO Term: Apical Protein Localization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Vasculature, Cell Cycle
GO Term: Apical Part Of Cell -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Proteostasis, Synapse
GO Term: Basal Part Of Cell -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle, Vasculature
GO Term: Apical Cortex -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Cell Cycle, Endolysosome
GO Term: Basal Cortex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Translation Regulator Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
GO Term: Establishment Of Protein Localization -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Tau Homeostasis
GO Term: Maintenance Of Protein Location -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Synapse
GO Term: Zonula Adherens Assembly -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Cell Cycle
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Synapse, Autophagy, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Synapse, Autophagy, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Isotype Switching -> Biodomain: Immune Response, DNA Repair, Epigenetic, Proteostasis, Cell Cycle
GO Term: Regulation Of Isotype Switching -> Biodomain: Immune Response, DNA Repair, Epigenetic, RNA Spliceosome, Autophagy
GO Term: Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Apoptosis, Epigenetic
GO Term: Establishment Of Epithelial Cell Apical/Basal Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Proteostasis
GO Term: Maintenance Of Epithelial Cell Apical/Basal Polarity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Unknown
GO Term: Establishment Of Neuroblast Polarity -> Biodomain: Cell Cycle, Cell Differentiation, Structural Stabilization, Synapse, Epigenetic
GO Term: Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Postsynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Sarcomere Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Cell-Cell Junction Organization -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Immune Response
GO Term: Cell-Cell Junction Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Vasculature
GO Term: Zonula Adherens Maintenance -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Endolysosome
GO Term: Protein Palmitoleylation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Cxcr Chemokine Receptor Binding -> Biodomain: Immune Response, Cytokine Signaling, G Protein Coupled Receptor Signaling, Signal Transduction, Cell Surface Receptor Interactions
GO Term: Cxcr1 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Isocitrate Dehydrogenase Complex (Nad+) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Succinate-Coa Ligase Complex (Gdp-Forming) -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Electron Transfer Flavoprotein Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Oxoglutarate Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Pyruvate Dehydrogenase (Lipoamide) Phosphatase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Pyruvate Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Proton-Transporting Atp Synthase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Respiratory Chain Complex I -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Respiratory Chain Complex Ii (Succinate Dehydrogenase) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Respiratory Chain Complex Iii -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Respiratory Chain Complex Iv -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Mrna Cis Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Proteostasis, Unknown
GO Term: Mrna Editing Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Alpha-Catenin Binding -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Gamma-Catenin Binding -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Cadherin Binding -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Proteostasis
GO Term: Tubulin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Otolith Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Unknown
GO Term: Protein Phosphorylated Amino Acid Binding -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Apoptosis, DNA Repair
GO Term: Leukocyte Activation -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Proteostasis
GO Term: Unmethylated Cpg Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, APP Metabolism, Unknown
GO Term: Late Endosome To Vacuole Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Carnitine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phospholipid Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Apoptosis, Autophagy, Structural Stabilization
GO Term: Cellular Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Clathrin-Coated Endocytic Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Phagocytic Vesicle -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Farnesyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Farnesyl Diphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Farnesyl Diphosphate Catabolic Process -> Biodomain: Lipid Metabolism, Autophagy, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Mercury Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Mhc Class Ii Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Epigenetic, Autophagy
GO Term: Negative Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, APP Metabolism, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Mhc Class Ii Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Mhc Class Ii Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Interleukin-1 Type I Receptor Antagonist Activity -> Biodomain: Immune Response, Signaling Receptor Regulator Activity, Protein Binding, Molecular Function Regulator Activity, Signaling Receptor Binding
GO Term: Interleukin-1 Type Ii Receptor Antagonist Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Regulation Of Nitric Oxide Biosynthetic Process -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Nitric Oxide Biosynthetic Process -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Synapse, Mitochondrial Metabolism
GO Term: Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Myoblast Differentiation -> Biodomain: Developmental, Muscle, Cellular Processes, Anatomical Structure Development, Cell Differentiation
GO Term: Endothelial Cell Differentiation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Epigenetic
GO Term: Bone Resorption -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Immune Response, Apoptosis
GO Term: Cell Redox Homeostasis -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Response To Ethanol -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Response To Ether -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Locomotor Rhythm -> Biodomain: Unknown, Epigenetic, Synapse, Myelination, Autophagy
Saved results to: Experiment/DeepSeek/01-Reference_free/02-Name_structure/Unknown_0/go_biodomain_results_part_10.csv
