Running with TEMP=0.9, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Proteostasis
GO Term: Efflux Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Abc-Type Putrescine Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Autophagy, Oxidative Stress, Apoptosis
GO Term: Organophosphate Ester Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Spermidine Transmembrane Transporter Activity -> Biodomain: Autophagy, Cell Cycle, Epigenetic, DNA Repair, Proteostasis
GO Term: Abc-Type Fatty-Acyl-Coa Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Dna Translocase Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Actin Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Microtubule Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Tau Homeostasis, Synapse, Autophagy
GO Term: Tubulin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Short-Chain Fatty Acid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Immune Response, Proteostasis
GO Term: Toxic Substance Binding -> Biodomain: Immune Response, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Fatty Acid Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Peptidoglycan Transmembrane Transporter Activity -> Biodomain: Structural Stabilization, Immune Response, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Lactate:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Quaternary Ammonium Group Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Alanine:Sodium Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Branched-Chain Amino Acid:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Branched-Chain Amino Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Cell Cycle
GO Term: P-Type Ion Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Carbon Dioxide Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Oxygen Transport -> Biodomain: Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Nickel Cation Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Vanadium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Copper Ion Import -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Plasma Membrane Copper Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Autophagy
GO Term: Molybdate Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Lead Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Magnesium Ion Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Mercury Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Organic Cation Transport -> Biodomain: Synapse, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Quaternary Ammonium Group Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Vasculature
GO Term: Inorganic Anion Transport -> Biodomain: Vasculature, Endolysosome, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Bicarbonate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Vasculature, Endolysosome
GO Term: Iodide Transport -> Biodomain: Metal Binding and Homeostasis, Vasculature, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Nitrate Transmembrane Transport -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Nitrite Transport -> Biodomain: Oxidative Stress, Vasculature, Immune Response, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Thiosulfate Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Organic Anion Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Vasculature, Oxidative Stress
GO Term: Monocarboxylic Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Oxidative Stress, Myelination
GO Term: Bile Acid And Bile Salt Transport -> Biodomain: Lipid Metabolism, Autophagy, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Canalicular Bile Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Bilirubin Transport -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Formate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Lactate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Mevalonate Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Oxaloacetate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Propanoate Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Prostaglandin Transport -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Taurine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Synapse, Oxidative Stress, Endolysosome
GO Term: Sialic Acid Transport -> Biodomain: Immune Response, Endolysosome, Structural Stabilization, Lipid Metabolism, Synapse
GO Term: C4-Dicarboxylate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fumarate Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Alpha-Ketoglutarate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Succinate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Citrate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Urate Transport -> Biodomain: Vasculature, Endolysosome, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Organophosphate Ester Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Pentose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Fructose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Fucose Transmembrane Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Galactose Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy
GO Term: Glucose-6-Phosphate Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: Mannose Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Sucrose Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Vasculature
GO Term: Polysaccharide Transport -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Glucuronoside Transport -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Autophagy, Vasculature
GO Term: Nucleotide-Sugar Transmembrane Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Cmp-N-Acetylneuraminate Transmembrane Transport -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Udp-Glucose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, APP Metabolism, Lipid Metabolism, Proteostasis
GO Term: Udp-Glucuronate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism  
Lipid Metabolism  
Endolysosome  
Proteostasis  
Autophagy
GO Term: Udp-N-Acetylgalactosamine Transmembrane Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Udp-Xylose Transmembrane Transport -> Biodomain: Transmembrane Transport, Carbohydrate Metabolism, Membrane Trafficking, Glycosylation, Nucleotide Metabolism
GO Term: Polyol Transmembrane Transport -> Biodomain: Carbohydrate Transport, Membrane Trafficking, Cellular Transport, Metabolic Processes, Molecular Transport
GO Term: Glycerol Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Mannitol Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Myo-Inositol Transport -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Acidic Amino Acid Transport -> Biodomain: Synapse, APP Metabolism, Myelination, Endolysosome, Proteostasis
GO Term: Aromatic Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Basic Amino Acid Transport -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Branched-Chain Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Neutral Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: S-Adenosyl-L-Methionine Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: L-Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: L-Alanine Transport -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: Aspartate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: L-Cystine Transport -> Biodomain: Proteostasis, Oxidative Stress, Autophagy, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Gamma-Aminobutyric Acid Transport -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: L-Glutamate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Glycine Transport -> Biodomain: Amino Acid Metabolism, Transport, Cell Signaling, Mitochondrial Metabolism, Synapse
GO Term: Histidine Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Immune Response
GO Term: Isoleucine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Lysine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Epigenetic, Cell Cycle, Vasculature
GO Term: L-Leucine Transport -> Biodomain: Amino Acid Metabolism, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Methionine Transport -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Ornithine Transport -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Carboxylic Acid Transport, Organic Cation Transport, Nitrogen Compound Transport
GO Term: Phenylalanine Transport -> Biodomain: Amino Acid Metabolism, Membrane Transport, Membrane Biology, Cellular Metabolism, Neurotransmitter Systems
GO Term: Proline Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: L-Serine Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Threonine Transport -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Tryptophan Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Immune Response, Autophagy, Proteostasis
GO Term: Tyrosine Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Synapse, Autophagy
GO Term: Valine Transport -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Peptide Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Peptidoglycan Transport -> Biodomain: Immune Response, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Amine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Amino-Acid Betaine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Urea Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Aminergic Neurotransmitter Loading Into Synaptic Vesicle -> Biodomain: Synapse, Vesicle Trafficking, Neurotransmitter Systems, Neurotransmission, Cellular Trafficking
GO Term: Methylammonium Transport -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Monoamine Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Putrescine Transport -> Biodomain: Cell Cycle, Autophagy, Endolysosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Spermidine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Organic Acid Transport -> Biodomain: Transport, Metabolism, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome
GO Term: Organic Hydroxy Compound Transport -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Nucleobase Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Adenine Transport -> Biodomain: Cell Cycle, DNA Repair, RNA Spliceosome, Autophagy, Mitochondrial Metabolism
GO Term: Guanine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Pyrimidine Nucleobase Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Nucleoside Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Purine Nucleoside Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cytidine Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Uridine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle, Autophagy
GO Term: Pyrimidine Nucleoside Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Lipid Metabolism
GO Term: Purine Nucleotide Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Immune Response, Cell Cycle
GO Term: Adp Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Atp Transport -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Acetylcholine Transport -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Choline Transport -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress
GO Term: Dopamine Transport -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Norepinephrine Transport -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Acetyl-Coa Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy, Oxidative Stress
GO Term: Biotin Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, Proteostasis, Metal Binding and Homeostasis
GO Term: Carnitine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Creatine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Ascorbic Acid Transmembrane Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Folic Acid Transport -> Biodomain: Vitamin Binding and Transport, Mitochondrial Metabolism, Carboxylic Acid Transport, Ion Channel and Transport, DNA Repair
GO Term: Heme Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Pantothenate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Thiamine Transport -> Biodomain: Mitochondrial Metabolism, Metabolic Processes, Vitamin Metabolism, Intracellular Transport, Membrane Trafficking
GO Term: Cobalamin Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Siderophore Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Tetracycline Transmembrane Transport -> Biodomain: Transmembrane Transport, Organic Anion Transport, Organic Hydroxy Compound Transport, Cellular Process, Biological Process
GO Term: Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Long-Chain Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Long-Chain Fatty Acid Import Into Peroxisome -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Short-Chain Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Energy Metabolism, Membrane Biology, Immune Response
GO Term: Short-Chain Fatty Acid Transmembrane Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Phospholipid Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Myelination, Apoptosis
GO Term: Fatty-Acyl-Coa Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Aminophospholipid Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Sterol Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Peroxisomal Membrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lipopolysaccharide Transport -> Biodomain: Lipid Metabolism, Immune Response, Endolysosome, Proteostasis, Autophagy
GO Term: Mannosidase Activity -> Biodomain: Glycosylation, Protein Modification, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Glucosidase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Hexosaminidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Synapse, Proteostasis, Autophagy
GO Term: Nucleobase-Containing Compound Transport -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Nucleobase-Containing Compound Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Immune Response, RNA Spliceosome
GO Term: Large Ribosomal Subunit -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, RNA Spliceosome
GO Term: Small Ribosomal Subunit -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Metal Binding and Homeostasis, Autophagy
GO Term: Coenzyme A Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Coenzyme A Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Coenzyme A Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Pantothenate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Formate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Formate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Nucleobase-Containing Small Molecule Interconversion -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle
GO Term: Diadenosine Polyphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Oxidative Stress, Autophagy, Apoptosis
GO Term: Diadenosine Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Diadenosine Tetraphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Cell Cycle, Lipid Metabolism
GO Term: Energy Derivation By Oxidation Of Organic Compounds -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Proton Motive Force-Driven Atp Synthesis -> Biodomain: Mitochondrial Metabolism, Energy Metabolism, Oxidative Stress, Metabolism, Nucleotide Metabolism
GO Term: Electron Transport Coupled Proton Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Phospholipase Activator Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Immune Response
GO Term: Phospholipase A2 Activator Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Dystrophin-Associated Glycoprotein Complex -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Oxidative Stress, Autophagy
GO Term: Dystroglycan Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Myelination, Lipid Metabolism
GO Term: Sarcoglycan Complex -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Syntrophin Complex -> Biodomain: Structural Stabilization, Synapse, Oxidative Stress, Vasculature, Proteostasis
GO Term: Morphogen Activity -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Immune Response, Autophagy
GO Term: Cyclosporin A Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Mitochondrial Metabolism, Autophagy
GO Term: Peptidoglycan Immune Receptor Activity -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Autophagy
GO Term: Membrane -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Myelination
GO Term: Cdp-Diacylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Trna Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress, Autophagy
GO Term: Viral Process -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Maleylacetoacetate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Zeta Dna Polymerase Complex -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Apoptosis
GO Term: Cellular Response To Phosphate Starvation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Absorption Of Visible Light -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress, Epigenetic, Autophagy
GO Term: Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Detection Of Bacterium -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Detection Of Fungus -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Detection Of Temperature Stimulus -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Structural Stabilization, Vasculature
GO Term: Vesicle Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Carbohydrate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Carbohydrate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Wnt Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Synapse, Epigenetic
