Running with TEMP=0.1, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Calcium Ion Import Into Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Flagellated Sperm Motility -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Calcitriol Binding -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic, Immune Response, Cell Cycle
GO Term: Negative Regulation Of Metaphase/Anaphase Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Leukocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Organelle Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Organelle Assembly -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Calcidiol Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Endolysosome
GO Term: Lithocholic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Chenodeoxycholic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Response To Inositol -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Response To Dna Integrity Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulation Of Response To Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cellular Response To Reactive Nitrogen Species -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Regulation Of Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, Epigenetic, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Immune Response, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Oxidative Stress, Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Fibroblast Growth Factor Receptor Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Hepatocyte Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Vasculature, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Hepatocyte Growth Factor Receptor Signaling Pathway -> Biodomain: Proteostasis, Endolysosome, Apoptosis, Cell Cycle, Vasculature
GO Term: Positive Regulation Of Hepatocyte Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Interleukin-2-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Epigenetic, Apoptosis
GO Term: Positive Regulation Of Prolactin Signaling Pathway -> Biodomain: Signal Transduction, Hormone Signaling, Cell Growth And Proliferation, Regulation Of Gene Expression, Developmental Processes
GO Term: Negative Regulation Of Interleukin-4-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Interleukin-4-Mediated Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Erythrocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Ketone Body Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Acrosome Reaction -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Macrophage Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Macrophage Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Regulation Of Positive Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Positive Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Negative Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress By P53 Class Mediator -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress By P53 Class Mediator -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Cell Cycle, Endolysosome
GO Term: Geranylgeranyl Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Erythrocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Mitochondrial Metabolism, Proteostasis
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Regulation Of Apoptotic Process Involved In Outflow Tract Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Negative Regulation Of Apoptotic Process Involved In Outflow Tract Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Immune Response
GO Term: Regulation Of Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Apoptotic Process Involved In Blood Vessel Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Apoptotic Process Involved In Embryonic Digit Morphogenesis -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Polyamine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Polyamine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: (R)-Carnitine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: D3 Vitamins Binding -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Immune Response, Epigenetic, Oxidative Stress
GO Term: Regulation Of Chromatin Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Voltage-Gated Potassium Channel Activity Involved In Ventricular Cardiac Muscle Cell Action Potential Repolarization -> Biodomain: Synapse, Metal Binding and Homeostasis, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Semaphorin-Plexin Signaling Pathway Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Vasculature
GO Term: Regulation Of Sodium Ion Transmembrane Transport -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Myelination, Structural Stabilization
GO Term: Negative Regulation Of Sodium Ion Transmembrane Transport -> Biodomain: Ion Homeostasis, Cell Signaling, Neuronal Function, Membrane Transport, Cardiovascular Function
GO Term: Positive Regulation Of Sodium Ion Transmembrane Transport -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Myelination, Proteostasis
GO Term: Regulation Of Copper Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Positive Regulation Of Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Proteostasis, Vasculature
GO Term: Positive Regulation Of Apoptotic Process Involved In Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Negative Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Response To Chloroquine -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Cellular Response To Chloroquine -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Oxaloacetate(2-) Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Sulfate Transmembrane Transport -> Biodomain: Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Melanocyte Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Protein Localization To Spindle Pole Body -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Notch Signaling Pathway Involved In Somitogenesis -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Negative Regulation Of Rna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Negative Regulation Of Mrna Catabolic Process -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy
GO Term: Chemoattractant Activity Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Lipid Metabolism
GO Term: Ceramide 1-Phosphate Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Ceramide 1-Phosphate Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Apoptosis, Autophagy
GO Term: Ceramide 1-Phosphate Transport -> Biodomain: Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis, Autophagy
GO Term: Protein Localization To Bicellular Tight Junction -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Synapse
GO Term: Mitotic Cytokinetic Process -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Mitotic Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Protein Localization To Cell Junction -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Endolysosome, Vasculature
GO Term: Positive Regulation Of Mrna Binding -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Regulation Of Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, DNA Repair
GO Term: Negative Regulation Of Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Autophagy
GO Term: Positive Regulation Of Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Autophagy
GO Term: Deactivation Of Mitotic Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, Proteostasis, DNA Repair, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Amyloid-Beta Formation -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Male Mating Behavior -> Biodomain: Synapse, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Negative Regulation Of Ripoptosome Assembly Involved In Necroptotic Process -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Immune Response
GO Term: Riboflavin Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Regulation Of Mitochondrial Membrane Permeability Involved In Programmed Necrotic Cell Death -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Stem Cell Population Maintenance -> Biodomain: Apoptosis, Epigenetic, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Mesenchymal Stem Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Mesenchymal Stem Cell Proliferation -> Biodomain: Cell Cycle, Stem Cell Biology, Tissue Regeneration, Developmental Biology, Structural Stabilization
GO Term: Protein Localization To Cell Leading Edge -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Vasculature, Immune Response
GO Term: Regulation Of Protein Localization To Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Myelination, Endolysosome
GO Term: Positive Regulation Of Protein Localization To Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, APP Metabolism
GO Term: L-Alpha-Amino Acid Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Chloride Transmembrane Transport -> Biodomain: Ion Homeostasis, Cell Membrane, Synapse, Vasculature, Proteostasis
GO Term: Protein Localization To Mitotic Spindle -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulatory T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Epigenetic
GO Term: Cytotoxic T Cell Pyroptotic Cell Death -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Sperm Capacitation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Sperm Capacitation -> Biodomain: Reproductive Process, Cellular Regulation, Cell Communication, Signal Transduction, Developmental Process
GO Term: Positive Regulation Of Sperm Capacitation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Acetyltransferase Complex -> Biodomain: Proteostasis, Epigenetic, Autophagy, APP Metabolism, DNA Repair
GO Term: Catalytic Complex -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Transmembrane Transporter Complex -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Regulation Of Protein Autoubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Cell Cycle
GO Term: Positive Regulation Of Protein Autoubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Lysosomal Hops Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Apoptotic Dna Fragmentation -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Apoptotic Dna Fragmentation -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Apoptotic Dna Fragmentation -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Regulation Of Organelle Transport Along Microtubule -> Biodomain: Tau Homeostasis, Synapse, Autophagy, Cell Cycle, Endolysosome
GO Term: Regulation Of Calcium Ion Transmembrane Transport Via High Voltage-Gated Calcium Channel -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Vasculature
GO Term: Positive Regulation Of Protein K63-Linked Ubiquitination -> Biodomain: Proteostasis, DNA Repair, Autophagy, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Protein K48-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Regulation Of Protein Monoubiquitination -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, DNA Repair
GO Term: Positive Regulation Of Protein Monoubiquitination -> Biodomain: Proteostasis, Endolysosome, DNA Repair, Autophagy, Epigenetic
GO Term: Positive Regulation Of Protein Linear Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Oxidative Stress
GO Term: Regulation Of Intracellular Signal Transduction -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Immune Response, Proteostasis
GO Term: Negative Regulation Of Intracellular Signal Transduction -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Regulation Of Intracellular Signal Transduction -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Autophagy, Synapse
GO Term: Negative Regulation Of Cellular Response To Vascular Endothelial Growth Factor Stimulus -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Epigenetic
GO Term: Positive Regulation Of Catalase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Immune Response
GO Term: Serine/Threonine Protein Kinase Complex -> Biodomain: Proteostasis, Apoptosis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Endoribonuclease Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, Mitochondrial Metabolism
GO Term: 5'-Adenylyl Sulfate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Endolysosome, Autophagy
GO Term: 3'-Phospho-5'-Adenylyl Sulfate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Gmp Reductase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: H4 Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Neutrophil Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Neutrophil Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Neutrophil Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Epigenetic
GO Term: Negative Regulation Of Eosinophil Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Protein Localization To Nucleolus -> Biodomain: Proteostasis, Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle
GO Term: Proton Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Silver Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Carnitine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Heterotrimeric G-Protein Complex Assembly -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Positive Regulation Of Large Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Anti-Mullerian Hormone Signaling Pathway -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, Proteostasis, Immune Response
GO Term: Immune Response Involved In Response To Exogenous Dsrna -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Autophagy
GO Term: O-Acyl-L-Carnitine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Response To Fluoride -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Cellular Response To Fluoride -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Apoptosis
GO Term: Regulation Of Neutrophil Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Endolysosome, Autophagy
GO Term: Negative Regulation Of Neutrophil Migration -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Vasculature
GO Term: Positive Regulation Of Neutrophil Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Apoptosis
GO Term: Assembly Of Large Subunit Precursor Of Preribosome -> Biodomain: Protein Synthesis, RNA Processing, Gene Expression, Nucleus, Cell Cycle
GO Term: Regulation Of Mrna Stability Involved In Cellular Response To Uv -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Membrane Hyperpolarization -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Vasculature
GO Term: Negative Regulation Of Membrane Hyperpolarization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Membrane Hyperpolarization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: 1-Phosphatidyl-1D-Myo-Inositol 4,5-Bisphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Synapse
GO Term: 1-Phosphatidyl-1D-Myo-Inositol 4,5-Bisphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Cellular Signaling, Membrane Organization, Intracellular Signaling
GO Term: Kinociliary Basal Body -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Cell Cycle
GO Term: Calcium Ion Import Into Cytosol -> Biodomain: Metal Binding and Homeostasis, Synapse, Apoptosis, Endolysosome, Immune Response
GO Term: Regulation Of Glucose Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Glucose Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Lipid Metabolism, Epigenetic
GO Term: Carbon Dioxide Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Vasculature, Proteostasis
GO Term: Negative Regulation Of Rna Biosynthetic Process -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Rna Biosynthetic Process -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Oxidative Stress
GO Term: Protein Localization To Pericentric Heterochromatin -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Regulation Of Receptor Localization To Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Receptor Localization To Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
