Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Proteostasis, Apoptosis, Structural Stabilization, Myelination
GO Term: Enzyme Binding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Autophagy
GO Term: Kinase Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Immune Response, Oxidative Stress
GO Term: Protein Kinase Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Phosphatase Binding -> Biodomain: Proteostasis, Tau Homeostasis, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein Phosphatase Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Synapse, Epigenetic
GO Term: Protein Domain Specific Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Apoptosis, Autophagy
GO Term: Syntaxin Binding -> Biodomain: Synapse, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Nuclear Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Structural Constituent Of Myelin Sheath -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Cyclin-Dependent Protein Kinase Regulator Activity -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Lipid Storage -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Peptidyl-Arginine Methylation, To Symmetrical-Dimethyl Arginine -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Autophagy, Cell Cycle
GO Term: Camp-Mediated Signaling -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Immune Response, Oxidative Stress, Epigenetic
GO Term: Modification-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Sumo Activating Enzyme Activity -> Biodomain: Proteostasis, DNA Repair, Cell Cycle, Epigenetic, Apoptosis
GO Term: Sexual Reproduction -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Unknown
GO Term: Cytokine Binding -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Cell Cycle, Proteostasis
GO Term: Chemokine Binding -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Endolysosome
GO Term: C-C Chemokine Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: C-X-C Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Oxidative Stress, Endolysosome
GO Term: Interleukin-8 Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: C-X3-C Chemokine Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Unknown, Oxidative Stress
GO Term: Type I Interferon Binding -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Type Ii Interferon Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Interleukin-1 Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-10 Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Interleukin-11 Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Interleukin-2 Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Interleukin-6 Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Vasculature
GO Term: Interleukin-9 Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Diacylglycerol Binding -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Symbiont-Containing Vacuole -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Ciliary Pocket Membrane -> Biodomain: Structural Stabilization, Endolysosome, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Hemoglobin Metabolic Process -> Biodomain: Endolysosome, Proteostasis, Metal Binding and Homeostasis, Immune Response, Autophagy
GO Term: Heme Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Prechordal Plate Formation -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Unknown
GO Term: Neural Fold Elevation Formation -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Neural Fold Bending -> Biodomain: Structural Stabilization, Apoptosis, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Floor Plate Formation -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Unknown
GO Term: Roof Plate Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Proteostasis, Unknown
GO Term: Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Vasculature
GO Term: Spinal Cord Patterning -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Immune Response
GO Term: Spinal Cord Anterior/Posterior Patterning -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Epigenetic
GO Term: Spinal Cord Dorsal/Ventral Patterning -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Ventral Spinal Cord Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Cell Differentiation In Spinal Cord -> Biodomain: Cell Cycle, Myelination, Epigenetic, Autophagy, Structural Stabilization
GO Term: Dorsal Spinal Cord Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Apoptosis
GO Term: Ventral Spinal Cord Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Apoptosis, Cell Cycle
GO Term: Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Epigenetic, Synapse, Cell Cycle, Structural Stabilization, RNA Spliceosome
GO Term: Ventral Spinal Cord Interneuron Specification -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Synapse, Myelination
GO Term: Spinal Cord Motor Neuron Differentiation -> Biodomain: Synapse, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Somatic Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Visceral Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Proteostasis
GO Term: Medial Motor Column Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Spinal Cord Association Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Commissural Neuron Differentiation In Spinal Cord -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Unknown
GO Term: Spinal Cord Oligodendrocyte Cell Differentiation -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Lipid Metabolism, Proteostasis
GO Term: Spinal Cord Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Epigenetic
GO Term: Neural Tube Patterning -> Biodomain: Structural Stabilization, Epigenetic, Vasculature, Mitochondrial Metabolism, Cell Cycle
GO Term: Cell Differentiation In Hindbrain -> Biodomain: Epigenetic, Myelination, Cell Cycle, Synapse, Structural Stabilization
GO Term: Cell Migration In Hindbrain -> Biodomain: Synapse, Myelination, Vasculature, Lipid Metabolism, Epigenetic
GO Term: Diencephalon Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Mitochondrial Metabolism, Autophagy
GO Term: Telencephalon Development -> Biodomain: Synapse, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Subthalamus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Vasculature, Apoptosis
GO Term: Corpus Callosum Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Vasculature
GO Term: Ammon Gyrus Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Autophagy
GO Term: Dentate Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Neurogenesis, Neurodegeneration, Neural Circuit
GO Term: Pallium Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Epigenetic, Cell Cycle
GO Term: Subpallium Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Vasculature
GO Term: Cranial Nerve Development -> Biodomain: Myelination, Synapse, Lipid Metabolism, Cell Cycle, Structural Stabilization
GO Term: Rhombomere Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Vasculature, Unknown
GO Term: Midbrain-Hindbrain Boundary Initiation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Synapse
GO Term: Pons Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Unknown
GO Term: Cerebellum Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Central Nervous System Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Cell Cycle, Apoptosis, Epigenetic
GO Term: Olfactory Nerve Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Epigenetic, Unknown
GO Term: Optic Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Cell Cycle
GO Term: Midbrain-Hindbrain Boundary Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Apoptosis
GO Term: Central Nervous System Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Oculomotor Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Trochlear Nerve Development -> Biodomain: Structural Stabilization, Myelination, Synapse, Apoptosis, Vasculature
GO Term: Trigeminal Nerve Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Lipid Metabolism, Vasculature
GO Term: Vestibulocochlear Nerve Development -> Biodomain: Myelination, Structural Stabilization, Synapse, Cell Cycle, Lipid Metabolism
GO Term: Glossopharyngeal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Cell Cycle
GO Term: Vagus Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Apoptosis, Endolysosome
GO Term: Rhombomere 2 Development -> Biodomain: Neurogenesis, Development, Cell Differentiation, Neural Crest Migration, Embryogenesis
GO Term: Rhombomere 3 Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Apoptosis
GO Term: Rhombomere 4 Development -> Biodomain: Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic, Unknown
GO Term: Rhombomere 5 Development -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Apoptosis, Unknown
GO Term: Rhombomere 6 Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Unknown
GO Term: Hindbrain Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Apoptosis
GO Term: Cerebellum Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, Mitochondrial Metabolism
GO Term: Cerebellum Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Myelination
GO Term: Cerebellum Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Cell Cycle
GO Term: Ventricular System Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Fourth Ventricle Development -> Biodomain: Structural Stabilization, Vasculature, Myelination, Apoptosis, Synapse
GO Term: Abducens Nerve Formation -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Apoptosis
GO Term: Cranial Nerve Morphogenesis -> Biodomain: Synapse, Myelination, Structural Stabilization, Apoptosis, Vasculature
GO Term: Facial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Proteostasis
GO Term: Facial Nerve Structural Organization -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Vasculature
GO Term: Glossopharyngeal Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Cell Cycle
GO Term: Hypoglossal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Unknown
GO Term: Oculomotor Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Unknown, Proteostasis, Autophagy
GO Term: Central Nervous System Maturation -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Autophagy
GO Term: Olfactory Nerve Formation -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Myelination
GO Term: Olfactory Nerve Maturation -> Biodomain: Myelination, Structural Stabilization, Synapse, Vasculature, Autophagy
GO Term: Optic Nerve Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Synapse, Vasculature, Endolysosome
GO Term: Optic Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Vasculature, Proteostasis, Synapse
GO Term: Trigeminal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Unknown
GO Term: Trigeminal Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Proteostasis, Autophagy, Cell Cycle
GO Term: Trochlear Nerve Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Unknown
GO Term: Vagus Nerve Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Unknown
GO Term: Vestibulocochlear Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Unknown
GO Term: Vestibulocochlear Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Vestibulocochlear Nerve Formation -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Rhombomere 3 Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Myelination, Synapse
GO Term: Rhombomere 3 Structural Organization -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Synapse
GO Term: Rhombomere 3 Formation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Unknown, Autophagy
GO Term: Rhombomere 5 Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Cell Cycle
GO Term: Rhombomere 5 Formation -> Biodomain: Structural Stabilization, Epigenetic, Synapse, Myelination, Cell Cycle
GO Term: Lateral Ventricle Development -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Unknown, Proteostasis
GO Term: Nerve Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Lipid Metabolism, Apoptosis
GO Term: Third Ventricle Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Cerebellar Purkinje Cell Layer Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Myelination
GO Term: Cerebellar Granular Layer Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Endolysosome, Unknown
GO Term: Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Cerebellar Granular Layer Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Neurophysiology, Neurodevelopment, Cell Morphology
GO Term: Cerebellar Granular Layer Structural Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Unknown
GO Term: Cerebellar Granular Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Autophagy, Proteostasis, Endolysosome
GO Term: Cerebellar Molecular Layer Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Cerebellar Molecular Layer Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Vasculature
GO Term: Cerebellar Purkinje Cell Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Myelination
GO Term: Cerebellar Purkinje Cell Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Cell Cycle
GO Term: Cerebellar Purkinje Cell Layer Structural Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Myelination
GO Term: Cerebellar Purkinje Cell Layer Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Unknown
GO Term: Cerebellar Cortex Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Mitochondrial Metabolism
GO Term: Cerebellar Cortex Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Vasculature
GO Term: Cerebellar Cortex Formation -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Cell Cycle
GO Term: Developmental Maturation -> Biodomain: Epigenetic, Structural Stabilization, Synapse, Proteostasis, Autophagy
GO Term: Cerebellar Purkinje Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Cell Cycle, Autophagy
GO Term: Locus Ceruleus Development -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Autophagy, Vasculature
GO Term: Cerebellar Granule Cell Differentiation -> Biodomain: Synapse, Epigenetic, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Superior Olivary Nucleus Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Epigenetic
GO Term: Medullary Reticular Formation Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Epigenetic
GO Term: Principal Sensory Nucleus Of Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Unknown
GO Term: Abducens Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Vasculature
GO Term: Hypoglossal Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Unknown
GO Term: Cochlear Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Endolysosome
GO Term: Vestibular Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Facial Nucleus Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Autophagy
GO Term: Striatum Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Unknown
GO Term: Caudate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Unknown
GO Term: Putamen Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Myelination, Cell Cycle
GO Term: Globus Pallidus Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Mitochondrial Metabolism
GO Term: Limbic System Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Substantia Nigra Development -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Subthalamic Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Unknown, Vasculature
GO Term: Amygdala Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Apoptosis
GO Term: Hippocampus Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Mammillary Body Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Epigenetic, Cell Cycle
GO Term: Nucleus Accumbens Development -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Apoptosis, Unknown
GO Term: Orbitofrontal Cortex Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Lateral Geniculate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Unknown
GO Term: Olfactory Bulb Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Unknown
GO Term: Striatal Medium Spiny Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Smoothened Signaling Pathway Involved In Ventral Spinal Cord Interneuron Specification -> Biodomain: Epigenetic, Synapse, Cell Cycle, Structural Stabilization, Unknown
GO Term: Smoothened Signaling Pathway Involved In Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Cell Cycle, Epigenetic
GO Term: Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Cell Cycle, Epigenetic, Lipid Metabolism, Structural Stabilization
GO Term: Oligodendrocyte Cell Fate Commitment -> Biodomain: Myelination, Cell Cycle, Synapse, Structural Stabilization, Immune Response
GO Term: Glial Cell Fate Specification -> Biodomain: Myelination, Immune Response, Structural Stabilization, Synapse, Mitochondrial Metabolism
GO Term: Glial Cell Fate Commitment -> Biodomain: Myelination, Epigenetic, Cell Cycle, Synapse, Structural Stabilization
GO Term: Glial Cell Development -> Biodomain: Myelination, Synapse, Structural Stabilization, Immune Response, Lipid Metabolism
GO Term: Postganglionic Parasympathetic Fiber Development -> Biodomain: Synapse, Structural Stabilization, Autophagy, Cell Cycle, Vasculature
GO Term: Branchiomotor Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Unknown
GO Term: Chemorepulsion Of Branchiomotor Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Thalamus Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Epigenetic
GO Term: Cerebral Cortex Cell Migration -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Cerebral Cortex Regionalization -> Biodomain: Structural Stabilization, Epigenetic, Synapse, Cell Cycle, Unknown
GO Term: Forebrain Anterior/Posterior Pattern Specification -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Immune Response
GO Term: Forebrain Dorsal/Ventral Pattern Formation -> Biodomain: Neurodevelopment, Developmental Biology, Neurogenesis, Cell Differentiation, Neural Cell Types
GO Term: Cerebral Cortex Radially Oriented Cell Migration -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Synapse
GO Term: Cerebral Cortex Tangential Migration -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Cerebral Cortex Radial Glia-Guided Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Neuronal-Glial Interaction Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Vasculature, Unknown, Myelination
GO Term: Cell-Cell Adhesion Involved In Neuronal-Glial Interactions Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Endolysosome
GO Term: Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Extension Of A Leading Process Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Tau Homeostasis, Cell Cycle, Proteostasis
GO Term: Nucleokinesis Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Proteostasis, Cell Cycle
GO Term: Layer Formation In Cerebral Cortex -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Proteostasis
GO Term: Negative Regulation Of Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Mitochondrial Metabolism, Unknown
GO Term: Gonadotrophin-Releasing Hormone Neuronal Migration To The Hypothalamus -> Biodomain: Structural Stabilization, Vasculature, Synapse, Proteostasis, Mitochondrial Metabolism
GO Term: Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Unknown, Unknown, Unknown, Unknown, Unknown
GO Term: Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Epigenetic
GO Term: Chemorepulsion Involved In Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Structural Stabilization, Vasculature, Unknown, Endolysosome
GO Term: Chemorepulsion Involved In Postnatal Olfactory Bulb Interneuron Migration -> Biodomain: Synapse, Immune Response, Vasculature, Structural Stabilization, Unknown
GO Term: Chemorepulsion Involved In Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Cell Migration, Neuronal Migration, Brain Development, Chemotaxis, Neurogenesis
GO Term: Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, DNA Repair
GO Term: Ventricular Zone Neuroblast Division -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Autophagy, Epigenetic
GO Term: Neuroblast Division In Subventricular Zone -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Synapse, Autophagy
GO Term: Pyramidal Neuron Migration To Cerebral Cortex -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Unknown
GO Term: Cerebral Cortex Gabaergic Interneuron Migration -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Epigenetic
GO Term: Hypothalamus Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Cell Cycle, Apoptosis
GO Term: Hypothalamus Cell Migration -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Gabaergic Neuron Differentiation In Basal Ganglia -> Biodomain: Synapse, Neurogenesis, Brain Regions, Developmental Biology, Neural Circuitry
GO Term: Pyramidal Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Pyramidal Neuron Development -> Biodomain: Synapse, Structural Stabilization, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Forebrain Radial Glial Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, RNA Spliceosome, Myelination
GO Term: Forebrain Ventricular Zone Progenitor Cell Division -> Biodomain: Cell Cycle, Synapse, Structural Stabilization, Mitochondrial Metabolism, DNA Repair
GO Term: Cajal-Retzius Cell Differentiation -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Autophagy
GO Term: Forebrain Regionalization -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Structural Stabilization, Synapse
GO Term: Forebrain Generation Of Neurons -> Biodomain: Cell Cycle, Epigenetic, Synapse, Structural Stabilization, Autophagy
GO Term: Forebrain Neuroblast Division -> Biodomain: Cell Cycle, Epigenetic, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Wnt Signaling Pathway Involved In Forebrain Neuroblast Division -> Biodomain: Cell Cycle, Epigenetic, Synapse, Proteostasis, Unknown
GO Term: Forebrain Neuron Fate Commitment -> Biodomain: Synapse, Epigenetic, Tau Homeostasis, Cell Cycle, Myelination
GO Term: Forebrain Neuron Differentiation -> Biodomain: Synapse, Cell Cycle, Epigenetic, Proteostasis, Mitochondrial Metabolism
GO Term: Forebrain Neuron Development -> Biodomain: Neurodevelopment, Cell Differentiation, Central Nervous System, Neuronal Processes, Synapse
