Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 16: rows 15000 to 15999
GO Term: Hippocampal Mossy Fiber To Ca3 Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Lymphocyte Chemotaxis -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Iron-Sulfur Cluster Chaperone Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Mechanosensitive Monoatomic Cation Channel Activity -> Biodomain: Structural Stabilization, Ion Homeostasis, Mechanosensory, Membrane Transport, Vasculature
GO Term: Mitochondrial Potassium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Ammonium Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Monocarboxylate:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: 3-Alpha-Hydroxysteroid 3-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Unknown
GO Term: Dipeptide Import Across Plasma Membrane -> Biodomain: Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Tripeptide Import Across Plasma Membrane -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: Apoptotic Process In Response To Mitochondrial Fragmentation -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Folic Acid:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, Lipid Metabolism, Oxidative Stress, Endolysosome
GO Term: Regulation Of Long-Chain Fatty Acid Import Into Cell -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Long-Chain Fatty Acid Import Into Cell -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: General Transcription Initiation Factor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, RNA Spliceosome
GO Term: Dna Topoisomerase Iii-Beta-Tdrd3 Complex -> Biodomain: DNA Repair, Epigenetic, Proteostasis, RNA Spliceosome, Cell Cycle
GO Term: Rna Topoisomerase Activity -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Metal Binding and Homeostasis
GO Term: Serotonin-Gated Cation-Selective Signaling Pathway -> Biodomain: Synapse, Metal Binding and Homeostasis, Epigenetic, Apoptosis, Proteostasis
GO Term: Anterograde Axonal Transport Of Neurotransmitter Receptor Complex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Intracellular Camp-Activated Cation Channel Activity Involved In Regulation Of Presynaptic Membrane Potential -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Translation At Presynapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Presynaptic Endocytosis -> Biodomain: Synapse, Endolysosome, Proteostasis, Vesicle Trafficking, Structural Stabilization
GO Term: Perforant Pathway To Dendrate Granule Cell Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Endolysosome
GO Term: Translation At Postsynapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Translation At Postsynapse -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Unknown
GO Term: Protein Catabolic Process At Postsynapse -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Protein Catabolic Process At Presynapse -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, APP Metabolism
GO Term: Regulation Protein Catabolic Process At Postsynapse -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Cell-Cell Fusion -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Immune Response
GO Term: Mitochondrial Proton-Transporting Atp Synthase Complex Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Bcor Complex -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Apoptosis, DNA Repair
GO Term: Mrna Cap Binding Complex Binding -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Endoplasmic Reticulum-Plasma Membrane Contact Site -> Biodomain: Lipid Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Exogenous Protein Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Repair Of Mitotic Kinetochore Microtubule Attachment Defect -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Mib Complex -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Endoplasmic Reticulum-Endosome Membrane Contact Site -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Endosome Fission -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Gbaf Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Unknown
GO Term: Peptidyl-Serine Adp-Deribosylation -> Biodomain: Proteostasis, DNA Repair, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Peptidyl-Glutamate Adp-Deribosylation -> Biodomain: Proteostasis, Epigenetic, DNA Repair, Apoptosis, Oxidative Stress
GO Term: Adp-Ribosylserine Hydrolase Activity -> Biodomain: DNA Repair, Proteostasis, Apoptosis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Adp-Ribosylglutamate Hydrolase Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Immune Response, Apoptosis
GO Term: Nad Dna Adp-Ribosyltransferase Activity -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Apoptosis
GO Term: General Transcription Initiation Factor Binding -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Autophagy
GO Term: Dna-Binding Transcription Factor Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Apoptosis
GO Term: Endocytic Iron Import Into Cell -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Molecular Sensor Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Unknown
GO Term: Serine Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Protein Sequestering Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Tau Homeostasis, Oxidative Stress
GO Term: Cargo Adaptor Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Lipid Metabolism
GO Term: Molecular Sequestering Activity -> Biodomain: Proteostasis, Tau Homeostasis, Metal Binding and Homeostasis, Apoptosis, Autophagy
GO Term: Calcium Ion Sequestering Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Proteostasis, Apoptosis
GO Term: Iron Ion Sequestering Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Autophagy, Endolysosome
GO Term: Protein Transporter Activity -> Biodomain: Proteostasis, Endolysosome, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Receptor Decoy Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Unknown
GO Term: Atpase-Coupled Intramembrane Lipid Transporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Flippase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Floppase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Apoptosis
GO Term: Lysophospholipid Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Aminophospholipid Translocation -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Structural Stabilization, Endolysosome
GO Term: Glycerophospholipid Flippase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Oxidative Stress
GO Term: Diacylglyceride Transfer Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy
GO Term: Sphingomyelin Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Phosphatidylglycerol Transfer Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Cerebroside Transfer Activity -> Biodomain: Lipid Metabolism, Myelination, Synapse, Endolysosome, Proteostasis
GO Term: Phosphatidylserine Transfer Activity -> Biodomain: Lipid Metabolism, Apoptosis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Triglyceride Transfer Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Autophagy, Endolysosome
GO Term: Phosphatidylcholine Flippase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Phosphatidylserine Flippase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Proteostasis, Endolysosome
GO Term: N-Retinylidene-Phosphatidylethanolamine Flippase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Lysophosphatidylcholine Flippase Activity -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Glycosylceramide Flippase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Myelination, Autophagy, Proteostasis
GO Term: Lipid Export From Cell -> Biodomain: Lipid Metabolism, Vasculature, Endolysosome, Immune Response, Myelination
GO Term: Lipid Import Into Cell -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, APP Metabolism, Autophagy
GO Term: Cargo Receptor Ligand Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Heme Export From Vacuole To Cytoplasm -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: P-Type Transmembrane Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Synapse, Vasculature, Mitochondrial Metabolism
GO Term: Abc-Type Transporter Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Immune Response, Endolysosome, Oxidative Stress
GO Term: Cyclic-Gmp-Amp Transmembrane Transporter Activity -> Biodomain: Immune Response, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Cyclic-Gmp-Amp Transmembrane Import Across Plasma Membrane -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Antibacterial Innate Immune Response -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Apoptosis
GO Term: Antiviral Innate Immune Response -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Immune Receptor Activity -> Biodomain: Immune Response, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: Monoatomic Cation:Bicarbonate Symporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Vasculature
GO Term: Zinc:Bicarbonate Symporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Transcription Regulator Inhibitor Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Dna-(Abasic Site) Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress
GO Term: Protein-Cysteine S-Stearoyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Cytoskeleton-Nuclear Membrane Anchor Activity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Lipid Metabolism, Tau Homeostasis
GO Term: Chromosome, Telomeric Repeat Region -> Biodomain: DNA Repair, Structural Stabilization, Proteostasis, Epigenetic, Apoptosis
GO Term: Cytokine Precursor Processing -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Signaling Receptor Ligand Precursor Processing -> Biodomain: Proteostasis, APP Metabolism, Apoptosis, Immune Response, Autophagy
GO Term: Protein Targeting To Golgi Apparatus -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, APP Metabolism
GO Term: Protein Aggregate Center Assembly -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization
GO Term: Cytoplasm Protein Quality Control -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Endolysosome, APP Metabolism
GO Term: Protein Demethylase Activity -> Biodomain: Epigenetic, Proteostasis, Metal Binding and Homeostasis, Cell Cycle, Apoptosis
GO Term: Response To Gram-Positive Bacterium -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Response To Gram-Negative Bacterium -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Pericentric Heterochromatin Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Unknown
GO Term: Chromatin-Protein Adaptor Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Iron-Sulfur Cluster Export From The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Integrated Stress Response Signaling -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Endolysosome
GO Term: Hri-Mediated Signaling -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Autophagy
GO Term: Gcn2-Mediated Signaling -> Biodomain: Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Unknown
GO Term: Abc-Type Iron-Sulfur Cluster Transporter Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Kinetochore Adaptor Activity -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Epigenetic
GO Term: 5-Aminolevulinic Acid Import Across Plasma Membrane -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: 5-Aminolevulinic Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Zinc Ion Sequestering Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Metal Ion Sequestering Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Microtubule Nucleator Activity -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Endolysosome
GO Term: Metal-Dependent Deubiquitinase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Very Long-Chain Fatty Acid Beta-Oxidation -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Migrasome -> Biodomain: Proteostasis, Structural Stabilization, Cell Cycle, Autophagy, Endolysosome
GO Term: Negative Regulation Of Mitotic Spindle Assembly Checkpoint Signaling -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Autophagy, Structural Stabilization
GO Term: Regulation Of Reticulophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Reticulophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Endoplasmic Reticulum-Autophagosome Adaptor Activity -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Granzyme-Mediated Programmed Cell Death Signaling Pathway -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Protein-Rna Adaptor Activity -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Synapse, Immune Response
GO Term: Gtpase-Dependent Fusogenic Activity -> Biodomain: Synapse, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Intracellular Protein-Containing Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Transcription Regulator Activator Activity -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Unknown
GO Term: Pirna Transcription -> Biodomain: Epigenetic, DNA Repair, Structural Stabilization, Cell Cycle, Unknown
GO Term: Positive Regulation Of Pirna Transcription -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, RNA Spliceosome, Immune Response
GO Term: Atp-Dependent Protein Disaggregase Activity -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Defense Response To Symbiont -> Biodomain: Immune Response, Autophagy, Endolysosome, Apoptosis, Proteostasis
GO Term: Tead-Yap Complex -> Biodomain: Epigenetic, Apoptosis, Cell Cycle, DNA Repair, Mitochondrial Metabolism
GO Term: Xylosyl Alpha-1,3-Xylosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, APP Metabolism, Vasculature, Unknown
GO Term: Egf-Domain Serine Glucosyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Structural Stabilization, Cell Cycle, Vasculature
GO Term: Egf-Domain Serine Xylosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Vasculature, Lipid Metabolism, Endolysosome
GO Term: Udp-D-Xylose:Beta-D-Glucoside Alpha-1,3-D-Xylosyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Histone Reader Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Autophagy, Proteostasis
GO Term: Membrane Protein Dislocase Activity -> Biodomain: Proteostasis, Oxidative Stress, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Extraction Of Mislocalized Protein From Er Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Extraction Of Mislocalized Protein From Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Transmembrane Ascorbate Ferrireductase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Transmembrane Monodehydroascorbate Reductase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Ascorbate Homeostasis -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Immune Response, Epigenetic, Vasculature
GO Term: Mitochondrion Autophagosome Adaptor Activity -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: P-Type Monovalent Copper Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Adenylate Cyclase-Activating G Protein-Coupled Camp Receptor Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Myelination, Cell Cycle
GO Term: Promoter-Enhancer Loop Anchoring Activity -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, Unknown
GO Term: Chromatin Loop Anchoring Activity -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Metal Binding and Homeostasis
GO Term: Chromatin Looping -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Unknown
GO Term: Nuclear Envelope Budding -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Structural Stabilization, RNA Spliceosome
GO Term: Histone H3R8 Methyltransferase Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Metal Binding and Homeostasis
GO Term: Tom Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Protein Carrier Chaperone -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Synapse
GO Term: Cysteine-Type Endopeptidase Activator Activity -> Biodomain: Apoptosis, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Rna Sequestering Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Unknown
GO Term: Dna Damage Sensor Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: P-Type Manganese Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Iodotyrosine Deiodinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Unknown
GO Term: Opioid Growth Factor Receptor Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Synapse, Immune Response
GO Term: Ubiquitin-Dependent Protein Catabolic Process Via The C-End Degron Rule Pathway -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Canonical Inflammasome Complex Assembly -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Card8 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Card8 Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Pyroptotic Inflammatory Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Catalytic Activity, Acting On A Nucleic Acid -> Biodomain: DNA Repair, Epigenetic, RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis
GO Term: Negative Regulation Of Pre-B Cell Receptor Expression -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Epigenetic
GO Term: P450-Containing Electron Transport Chain -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Radial Glia-Guided Pyramidal Neuron Migration -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Futile Creatine Cycle -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Unknown
GO Term: Atp-Dependent Chromatin Remodeler Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Mitochondrial Metabolism
GO Term: Cytoskeletal Motor Activator Activity -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Endolysosome
GO Term: Atp-Dependent Protein Folding Chaperone -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Atp-Dependent Fes Chaperone Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Atp-Dependent Dna Damage Sensor Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Oxytocin Production -> Biodomain: Endolysosome, Proteostasis, Synapse, Oxidative Stress, Immune Response
GO Term: Cohesin Unloader Activity -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Atac Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, DNA Repair, Autophagy
GO Term: Transcription Elongation-Coupled Chromatin Remodeling -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Unknown
GO Term: Atp-Dependent Histone Chaperone Activity -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, DNA Repair, Structural Stabilization
GO Term: Molecular Function Activator Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, DNA Repair
GO Term: Molecular Function Inhibitor Activity -> Biodomain: Proteostasis, Apoptosis, Autophagy, Epigenetic, DNA Repair
GO Term: Histone H3K36Me/H3K36Me2 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, DNA Repair, Cell Cycle
GO Term: Histone H3K36Me2/H3K36Me3 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, DNA Repair, Proteostasis, Cell Cycle
GO Term: Fad-Dependent H3K4Me/H3K4Me3 Demethylase Activity -> Biodomain: Epigenetic, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, DNA Repair
GO Term: Histone H3K9Me/H3K9Me2 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, DNA Repair, Oxidative Stress
GO Term: Histone H3K9Me2/H3K9Me3 Demethylase Activity -> Biodomain: Epigenetic, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, DNA Repair
GO Term: Rna Folding Chaperone -> Biodomain: RNA Spliceosome, Structural Stabilization, Proteostasis, Epigenetic, Unknown
GO Term: Very Long-Chain Fatty Acid Omega-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Molecular Condensate Scaffold Activity -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Epigenetic
GO Term: Membraneless Organelle Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair
GO Term: Protein-Containing Complex Localization To Centriolar Satellite -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Cat Tailing -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Cell Cycle
GO Term: Histone Chaperone Activity -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Facultative Heterochromatin Formation -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Constitutive Heterochromatin Formation -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, DNA Repair, Unknown
GO Term: Nlrp6 Inflammasome Complex -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Nlrp6 Inflammasome Complex Assembly -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Lncrna Transcription -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, RNA Spliceosome, Proteostasis
GO Term: Negative Regulation Of Lncrna Transcription -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Immune Response, Cell Cycle
