Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Cell Cycle, Endolysosome
GO Term: Establishment Or Maintenance Of Cell Type Involved In Phenotypic Switching -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Proteostasis, Structural Stabilization
GO Term: Mll1/2 Complex -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Mll3/4 Complex -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Tooth Eruption -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Apoptosis
GO Term: 8-Oxo-Dgdp Phosphatase Activity -> Biodomain: Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: 8-Oxo-Gdp Phosphatase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, DNA Repair, Proteostasis, Metal Binding and Homeostasis
GO Term: 8-Hydroxy-Dadp Phosphatase Activity -> Biodomain: DNA Repair, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Protein Import Into Peroxisome Matrix, Substrate Release -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Epigenetic Programming In The Zygotic Pronuclei -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, RNA Spliceosome, Proteostasis
GO Term: Epigenetic Programing Of Female Pronucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Epigenetic Programing Of Male Pronucleus -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Hemi-Methylated Dna-Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Cellular Response To Human Chorionic Gonadotropin Stimulus -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Response To Human Chorionic Gonadotropin -> Biodomain: Hormone Metabolism, Cell Signaling, Reproductive System, Endocrine Function, Cellular Response
GO Term: Amphisome -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Autolysosome -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Cell Cycle Phase Transition -> Biodomain: Cell Cycle, Cell Cycle Control, DNA Repair, Cell Cycle Processes, Cellular Processes
GO Term: Meiotic Cell Cycle Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Autophagy
GO Term: Mitotic Cell Cycle Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Autophagy
GO Term: Mitotic Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Mitotic Dna Integrity Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Meiotic Dna Integrity Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Apoptosis
GO Term: Meiotic Spindle Checkpoint Signaling -> Biodomain: ERROR: Error code: 400 - {'error': {'message': "The length of your prompt exceeds the model's max input limit 65536. Please reduce the length of your prompt and try again.", 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_request_error'}}
GO Term: Cilium Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Metaphase/Anaphase Transition Of Cell Cycle -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Apoptosis
GO Term: Modulation By Host Of Viral Process -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Suppression Of Viral Release By Host -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Negative Regulation By Host Of Viral Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation By Host Of Viral Process -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Proteostasis
GO Term: Trans-Golgi Network To Recycling Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Synapse, Vasculature
GO Term: Nucleophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Mitotic G2/M Transition Checkpoint -> Biodomain: Cell Cycle  
DNA Repair  
Proteostasis  
Apoptosis  
Epigenetic
GO Term: Mitotic G1/S Transition Checkpoint Signaling -> Biodomain: Cell Cycle, Signal Transduction, Regulatory Mechanisms, DNA Replication and Repair, Epigenetic
GO Term: Modulation By Host Of Viral Genome Replication -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation By Host Of Viral Genome Replication -> Biodomain: Immune Response, Autophagy, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation By Host Of Viral Genome Replication -> Biodomain: Immune Response, Modulation of Process of Another Organism, Host-mediated Perturbation, Biological Process in Interspecies Interaction, Viral Life Cycle
GO Term: Modulation By Host Of Viral Rna Genome Replication -> Biodomain: Immune Response, Autophagy, RNA Spliceosome, Apoptosis, Proteostasis
GO Term: Cell Cycle G2/M Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Cell Cycle G1/S Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Epigenetic
GO Term: Estrous Cycle -> Biodomain: Reproduction, Hormonal Regulation, Cell Cycle, Epigenetic, Metabolism
GO Term: Plasma Membrane Raft -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Synapse, Endolysosome
GO Term: Plasma Membrane Raft Assembly -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Immune Response
GO Term: Plasma Membrane Raft Distribution -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Synapse
GO Term: Plasma Membrane Raft Organization -> Biodomain: Lipid Metabolism, Structural Stabilization, Synapse, Immune Response, Myelination
GO Term: Protein Localization To Plasma Membrane Raft -> Biodomain: Proteostasis, Lipid Metabolism, Synapse, Structural Stabilization, Vasculature
GO Term: Protein Transport Into Plasma Membrane Raft -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Synapse, Endolysosome
GO Term: Negative Regulation By Host Of Viral Glycoprotein Metabolic Process -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Lipoprotein Localization To Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Vasculature
GO Term: Protein-Containing Complex Binding -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Synapse, Endolysosome
GO Term: Mitotic Cytokinesis Checkpoint Signaling -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Double-Strand Break Repair Via Single-Strand Annealing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Oxidative Stress
GO Term: Double-Strand Break Repair Via Synthesis-Dependent Strand Annealing -> Biodomain: DNA Repair, Recombinational Repair, DNA Damage Response, DNA Metabolic Process, Cellular Stress Response
GO Term: Dna Replication Proofreading -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Dna Deamination -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Apoptosis
GO Term: Depurination -> Biodomain: DNA Repair, DNA Damage Response, Oxidative Stress, Apoptosis, Cell Cycle
GO Term: Depyrimidination -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis
GO Term: Actin Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Endolysosome, Autophagy
GO Term: Mitochondrial Magnesium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Nitric Oxide Biosynthetic Process -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Lipid Metabolism, Proteostasis
GO Term: Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: G0 To G1 Transition -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Mitochondrial Degradosome -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Plasma Membrane Fusion -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Dna End Binding -> Biodomain: DNA Repair, Apoptosis, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: G Protein-Coupled Purinergic Nucleotide Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: G Protein-Coupled Udp Receptor Activity -> Biodomain: Signaling Receptor Activity, G Protein-Coupled Receptor Activity, Nucleotide Receptor Activity, Signal Transduction, Transmembrane Signaling Receptor Activity
GO Term: G Protein-Coupled Utp Receptor Activity -> Biodomain: Synapse, Immune Response, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: G Protein-Coupled Atp Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Proteostasis, Oxidative Stress
GO Term: Protein Insertion Into Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Protein Insertion Into Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Protein Import Into Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Protein Import Into Peroxisome Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome
GO Term: Protein Targeting To Er -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Vasculature
GO Term: Protein Insertion Into Er Membrane -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Protein Insertion Into Er Membrane By Stop-Transfer Membrane-Anchor Sequence -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Protein Retention In Golgi Apparatus -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Constitutive Secretory Pathway -> Biodomain: Vasculature, Immune Response, Synapse, Proteostasis, Endolysosome
GO Term: Regulated Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Transcytosis -> Biodomain: Endolysosome, Proteostasis, Vasculature, Synapse, Immune Response
GO Term: T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Positive Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Epigenetic, Autophagy, Cell Cycle
GO Term: Extrathymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: T-Helper 1 Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: T-Helper 2 Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Apoptosis, Autophagy
GO Term: Cytotoxic T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Epigenetic, Proteostasis
GO Term: Regulatory T Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Epigenetic, Apoptosis
GO Term: Regulation Of Viral Genome Replication -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Viral Genome Replication -> Biodomain: Immune Response, Cell Cycle, Autophagy, Epigenetic, Lipid Metabolism
GO Term: Negative Regulation Of Viral Genome Replication -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Innate Immune Response -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Regulation Of Innate Immune Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Positive Regulation Of Innate Immune Response -> Biodomain: Immune Response, Defense Response, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: Immune Response, DNA Repair, RNA Spliceosome, Epigenetic, Proteostasis
GO Term: Interleukin-18 Receptor Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Vasculature
GO Term: Keratin Filament -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Type Iii Intermediate Filament -> Biodomain: Structural Stabilization, Cytoskeleton, Cell Differentiation, Neurogenesis, Cell Morphology
GO Term: Intermediate Filament-Based Process -> Biodomain: Structural Stabilization, Cytoskeleton, Tissue Homeostasis, Cell Adhesion and Migration, Organelle Organization
GO Term: Intermediate Filament Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Intermediate Filament Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Intermediate Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Myelination
GO Term: Intermediate Filament Organization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Intermediate Filament Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Apoptosis
GO Term: Intermediate Filament Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Integrin Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Protein Neddylation -> Biodomain: Proteostasis, Protein Modification, Macromolecule Metabolism, Cellular Metabolism, Ubiquitin System
GO Term: Azole Transmembrane Transport -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: Pronucleus -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Proteostasis
GO Term: Membrane Raft -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Structural Stabilization, Autophagy
GO Term: Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Endolysosome, Apoptosis
GO Term: Regulation Of Bone Resorption -> Biodomain: Structural Stabilization, Homeostatic Process, Proteostasis, Apoptosis, Immune Response
GO Term: Bioactive Lipid Receptor Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Immune Response, Vasculature, Cell Cycle
GO Term: N-Acetylglucosamine Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Keratan Sulfotransferase Activity -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Myelination
GO Term: Pre-Mrna Branch Point Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Structural Stabilization, DNA Repair
GO Term: Meiotic Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Udp Phosphatase Activity -> Biodomain: Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Development Of Secondary Sexual Characteristics -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Development Of Primary Sexual Characteristics -> Biodomain: Reproductive System, Developmental Biology, Hormone Signaling, Reproduction, Cell Differentiation
GO Term: Meiotic Telomere Clustering -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Autophagy
GO Term: Triplex Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Structural Stabilization
GO Term: Homologous Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Apoptosis
GO Term: Single-Stranded Dna 5'-3' Dna Exonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle
GO Term: Tripeptide Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis, Apoptosis
GO Term: Myosin Ii Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Neuronal Ion Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Endolysosome
GO Term: Clustering Of Voltage-Gated Sodium Channels -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Cell Cycle
GO Term: Clustering Of Voltage-Gated Potassium Channels -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Development, Membrane Organization
GO Term: Cell Fate Commitment -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Proteostasis
GO Term: Asymmetric Protein Localization Involved In Cell Fate Determination -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Structural Stabilization, Synapse
GO Term: Intercellular Bridge -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Glutathione Dehydrogenase (Ascorbate) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Basal Protein Localization -> Biodomain: Proteostasis, Structural Stabilization, Autophagy, Cell Cycle, Endolysosome
GO Term: Apical Protein Localization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Apical Part Of Cell -> Biodomain: Structural Stabilization, Vasculature, Synapse, Immune Response, Endolysosome
GO Term: Basal Part Of Cell -> Biodomain: Structural Stabilization, Cell Adhesion, Extracellular Matrix Organization, Cell Polarity, Tissue Morphogenesis
GO Term: Apical Cortex -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Endolysosome
GO Term: Basal Cortex -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism, Cell Cycle
GO Term: Translation Regulator Activity -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Establishment Of Protein Localization -> Biodomain: Proteostasis, Autophagy, Endolysosome, Synapse, Structural Stabilization
GO Term: Maintenance Of Protein Location -> Biodomain: Proteostasis, Endolysosome, Autophagy, Cell Cycle, Structural Stabilization
GO Term: Zonula Adherens Assembly -> Biodomain: Structural Stabilization, Cell-Cell Junction, Cellular Component Organization, Adherens Junction, Tissue Morphogenesis
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Tau Homeostasis
GO Term: Isotype Switching -> Biodomain: Immune Response, DNA Repair, Cell Cycle, Epigenetic, Autophagy
GO Term: Regulation Of Isotype Switching -> Biodomain: Immune Response, DNA Repair, Epigenetic, Cell Cycle, Proteostasis
GO Term: Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Establishment Of Epithelial Cell Apical/Basal Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Maintenance Of Epithelial Cell Apical/Basal Polarity -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Establishment Of Neuroblast Polarity -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Postsynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Sarcomere Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Cell Cycle
GO Term: Cell-Cell Junction Organization -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Proteostasis, Autophagy
GO Term: Cell-Cell Junction Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Zonula Adherens Maintenance -> Biodomain: Structural Stabilization, Cell Junction, Cell Adhesion, Epithelial Function, Cellular Component Maintenance
GO Term: Protein Palmitoleylation -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Oxidative Stress
GO Term: Cxcr Chemokine Receptor Binding -> Biodomain: Immune Response, Proteostasis, Synapse, Structural Stabilization, Vasculature
GO Term: Cxcr1 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Apoptosis, Endolysosome
GO Term: Isocitrate Dehydrogenase Complex (Nad+) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Succinate-Coa Ligase Complex (Gdp-Forming) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Electron Transfer Flavoprotein Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Oxoglutarate Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Pyruvate Dehydrogenase (Lipoamide) Phosphatase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Structural Stabilization, Oxidative Stress
GO Term: Pyruvate Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Proton-Transporting Atp Synthase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Respiratory Chain Complex I -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Apoptosis
GO Term: Respiratory Chain Complex Ii (Succinate Dehydrogenase) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Respiratory Chain Complex Iii -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Respiratory Chain Complex Iv -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Mrna Cis Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Mrna Editing Complex -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Autophagy
GO Term: Alpha-Catenin Binding -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Cell Cycle
GO Term: Gamma-Catenin Binding -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Vasculature
GO Term: Cadherin Binding -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Proteostasis
GO Term: Tubulin Complex -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Otolith Mineralization -> Biodomain: Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Synapse, Mitochondrial Metabolism
GO Term: Protein Phosphorylated Amino Acid Binding -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Synapse, Cell Cycle
GO Term: Leukocyte Activation -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Vasculature
GO Term: Unmethylated Cpg Binding -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Immune Response, Structural Stabilization
GO Term: Late Endosome To Vacuole Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Carnitine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Lipid Metabolism, General Metabolism, Energy Metabolism
GO Term: Phospholipid Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Cellular Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Clathrin-Coated Endocytic Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Phagocytic Vesicle -> Biodomain: Endolysosome, Immune Response, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Farnesyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Farnesyl Diphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Cell Cycle
GO Term: Farnesyl Diphosphate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Mercury Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Mhc Class Ii Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Negative Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Apoptosis, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Negative Regulation Of Mhc Class Ii Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Mhc Class Ii Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Interleukin-1 Type I Receptor Antagonist Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Synapse, Vasculature
GO Term: Interleukin-1 Type Ii Receptor Antagonist Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of Nitric Oxide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Vasculature, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Nitric Oxide Biosynthetic Process -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism
