Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 10: rows 9000 to 9999
GO Term: Cytosolic Ribosome Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Response To Human Chorionic Gonadotropin -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Amphisome -> Biodomain: Autophagy, Endolysosome, Proteostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Autolysosome -> Biodomain: Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, APP Metabolism
GO Term: Cell Cycle Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Autophagy
GO Term: Meiotic Cell Cycle Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Autophagy
GO Term: Mitotic Cell Cycle Phase Transition -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, DNA Repair
GO Term: Mitotic Dna Damage Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Oxidative Stress, Epigenetic
GO Term: Mitotic Dna Integrity Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Unknown
GO Term: Meiotic Dna Integrity Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Meiotic Spindle Checkpoint Signaling -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Cilium Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Endolysosome
GO Term: Metaphase/Anaphase Transition Of Cell Cycle -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Modulation By Host Of Viral Process -> Biodomain: Immune Response, Autophagy, Apoptosis, Proteostasis, Endolysosome
GO Term: Suppression Of Viral Release By Host -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Negative Regulation By Host Of Viral Process -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Positive Regulation By Host Of Viral Process -> Biodomain: Immune Response, Autophagy, Proteostasis, Apoptosis, Endolysosome
GO Term: Trans-Golgi Network To Recycling Endosome Transport -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Nucleophagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Mitotic G2/M Transition Checkpoint -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Mitotic G1/S Transition Checkpoint Signaling -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Modulation By Host Of Viral Genome Replication -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Negative Regulation By Host Of Viral Genome Replication -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Proteostasis
GO Term: Positive Regulation By Host Of Viral Genome Replication -> Biodomain: Immune Response, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Modulation By Host Of Viral Rna Genome Replication -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Cell Cycle G2/M Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Proteostasis, Epigenetic
GO Term: Cell Cycle G1/S Phase Transition -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Epigenetic
GO Term: Estrous Cycle -> Biodomain: Apoptosis, Cell Cycle, Lipid Metabolism, Epigenetic, Vasculature
GO Term: Plasma Membrane Raft -> Biodomain: Lipid Metabolism, Structural Stabilization, Synapse, Immune Response, Myelination
GO Term: Plasma Membrane Raft Assembly -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Synapse
GO Term: Plasma Membrane Raft Distribution -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Endolysosome, Unknown
GO Term: Plasma Membrane Raft Organization -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Synapse, Myelination
GO Term: Protein Localization To Plasma Membrane Raft -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Synapse, Immune Response
GO Term: Protein Transport Into Plasma Membrane Raft -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Immune Response
GO Term: Negative Regulation By Host Of Viral Glycoprotein Metabolic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Lipoprotein Localization To Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Vasculature
GO Term: Protein-Containing Complex Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Synapse, Endolysosome
GO Term: Mitotic Cytokinesis Checkpoint Signaling -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis, Autophagy
GO Term: Double-Strand Break Repair Via Single-Strand Annealing -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Double-Strand Break Repair Via Synthesis-Dependent Strand Annealing -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Dna Replication Proofreading -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Dna Deamination -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis
GO Term: Depurination -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Autophagy
GO Term: Depyrimidination -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Actin Nucleation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Mitochondrial Magnesium Ion Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Nitric Oxide Biosynthetic Process -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Early Endosome To Late Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: G0 To G1 Transition -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Mitochondrial Degradosome -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Plasma Membrane Fusion -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Vasculature
GO Term: Dna End Binding -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Oxidative Stress, Epigenetic
GO Term: G Protein-Coupled Purinergic Nucleotide Receptor Activity -> Biodomain: Synapse, Vasculature, Immune Response, Lipid Metabolism, Cell Cycle
GO Term: G Protein-Coupled Udp Receptor Activity -> Biodomain: Unknown, Immune Response, Oxidative Stress, Proteostasis, Synapse
GO Term: G Protein-Coupled Utp Receptor Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Endolysosome, Apoptosis
GO Term: G Protein-Coupled Atp Receptor Activity -> Biodomain: Synapse, Immune Response, Vasculature, Oxidative Stress, Proteostasis
GO Term: Protein Insertion Into Mitochondrial Inner Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Protein Insertion Into Mitochondrial Outer Membrane -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Protein Import Into Mitochondrial Intermembrane Space -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Protein Import Into Peroxisome Membrane -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Protein Targeting To Er -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Protein Insertion Into Er Membrane -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Unknown
GO Term: Protein Insertion Into Er Membrane By Stop-Transfer Membrane-Anchor Sequence -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Protein Retention In Golgi Apparatus -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Constitutive Secretory Pathway -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Synapse
GO Term: Regulated Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Immune Response, APP Metabolism
GO Term: Transcytosis -> Biodomain: Endolysosome, Vasculature, Synapse, Immune Response, Proteostasis
GO Term: T Cell Selection -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Proteostasis, Cell Cycle, Autophagy
GO Term: Negative Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Thymic T Cell Selection -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Epigenetic
GO Term: Extrathymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: T-Helper 1 Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Apoptosis, Proteostasis, Autophagy
GO Term: T-Helper 2 Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, DNA Repair, Apoptosis
GO Term: Cytotoxic T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulatory T Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Proteostasis
GO Term: Regulation Of Viral Genome Replication -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Viral Genome Replication -> Biodomain: Immune Response, Apoptosis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Viral Genome Replication -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, DNA Repair
GO Term: Innate Immune Response -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Autophagy, Apoptosis
GO Term: Regulation Of Innate Immune Response -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Innate Immune Response -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Proteostasis
GO Term: Regulation Of Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: Immune Response, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Interleukin-18 Receptor Complex -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Keratin Filament -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Type Iii Intermediate Filament -> Biodomain: Structural Stabilization, Vasculature, Synapse, Cell Cycle, Unknown
GO Term: Intermediate Filament-Based Process -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Intermediate Filament Cytoskeleton Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Synapse
GO Term: Intermediate Filament Polymerization Or Depolymerization -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Apoptosis
GO Term: Intermediate Filament Polymerization -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Synapse
GO Term: Intermediate Filament Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Unknown
GO Term: Intermediate Filament Bundle Assembly -> Biodomain: Structural Stabilization, Proteostasis, Unknown, Apoptosis, Autophagy
GO Term: Intermediate Filament Cytoskeleton -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Integrin Biosynthetic Process -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Vasculature, Cell Cycle
GO Term: Protein Neddylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, DNA Repair, Epigenetic
GO Term: Azole Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Pronucleus -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Unknown
GO Term: Membrane Raft -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization, Endolysosome
GO Term: Cellular Extravasation -> Biodomain: Immune Response, Vasculature, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Regulation Of Bone Resorption -> Biodomain: Structural Stabilization, Apoptosis, Immune Response, Mitochondrial Metabolism, Oxidative Stress
GO Term: Bioactive Lipid Receptor Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Apoptosis, Autophagy
GO Term: N-Acetylglucosamine Kinase Activity -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Keratan Sulfotransferase Activity -> Biodomain: Glycosylation, Extracellular Matrix Organization, Proteoglycan Metabolism, Developmental Biology, Carbohydrate Metabolism
GO Term: Pre-Mrna Branch Point Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Unknown
GO Term: Meiotic Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Structural Stabilization
GO Term: Udp Phosphatase Activity -> Biodomain: Unknown, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: Development Of Secondary Sexual Characteristics -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Development Of Primary Sexual Characteristics -> Biodomain: Apoptosis, Cell Cycle, Epigenetic, DNA Repair, Immune Response
GO Term: Meiotic Telomere Clustering -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Apoptosis
GO Term: Triplex Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Structural Stabilization, Cell Cycle
GO Term: Homologous Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Single-Stranded Dna 5'-3' Dna Exonuclease Activity -> Biodomain: DNA Repair, Oxidative Stress, Apoptosis, Cell Cycle, Metal Binding and Homeostasis
GO Term: Tripeptide Aminopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Metal Binding and Homeostasis, Apoptosis
GO Term: Myosin Ii Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Vasculature
GO Term: Neuronal Ion Channel Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Myelination, Tau Homeostasis
GO Term: Clustering Of Voltage-Gated Sodium Channels -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Vasculature
GO Term: Clustering Of Voltage-Gated Potassium Channels -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Unknown
GO Term: Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Immune Response, Synapse, Autophagy
GO Term: Asymmetric Protein Localization Involved In Cell Fate Determination -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic, Synapse
GO Term: Intercellular Bridge -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Unknown
GO Term: Glutathione Dehydrogenase (Ascorbate) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Basal Protein Localization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Unknown
GO Term: Apical Protein Localization -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism, Vasculature
GO Term: Apical Part Of Cell -> Biodomain: Structural Stabilization, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Basal Part Of Cell -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Endolysosome, Cell Cycle
GO Term: Apical Cortex -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Proteostasis, Vasculature
GO Term: Basal Cortex -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Cell Cycle, Lipid Metabolism
GO Term: Translation Regulator Activity -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, Epigenetic, DNA Repair
GO Term: Establishment Of Protein Localization -> Biodomain: Proteostasis, Autophagy, Cell Cycle, RNA Spliceosome, DNA Repair
GO Term: Maintenance Of Protein Location -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, Autophagy, Synapse
GO Term: Zonula Adherens Assembly -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Sleep -> Biodomain: Circadian Rhythms, Neuronal Signaling, Neurodegeneration, Metabolism, Synaptic Function
GO Term: Regulation Of Circadian Sleep/Wake Cycle, Non-Rem Sleep -> Biodomain: Synapse, Proteostasis, Epigenetic, Autophagy, Endolysosome
GO Term: Isotype Switching -> Biodomain: Immune Response, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Regulation Of Isotype Switching -> Biodomain: Immune Response, Epigenetic, DNA Repair, Apoptosis, Autophagy
GO Term: Establishment Or Maintenance Of Epithelial Cell Apical/Basal Polarity -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, Unknown
GO Term: Establishment Of Epithelial Cell Apical/Basal Polarity -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Apoptosis
GO Term: Maintenance Of Epithelial Cell Apical/Basal Polarity -> Biodomain: Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle, Endolysosome
GO Term: Establishment Of Neuroblast Polarity -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Tau Homeostasis, Epigenetic
GO Term: Synapse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Postsynaptic Membrane -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Unknown
GO Term: Sarcomere Organization -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Cell-Cell Junction Organization -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Cell Cycle
GO Term: Cell-Cell Junction Maintenance -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Endolysosome
GO Term: Zonula Adherens Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Vasculature, Cell Cycle
GO Term: Protein Palmitoleylation -> Biodomain: Lipid Metabolism, Proteostasis, Synapse, Endolysosome, Mitochondrial Metabolism
GO Term: Cxcr Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Cxcr1 Chemokine Receptor Binding -> Biodomain: Immune Response, Oxidative Stress, Vasculature, Endolysosome, Apoptosis
GO Term: Isocitrate Dehydrogenase Complex (Nad+) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Apoptosis
GO Term: Succinate-Coa Ligase Complex (Gdp-Forming) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Electron Transfer Flavoprotein Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Oxoglutarate Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Pyruvate Dehydrogenase (Lipoamide) Phosphatase Complex -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Pyruvate Dehydrogenase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Proton-Transporting Atp Synthase Complex -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Respiratory Chain Complex I -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Respiratory Chain Complex Ii (Succinate Dehydrogenase) -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Respiratory Chain Complex Iii -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Respiratory Chain Complex Iv -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Mrna Cis Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Unknown
GO Term: Mrna Editing Complex -> Biodomain: RNA Spliceosome, Epigenetic, Mitochondrial Metabolism, Unknown, Proteostasis
GO Term: Alpha-Catenin Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Apoptosis
GO Term: Gamma-Catenin Binding -> Biodomain: Structural Stabilization, Synapse, Apoptosis, Proteostasis, Vasculature
GO Term: Cadherin Binding -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Tubulin Complex -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Otolith Mineralization -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Protein Phosphorylated Amino Acid Binding -> Biodomain: Proteostasis, Synapse, Cell Cycle, Epigenetic, Immune Response
GO Term: Leukocyte Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Autophagy
GO Term: Unmethylated Cpg Binding -> Biodomain: Epigenetic, Immune Response, Metal Binding and Homeostasis, DNA Repair, Unknown
GO Term: Late Endosome To Vacuole Transport -> Biodomain: Endolysosome, Autophagy, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Carnitine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Phospholipid Translocation -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Cellular Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Clathrin-Coated Endocytic Vesicle -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Synapse
GO Term: Phagocytic Vesicle -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Farnesyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Cell Cycle, Mitochondrial Metabolism
GO Term: Farnesyl Diphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Farnesyl Diphosphate Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Mercury Ion Binding -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis
GO Term: Mhc Class Ii Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: Negative Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Mhc Class I Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Mhc Class Ii Biosynthetic Process -> Biodomain: Immune Response, Endolysosome, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Mhc Class Ii Biosynthetic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Epigenetic, Autophagy
GO Term: Interleukin-1 Type I Receptor Antagonist Activity -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Interleukin-1 Type Ii Receptor Antagonist Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Regulation Of Nitric Oxide Biosynthetic Process -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Positive Regulation Of Nitric Oxide Biosynthetic Process -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Fat Cell Differentiation -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Epigenetic
GO Term: Myoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Endothelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Endolysosome
GO Term: Bone Resorption -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Immune Response, Proteostasis, Structural Stabilization
GO Term: Cell Redox Homeostasis -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Response To Ethanol -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Response To Ether -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Unknown, Lipid Metabolism
GO Term: Locomotor Rhythm -> Biodomain: Circadian Rhythm, Behavior, Neurological Function, Cell Signaling, Metabolism
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Unknown_0/go_biodomain_results_part_10.csv
Logged runtime to: Experiment/DeepSeek/01-Reference_free/01-Name/Unknown_0/runtime_log.csv
