Running with TEMP=0.9, sub_array_index=12
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 12: rows 11000 to 11999
GO Term: Myoblast Fate Commitment -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Killing By Host Of Symbiont Cells -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Pigment Granule Localization -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome, Autophagy
GO Term: Pigment Granule Aggregation In Cell Center -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Lateral Element Assembly -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Epigenetic, Proteostasis
GO Term: Hsp90 Protein Binding -> Biodomain: Proteostasis, Structural Stabilization, Apoptosis, Autophagy, Oxidative Stress
GO Term: G-Quadruplex Dna Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Cell Cycle, Apoptosis
GO Term: Regulation Of Mitochondrial Membrane Potential -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Mitochondrial Depolarization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Timing Of Anagen -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Timing Of Anagen -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Timing Of Anagen -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Cardioblast Differentiation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Regulation Of Focal Adhesion Assembly -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Positive Regulation Of Focal Adhesion Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Immune Response
GO Term: Negative Regulation Of Focal Adhesion Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Vasculature
GO Term: Regulation Of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction -> Biodomain: Lipid Metabolism, Apoptosis, Cell Cycle, Immune Response, Autophagy
GO Term: Negative Regulation Of Phosphatidylinositol 3-Kinase/Protein Kinase B Signal Transduction -> Biodomain: Lipid Metabolism, Autophagy, Proteostasis, Apoptosis, Oxidative Stress
GO Term: Membrane Depolarization -> Biodomain: Synapse, Apoptosis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Mitochondrial Depolarization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Mitochondrial Depolarization -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mitochondrial Depolarization -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Autophagy
GO Term: S-(Hydroxymethyl)Glutathione Dehydrogenase [Nad(P)+] Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Structural Stabilization
GO Term: Pigment Granule Transport -> Biodomain: Structural Stabilization, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Double-Stranded Dna 5'-3' Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Induction Of Synaptic Plasticity By Chemical Substance -> Biodomain: Synapse, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Granulocyte Colony-Stimulating Factor Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Regulation Of Fibrinolysis -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Fibrinolysis -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Fibrinolysis -> Biodomain: Vasculature, Proteostasis, Lipid Metabolism, Immune Response, Structural Stabilization
GO Term: Peroxiredoxin Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Cholesterol Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Sulfation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Myelination
GO Term: Regulation Of Calcium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Synapse, Vasculature, Immune Response
GO Term: Negative Regulation Of Calcium Ion Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Calcium Ion Transport -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Regulation Of Sensory Perception Of Pain -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Synaptic Transmission, Gabaergic -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Glutamate Reuptake -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Vasculature
GO Term: Gamma-Aminobutyric Acid Reuptake -> Biodomain: Synapse, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: L-Glutamate Import -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Gamma-Aminobutyric Acid Import -> Biodomain: Synapse, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Glutamate Uptake Involved In Transmission Of Nerve Impulse -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Myelination, Structural Stabilization
GO Term: Positive Regulation Of Glutamate Uptake Involved In Transmission Of Nerve Impulse -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Autophagy
GO Term: Regulation Of Amine Transport -> Biodomain: Synapse, Endolysosome, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Amino Acid Transport -> Biodomain: Proteostasis, Autophagy, Synapse, Endolysosome, Immune Response
GO Term: Positive Regulation Of Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Methotrexate Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Dynein Light Intermediate Chain Binding -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Regulation Of Nervous System Development -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Nervous System Development -> Biodomain: Synapse, Proteostasis, Apoptosis, Tau Homeostasis, Structural Stabilization
GO Term: Positive Regulation Of Nervous System Development -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Synapse Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Synaptic Transmission, Glutamatergic -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Synaptic Transmission, Glutamatergic -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Synaptic Transmission, Glutamatergic -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Regulation Of Transmission Of Nerve Impulse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Transmission Of Nerve Impulse -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Transmission Of Nerve Impulse -> Biodomain: Synapse, Structural Stabilization, Myelination, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Lysophospholipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Lysophospholipid:Sodium Symporter Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Chromosome Segregation -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, DNA Repair
GO Term: Regulation Of Attachment Of Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Apoptosis
GO Term: (R)-2-Hydroxyglutarate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Squalene Synthase [Nad(P)H] Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: 2-Oxo-4-Hydroxy-4-Carboxy-5-Ureidoimidazoline Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Protein Carboxyl O-Methyltransferase Activity -> Biodomain: Proteostasis, Protein Modification, Epigenetic, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Symbiont-Mediated Suppression Of Host Innate Immune Response -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Suppression Of Symbiont Entry Into Host -> Biodomain: Immune Response, Apoptosis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Trna Dimethylallyltransferase Activity -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Lipid Metabolism, Structural Stabilization, Proteostasis
GO Term: Regulation Of Endopeptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Diamine Oxidase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Vasculature, Immune Response, Synapse
GO Term: Histamine Oxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Mitochondrial Metabolism, Apoptosis
GO Term: Phosphatidylinositol-3,5-Bisphosphate 3-Phosphatase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Synapse
GO Term: Udp-N-Acetylgalactosamine Diphosphorylase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, APP Metabolism, Metal Binding and Homeostasis
GO Term: Lysophosphatidic Acid Phosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome, Autophagy, Apoptosis
GO Term: All-Trans-Retinol Dehydrogenase (Nadp+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Monoacylglycerol Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Cyclic Purine Nucleotide Metabolic Process -> Biodomain: Vasculature, Synapse, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: L-Leucine-2-Oxoglutarate Transaminase Activity -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Metabolism, Neurotransmitter Metabolism, Protein Activity
GO Term: L-Valine-2-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: L-Isoleucine-2-Oxoglutarate Transaminase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Guanine Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Inositol-1,4,5-Trisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Synapse, Vasculature, Immune Response, Cell Cycle
GO Term: Inositol-1,3,4,5-Tetrakisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Mitochondrial Metabolism
GO Term: Carboxylic Ester Hydrolase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Oxidative Stress
GO Term: Trna-Specific Adenosine-34 Deaminase Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Class Ii Dna-(Apurinic Or Apyrimidinic Site) Endonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Apoptosis, Cell Cycle, Proteostasis
GO Term: Fatty Acid In-Chain Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Inositol Hexakisphosphate 1-Kinase Activity -> Biodomain: Lipid Metabolism, Epigenetic, RNA Spliceosome, Autophagy, Endolysosome
GO Term: Inositol-1,3,4-Trisphosphate 6-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Proteostasis
GO Term: Inositol-1,3,4-Trisphosphate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, DNA Repair
GO Term: Phosphocholine Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Phosphoethanolamine Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Trna (Cytidine-3-)-Methyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: (R)-Limonene 6-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Phosphatidylinositol Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Immune Response, Vasculature
GO Term: Inositol Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Cell Cycle, Endolysosome, Oxidative Stress
GO Term: Gdp-Mannose Hydrolase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Chondroitin Hydrolase Activity -> Biodomain: Endolysosome, Autophagy, Proteostasis, Metal Binding and Homeostasis, Structural Stabilization
GO Term: Mannosyl-Oligosaccharide 1,6-Alpha-Mannosidase Activity -> Biodomain: Glycosylation, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: 1-Phosphatidylinositol-5-Kinase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Medium-Chain Fatty Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Medium-Chain Fatty Acyl-Coa Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Long-Chain Fatty Acyl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Very Long-Chain Fatty Acyl-Coa Hydrolase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Inositol Hexakisphosphate 2-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Inositol Pentakisphosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Cell Cycle
GO Term: Inositol-3,4-Bisphosphate 4-Phosphatase Activity -> Biodomain: Signal Transduction, Lipid Metabolism, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Inositol-1,3,4-Trisphosphate 1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Inositol Monophosphate 3-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Inositol Monophosphate 4-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Inositol Monophosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Inositol-3,4,6-Trisphosphate 1-Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Inositol 5-Diphosphate Pentakisphosphate 5-Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, Metal Binding and Homeostasis, Autophagy
GO Term: Diphosphoinositol Tetrakisphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Inositol Diphosphate Tetrakisphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Apoptosis, Metal Binding and Homeostasis
GO Term: Inositol Diphosphate Pentakisphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Epigenetic, DNA Repair, Cell Cycle
GO Term: Inositol-5-Diphosphate-1,2,3,4,6-Pentakisphosphate Diphosphatase Activity -> Biodomain: Lipid Metabolism, Epigenetic, Autophagy, Cell Cycle, Immune Response
GO Term: Inositol-3,5-Bisdiphosphate-2,3,4,6-Tetrakisphosphate 5-Diphosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Ferric-Chelate Reductase (Nadph) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism
GO Term: Nad(P)Hx Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phosphatidylinositol Phosphate Phosphatase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Arachidonate Omega-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Vasculature, Metal Binding and Homeostasis, Immune Response
GO Term: Alpha-Tocopherol Omega-Hydroxylase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Fmn Reductase (Nadph) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Fmn Reductase (Nadh) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: All-Trans-Retinyl-Palmitate Hydrolase, 11-Cis Retinol Forming Activity -> Biodomain: Lipid Metabolism, Epigenetic, Immune Response, Oxidative Stress, Endolysosome
GO Term: All-Trans-Retinyl-Ester Hydrolase, 11-Cis Retinol Forming Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Spermine Oxidase Activity -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: N(1)-Acetylpolyamine Oxidase (3-Acetamidopropanal-Forming) Activity -> Biodomain: Oxidative Stress, Proteostasis, Apoptosis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Trna (Guanosine(9)-N1)-Methyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, RNA Spliceosome, Proteostasis, Metal Binding and Homeostasis
GO Term: Trna (Guanine(37)-N1)-Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Structural Stabilization, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: 18S Rrna (Adenine(1779)-N(6)/Adenine(1780)-N(6))-Dimethyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Dol-P-Man:Man(7)Glcnac(2)-Pp-Dol Alpha-1,6-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Dol-P-Man:Man(8)Glcnac(2)-Pp-Dol Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress, Structural Stabilization
GO Term: All-Trans-Nonaprenyl-Diphosphate Synthase (Geranyl-Diphosphate Specific) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dol-P-Man:Man(5)Glcnac(2)-Pp-Dol Alpha-1,3-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Dol-P-Man:Man(6)Glcnac(2)-Pp-Dol Alpha-1,2-Mannosyltransferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Muscle Cell Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Striated Muscle Cell Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Synapse, Lipid Metabolism
GO Term: Cardiac Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Mitochondrial Metabolism, Cell Cycle
GO Term: Ventricular Cardiac Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Mitochondrial Metabolism, Cell Cycle
GO Term: Cardiac Cell Development -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Vasculature, Cell Cycle, Autophagy
GO Term: Cardiac Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Cell Cycle, Autophagy
GO Term: Cardiac Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Atrial Cardiac Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Ventricular Cardiac Muscle Tissue Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Ventricular Cardiac Muscle Cell Differentiation -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Cardiac Muscle Cell Development -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Atrial Cardiac Muscle Cell Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Ventricular Cardiac Muscle Cell Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Cardiac Muscle Tissue Growth -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Vasculature, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cardiac Muscle Fiber Development -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cardiac Muscle Tissue Growth -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Proteostasis, Cell Cycle
GO Term: Regulation Of Cardiac Muscle Tissue Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Cardiac Muscle Tissue Development -> Biodomain: Mitochondrial Metabolism, Proteostasis, Cell Cycle, Lipid Metabolism, Vasculature
GO Term: Negative Regulation Of Cardiac Muscle Tissue Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Cortical Microtubule -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Tau Homeostasis, Autophagy
GO Term: Nuclear Dna-Directed Rna Polymerase Complex -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Metal Binding and Homeostasis, DNA Repair
GO Term: Recycling Endosome -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Vasculature, Synapse
GO Term: Recycling Endosome Membrane -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Synapse
GO Term: Anastral Spindle Assembly -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: D-Glucose Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Immune Response, Endolysosome
GO Term: Asymmetric Neuroblast Division -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, RNA Spliceosome, Lipid Metabolism
GO Term: Phosphate Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Chloride Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Endolysosome, Synapse, Oxidative Stress
GO Term: Copper Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Proteostasis
GO Term: Manganese Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis, Mitochondrial Metabolism
GO Term: Calcium Ion Homeostasis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Apoptosis
GO Term: Potassium Ion Homeostasis -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Gap Junction Hemi-Channel Activity -> Biodomain: Synapse, Structural Stabilization, Endolysosome, Proteostasis, Vasculature
GO Term: Sodium Ion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Vasculature, Endolysosome, Synapse, Proteostasis
GO Term: Monoatomic Cation Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Monoatomic Anion Homeostasis -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Intracellular Chemical Homeostasis -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism
