Running with TEMP=0.5, sub_array_index=19
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Interleukin-1-Mediated Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Interleukin-1-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dendritic Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Positive Regulation Of Dendritic Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Structural Stabilization, Oxidative Stress
GO Term: Negative Regulation Of Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Synapse, Cell Cycle, Structural Stabilization
GO Term: Positive Regulation Of Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Synapse, Immune Response
GO Term: Negative Regulation Of Type B Pancreatic Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Type B Pancreatic Cell Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Immune Response, Cell Cycle
GO Term: Regulation Of Transcription Regulatory Region Dna Binding -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, Immune Response, Structural Stabilization
GO Term: Negative Regulation Of Transcription Regulatory Region Dna Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Transcription Regulatory Region Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Metal Binding and Homeostasis
GO Term: Regulation Of Cellular Response To X-Ray -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Actomyosin Contractile Ring Assembly Actin Filament Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Cardiac Muscle Cell Myoblast Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis, Autophagy
GO Term: Regulation Of Epithelial Cell Differentiation Involved In Kidney Development -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Epithelial Cell Differentiation Involved In Kidney Development -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis, Vasculature
GO Term: Negative Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway Involved In Ureteric Bud Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Negative Regulation Of Dense Core Granule Biogenesis -> Biodomain: Proteostasis, Synapse, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Positive Regulation Of Dense Core Granule Biogenesis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Maintenance Of Mitotic Sister Chromatid Cohesion, Centromeric -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Maintenance Of Mitotic Sister Chromatid Cohesion, Centromeric -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Cardiac Vascular Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Apoptosis
GO Term: Positive Regulation Of Cardiac Vascular Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Apoptosis
GO Term: Regulation Of Cardiac Muscle Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, RNA Spliceosome, Autophagy
GO Term: Negative Regulation Of Cardiac Muscle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Positive Regulation Of Cardiac Muscle Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Mesenchymal Cell Proliferation Involved In Ureter Development -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Regulation Of Termination Of Rna Polymerase I Transcription -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Glial Cell-Derived Neurotrophic Factor Receptor Signaling Pathway Involved In Ureteric Bud Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Regulation Of Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Stem Cell Differentiation -> Biodomain: Cell Cycle, Autophagy, Proteostasis, Epigenetic, Apoptosis
GO Term: Positive Regulation Of Stem Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Mesenchymal Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Vasculature, Autophagy
GO Term: Negative Regulation Of Mesenchymal Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Mesenchymal Stem Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Positive Regulation Of Anterior Head Development -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Lipid Metabolism, Structural Stabilization
GO Term: Regulation Of Glucosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Glucosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Sphingomyelin Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Peptidyl-Lysine Acetylation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Peptidyl-Lysine Acetylation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Cytoplasmic Translation -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, Oxidative Stress, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cytoplasmic Translation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, RNA Spliceosome
GO Term: Positive Regulation Of Cytoplasmic Translation -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Oxidative Stress, Mitochondrial Metabolism
GO Term: Positive Regulation Of Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Regulation Of Cellular Senescence -> Biodomain: Cell Cycle, DNA Repair, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Cellular Senescence -> Biodomain: Cell Cycle, DNA Repair, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Cellular Senescence -> Biodomain: Cell Cycle, DNA Repair, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Regulation Of Double-Strand Break Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Double-Strand Break Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Double-Strand Break Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Establishment Of Cell Polarity Regulating Cell Shape -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Regulation Of Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Positive Regulation Of Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Mesenchymal Cell Proliferation Involved In Lung Development -> Biodomain: Cell Cycle, Apoptosis, Autophagy, Structural Stabilization, Epigenetic
GO Term: Cell Proliferation Involved In Heart Valve Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Proteostasis, Epigenetic
GO Term: Regulation Of Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Autophagy
GO Term: Negative Regulation Of Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Vasculature, Autophagy
GO Term: Negative Regulation Of Amniotic Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Endocardial Cushion To Mesenchymal Transition Involved In Heart Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Autophagy
GO Term: Negative Regulation Of Termination Of Rna Polymerase Ii Transcription, Poly(A)-Coupled -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Termination Of Rna Polymerase Ii Transcription, Poly(A)-Coupled -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Regulation Of Synaptic Vesicle Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Synaptic Vesicle Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Positive Regulation Of Synaptic Vesicle Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Endolysosome
GO Term: Regulation Of Bicellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Anoikis -> Biodomain: Apoptosis, Proteostasis, Autophagy, Structural Stabilization, Cell Cycle
GO Term: Regulation Of Barbed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Cell Cycle, Autophagy, Endolysosome, Synapse
GO Term: Negative Regulation Of Barbed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Synapse
GO Term: Positive Regulation Of Barbed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Negative Regulation Of Myoblast Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Autophagy
GO Term: Regulation Of Nucleotide-Excision Repair -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Regulation Of Grooming Behavior -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Immune Response
GO Term: Regulation Of Behavioral Fear Response -> Biodomain: Synapse, Vasculature, Epigenetic, Myelination, Oxidative Stress
GO Term: Regulation Of Heart Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Epigenetic
GO Term: Mitochondrial Rna Surveillance -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Parathyroid Hormone Secretion -> Biodomain: Metal Binding and Homeostasis, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Androgen Secretion -> Biodomain: Steroid Metabolism, Endocrine, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Testosterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Glucocorticoid Secretion -> Biodomain: Immune Response, Oxidative Stress, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Regulation Of Corticosterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Epigenetic
GO Term: Negative Regulation Of Corticosterone Secretion -> Biodomain: Oxidative Stress, Lipid Metabolism, Immune Response, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Corticosterone Secretion -> Biodomain: Mitochondrial Metabolism, Immune Response, Lipid Metabolism, Oxidative Stress, Epigenetic
GO Term: Negative Regulation Of Aldosterone Secretion -> Biodomain: Vasculature, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Aldosterone Secretion -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Regulation Of Estradiol Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Cell Cycle
GO Term: Positive Regulation Of Estradiol Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Epigenetic
GO Term: Regulation Of Progesterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Progesterone Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Cellobiose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Cyclodextrin Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Detection Of Glucose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Pro-B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Pro-B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Pro-B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulation Of Forebrain Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Forebrain Neuron Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, RNA Spliceosome
GO Term: Positive Regulation Of Forebrain Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Inner Ear Receptor Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Proteostasis
GO Term: Positive Regulation Of Inner Ear Receptor Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Behavioral Fear Response -> Biodomain: Synapse, Oxidative Stress, Immune Response, Apoptosis, Proteostasis
GO Term: Epithelial Cell Proliferation Involved In Renal Tubule Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Vasculature
GO Term: Regulation Of Skeletal Muscle Cell Differentiation -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Skeletal Muscle Cell Differentiation -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Skeletal Muscle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Retrograde Axon Cargo Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Regulation Of Response To Drug -> Biodomain: Immune Response, Proteostasis, Autophagy, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Response To Drug -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Response To Drug -> Biodomain: Immune Response, Cell Cycle, Epigenetic, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Endothelial Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Endothelial Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining -> Biodomain: DNA Repair, Cell Cycle, Immune Response, Epigenetic, Structural Stabilization
GO Term: Negative Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Autophagy, Apoptosis
GO Term: Positive Regulation Of Tongue Muscle Cell Differentiation -> Biodomain: Muscle System, Stem Cell Biology, Organ Development, Regulation, Cell Differentiation
GO Term: Regulation Of Cellular Response To Drug -> Biodomain: Apoptosis, Cell Cycle, Immune Response, Autophagy, Proteostasis
GO Term: Negative Regulation Of Cellular Response To Drug -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Positive Regulation Of Cellular Response To Drug -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Epigenetic
GO Term: Regulation Of Integrin-Mediated Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Apoptosis
GO Term: Negative Regulation Of Integrin-Mediated Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Integrin-Mediated Signaling Pathway -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Synapse
GO Term: Positive Regulation Of Tendon Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Immune Response, Structural Stabilization
GO Term: Positive Regulation Of Mesenchymal Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Immune Response
GO Term: Reactive Nitrogen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Apoptosis
GO Term: Mannan Binding -> Biodomain: Immune Response, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glycogen Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Proteostasis
GO Term: Starch Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Metanephric Ureteric Bud Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Rho Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Autophagy, Immune Response
GO Term: Positive Regulation Of Lens Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Negative Regulation Of Cellular Response To Hepatocyte Growth Factor Stimulus -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Cellular Response To Hepatocyte Growth Factor Stimulus -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Autophagy
GO Term: Negative Regulation Of Translational Frameshifting -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
GO Term: Regulation Of Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Lipid Metabolism, Immune Response
GO Term: Positive Regulation Of Phospholipid Transport -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Autophagy, Structural Stabilization
GO Term: Regulation Of Rna Biosynthetic Process -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, DNA Repair, Autophagy
GO Term: Nicotinate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Phosphatidylinositol-3,4,5-Trisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Apoptosis, Cell Cycle
GO Term: Positive Regulation Of Dipeptide Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Positive Regulation Of Renal Water Transport -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Mediator Complex Assembly -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Regulation Of Cd8-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Cd8-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Synapse, Endolysosome, Cell Cycle, Mitochondrial Metabolism
GO Term: Negative Regulation Of T Cell Activation Via T Cell Receptor Contact With Antigen Bound To Mhc Molecule On Antigen Presenting Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T Cell Activation Via T Cell Receptor Contact With Antigen Bound To Mhc Molecule On Antigen Presenting Cell -> Biodomain: Immune Response, Synapse, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Gamma-Delta T Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Endolysosome, Autophagy, Apoptosis
GO Term: Negative Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: Positive Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Autophagy, Endolysosome, Epigenetic
GO Term: Regulation Of Osteoclast Development -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Negative Regulation Of Osteoclast Development -> Biodomain: Apoptosis, Immune Response, Proteostasis, Structural Stabilization, Mitochondrial Metabolism
GO Term: Positive Regulation Of Osteoclast Development -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Regulation Of Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Negative Regulation Of Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Immune Response, Proteostasis
GO Term: Positive Regulation Of Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Cell Cycle, Endolysosome
GO Term: Regulation Of Neuron Migration -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Tau Homeostasis, Epigenetic
GO Term: Negative Regulation Of Neuron Migration -> Biodomain: Synapse, Structural Stabilization, Autophagy, Tau Homeostasis, Proteostasis
GO Term: Positive Regulation Of Neuron Migration -> Biodomain: Structural Stabilization, Tau Homeostasis, Synapse, Epigenetic, Lipid Metabolism
GO Term: Regulation Of Chloride Transport -> Biodomain: Vasculature, Synapse, Endolysosome, Proteostasis, Immune Response
GO Term: Negative Regulation Of Chloride Transport -> Biodomain: Synapse, Endolysosome, Autophagy, Vasculature, Proteostasis
GO Term: Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, DNA Repair
GO Term: Negative Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Autophagy, Immune Response, Cell Cycle
GO Term: Positive Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Regulation Of Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Immune Response, Oxidative Stress
GO Term: Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Negative Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization, Immune Response
GO Term: Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Negative Regulation Of Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Proteostasis
GO Term: Positive Regulation Of Ammonia Assimilation Cycle -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
