Running with TEMP=0.1, sub_array_index=3
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 3: rows 2000 to 2999
GO Term: Endopeptidase Inhibitor Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Immune Response, Endolysosome
GO Term: Glutaminyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Epigenetic, Cell Cycle, Metal Binding and Homeostasis
GO Term: Glycyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Autophagy
GO Term: Histidyl-Trna Aminoacylation -> Biodomain: Proteostasis, Protein Synthesis, Enzymatic Activity, Translation Regulation, Protein Quality Control
GO Term: Isoleucyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Leucyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Lipid Metabolism, Cell Cycle
GO Term: Lysyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic, Autophagy
GO Term: Methionyl-Trna Aminoacylation -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Phenylalanyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Autophagy
GO Term: Prolyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Seryl-Trna Aminoacylation -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Metal Binding and Homeostasis, Cell Cycle
GO Term: Threonyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Tryptophanyl-Trna Aminoacylation -> Biodomain: Proteostasis, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle
GO Term: Tyrosyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Structural Stabilization
GO Term: Valyl-Trna Aminoacylation -> Biodomain: Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis, RNA Spliceosome, Cell Cycle
GO Term: Regulation Of Translational Initiation -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Cell Cycle
GO Term: Regulation Of Translational Elongation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Synapse, Epigenetic
GO Term: Regulation Of Translational Termination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Regulation Of Translational Fidelity -> Biodomain: Proteostasis, Epigenetic, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Translational Frameshifting -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Autophagy
GO Term: Protein Folding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: 'De Novo' Protein Folding -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Apoptosis
GO Term: Steroid Hormone Receptor Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Epigenetic
GO Term: Signal Peptide Processing -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Protein Phosphorylation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Tau Homeostasis
GO Term: Negative Regulation Of Protein Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Protein Dephosphorylation -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, Autophagy
GO Term: Protein Acetylation -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Cell Cycle, Autophagy
GO Term: N-Terminal Protein Amino Acid Acetylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: Internal Protein Amino Acid Acetylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Protein Deacetylation -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Protein Sulfation -> Biodomain: Proteostasis, Endolysosome, Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Peptidyl-Tyrosine Sulfation -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, Lipid Metabolism, Vasculature
GO Term: Protein Methylation -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: N-Terminal Protein Amino Acid Methylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle, Autophagy
GO Term: C-Terminal Protein Methylation -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Autophagy, Apoptosis
GO Term: Protein Demethylation -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Autophagy
GO Term: Protein Glycosylation -> Biodomain: Proteostasis, Structural Stabilization, Lipid Metabolism, Endolysosome, Immune Response
GO Term: Protein N-Linked Glycosylation -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Dolichol-Linked Oligosaccharide Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Dolichyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: N-Glycan Processing -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Protein O-Linked Glycosylation -> Biodomain: Proteostasis, Structural Stabilization, Immune Response, APP Metabolism, Epigenetic
GO Term: Protein Lipidation -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: N-Terminal Protein Myristoylation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: C-Terminal Protein Lipidation -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Gpi Anchor Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Gpi Anchor Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Proteolysis -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, APP Metabolism
GO Term: Membrane Protein Ectodomain Proteolysis -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Protein Monoubiquitination -> Biodomain: Proteostasis, Endolysosome, Autophagy, DNA Repair, Apoptosis
GO Term: Protein Quality Control For Misfolded Or Incompletely Synthesized Proteins -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Glycoprotein Catabolic Process -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Protein Deglycosylation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, APP Metabolism
GO Term: Peptide Metabolic Process -> Biodomain: Proteostasis, APP Metabolism, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Arginine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Vasculature, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: L-Arginine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress
GO Term: L-Arginine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Asparagine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Asparagine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Aspartate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metabolic Pathways, Proteostasis, Metal Binding and Homeostasis
GO Term: Aspartate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: L-Aspartate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cysteine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Cysteine Biosynthetic Process From Serine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Glutamate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glutamate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: L-Glutamate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Gamma-Aminobutyrate Shunt -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Autophagy
GO Term: Glutamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Glutamine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Glutamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Glycine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Glycine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Glycine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: L-Histidine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Immune Response, Metal Binding and Homeostasis, Proteostasis
GO Term: L-Histidine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metabolism, Oxidative Stress, Immune Response
GO Term: Isoleucine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: L-Isoleucine Catabolic Process -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Leucine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: L-Leucine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Lysine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Methionine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: S-Adenosylmethionine Biosynthetic Process -> Biodomain: Epigenetic, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: L-Phenylalanine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Proline Metabolic Process -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Proline Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis
GO Term: L-Proline Catabolic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: L-Serine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: L-Serine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Serine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Threonine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: L-Threonine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Apoptosis
GO Term: L-Tryptophan Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: L-Tryptophan Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Tyrosine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Tyrosine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: L-Tyrosine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Valine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: L-Valine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Modified Amino Acid Metabolic Process -> Biodomain: Proteostasis, Epigenetic, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Biogenic Amine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Autophagy
GO Term: Amino-Acid Betaine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Amino-Acid Betaine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Ethanolamine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Acetylcholine Catabolic Process -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Melanin Metabolic Process -> Biodomain: Oxidative Stress, Endolysosome, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Melanin Biosynthetic Process From Tyrosine -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism, Proteostasis
GO Term: Catecholamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Metal Binding and Homeostasis, Proteostasis
GO Term: Dopamine Biosynthetic Process From Tyrosine -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Serotonin Biosynthetic Process From Tryptophan -> Biodomain: Synapse, Amino Acid Metabolism, Metabolism, Mitochondrial Metabolism, Cell Signaling
GO Term: Octopamine Biosynthetic Process -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Thyroid Hormone Generation -> Biodomain: Endolysosome, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Ornithine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Ornithine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: L-Ornithine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism
GO Term: Polyamine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Polyamine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Spermine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Polyamine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Creatine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Creatine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Protein Targeting -> Biodomain: Proteostasis, Endolysosome, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Protein Import Into Nucleus -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Nls-Bearing Protein Import Into Nucleus -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle
GO Term: Ribosomal Protein Import Into Nucleus -> Biodomain: Nuclear Import, Ribosome Biogenesis, Protein Trafficking, Nucleocytoplasmic Transport, Translation Regulation
GO Term: Protein Export From Nucleus -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Apoptosis, DNA Repair
GO Term: Protein Targeting To Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Cotranslational Protein Targeting To Membrane -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Structural Stabilization
GO Term: Srp-Dependent Cotranslational Protein Targeting To Membrane -> Biodomain: Proteostasis, Structural Stabilization, Endolysosome, RNA Spliceosome, Autophagy
GO Term: Srp-Dependent Cotranslational Protein Targeting To Membrane, Translocation -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Mitochondrial Metabolism
GO Term: Srp-Dependent Cotranslational Protein Targeting To Membrane, Signal Sequence Recognition -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Post-Translational Protein Targeting To Endoplasmic Reticulum Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Protein Retention In Er Lumen -> Biodomain: Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism
GO Term: Protein Targeting To Lysosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Protein Targeting To Vacuole -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Vacuolar Protein Processing -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Protein Targeting To Peroxisome -> Biodomain: Proteostasis, Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Structural Stabilization
GO Term: Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Structural Stabilization, Oxidative Stress
GO Term: Protein Processing Involved In Protein Targeting To Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Fatty Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle
GO Term: Fatty Acid Beta-Oxidation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Unsaturated Fatty Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Acyl-Coa Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Neutral Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Acylglycerol Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Monoacylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Triglyceride Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Myelination
GO Term: Triglyceride Mobilization -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Membrane Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Mitochondrial Metabolism, Autophagy
GO Term: Phospholipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Phosphatidylethanolamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Phospholipid Transfer To Membrane -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Glycerophospholipid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Diacylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis
GO Term: Phosphatidic Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Phosphatidylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Cdp-Choline Pathway -> Biodomain: Lipid Metabolism, Structural Stabilization, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Phosphatidylserine Metabolic Process -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Phosphatidylserine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Myelination, Endolysosome
GO Term: Phosphatidylserine Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Proteostasis
GO Term: Phosphatidylinositol Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Immune Response, Structural Stabilization
GO Term: Platelet Activating Factor Biosynthetic Process -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Glycolipid Metabolic Process -> Biodomain: Lipid Metabolism, Glycosphingolipid Metabolism, Endolysosome, Myelination, Synapse
GO Term: Sphingolipid Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Myelination
GO Term: 3-Keto-Sphinganine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Sphinganine Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Sphinganine-1-Phosphate Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Sphinganine-1-Phosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Apoptosis, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Sphingosine Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Autophagy, Proteostasis
GO Term: Ceramide Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Glycosylceramide Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Apoptosis
GO Term: Glucosylceramide Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization, Apoptosis
GO Term: Glucosylceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Glucosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Galactosylceramide Metabolic Process -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Endolysosome, Immune Response
GO Term: Galactosylceramide Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Structural Stabilization, Endolysosome, Autophagy
GO Term: Galactosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Autophagy, Structural Stabilization
GO Term: Sphingomyelin Metabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Sphingomyelin Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Apoptosis, Myelination
GO Term: Sphingomyelin Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Synapse, Endolysosome, Autophagy
GO Term: Glycosphingolipid Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Synapse
GO Term: Glycosphingolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Ganglioside Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Synapse
GO Term: Icosanoid Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Leukotriene Metabolic Process -> Biodomain: Immune Response, Lipid Metabolism, Vasculature, Oxidative Stress, Apoptosis
GO Term: Prostanoid Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Mitochondrial Metabolism
GO Term: Prostaglandin Metabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism
Saved results to: Experiment/DeepSeek/01-Reference_free/01-Name/Temp_0.1/go_biodomain_results_part_3.csv
