Running with TEMP=0.5, sub_array_index=17
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 17: rows 16000 to 16999
GO Term: Zinc:Proton Antiporter Activity -> Biodomain: Metal Binding and Homeostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Lateral Motor Column Neuron Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Calcium Ion Import Into Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Calcium Ion Import Into Sarcoplasmic Reticulum -> Biodomain: Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Proteostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Flagellated Sperm Motility -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Calcitriol Binding -> Biodomain: Lipid Metabolism, Immune Response, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Negative Regulation Of Metaphase/Anaphase Transition Of Meiotic Cell Cycle -> Biodomain: Cell Cycle, Apoptosis, DNA Repair, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Leukocyte Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Endolysosome, Autophagy
GO Term: Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Mitochondrial Membrane Permeability Involved In Apoptotic Process -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Organelle Assembly -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Positive Regulation Of Organelle Assembly -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Calcidiol Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Lithocholic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Chenodeoxycholic Acid Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Response To Inositol -> Biodomain: Lipid Metabolism, Autophagy, Immune Response, Synapse, Endolysosome
GO Term: Regulation Of Response To Dna Integrity Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Regulation Of Response To Dna Damage Checkpoint Signaling -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Cellular Response To Reactive Nitrogen Species -> Biodomain: Oxidative Stress, Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis
GO Term: Regulation Of Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, Epigenetic, Proteostasis, Cell Cycle, Immune Response
GO Term: Negative Regulation Of Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Immune Response, Proteostasis
GO Term: Positive Regulation Of Keratinocyte Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Immune Response, Endolysosome
GO Term: Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Oxidative Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Fibroblast Growth Factor Receptor Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, Immune Response
GO Term: Regulation Of Hepatocyte Growth Factor Receptor Signaling Pathway -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Vasculature, Immune Response
GO Term: Negative Regulation Of Hepatocyte Growth Factor Receptor Signaling Pathway -> Biodomain: Signaling Pathways, Receptor Tyrosine Kinase Signaling, Tissue Development, Cell Growth Regulation, Cell Adhesion
GO Term: Positive Regulation Of Hepatocyte Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Vasculature, Apoptosis, Proteostasis, Immune Response
GO Term: Negative Regulation Of Interleukin-2-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Prolactin Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Interleukin-4-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Interleukin-4-Mediated Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Oxidative Stress, Proteostasis, Autophagy
GO Term: Erythrocyte Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Structural Stabilization
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Ketone Body Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Negative Regulation Of Acrosome Reaction -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Macrophage Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Macrophage Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Endolysosome
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Mitochondrial Metabolism, Proteostasis, Cell Cycle
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Dna Damage -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Oxidative Stress, Proteostasis
GO Term: Regulation Of Positive Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Positive Thymic T Cell Selection -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Negative Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress By P53 Class Mediator -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Oxidative Stress, DNA Repair
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway In Response To Osmotic Stress By P53 Class Mediator -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Cell Cycle
GO Term: Geranylgeranyl Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Erythrocyte Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Vasculature, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, Proteostasis, DNA Repair, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, DNA Repair, Oxidative Stress
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway By P53 Class Mediator -> Biodomain: Apoptosis, DNA Repair, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Apoptotic Process Involved In Outflow Tract Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Apoptotic Process Involved In Outflow Tract Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Vasculature, Cell Cycle, Mitochondrial Metabolism
GO Term: Regulation Of Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Vasculature
GO Term: Negative Regulation Of Delayed Rectifier Potassium Channel Activity -> Biodomain: Synapse, Metal Binding and Homeostasis, Vasculature, Oxidative Stress, Proteostasis
GO Term: Apoptotic Process Involved In Blood Vessel Morphogenesis -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Endolysosome, Proteostasis
GO Term: Apoptotic Process Involved In Embryonic Digit Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, DNA Repair
GO Term: Negative Regulation Of Polyamine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Positive Regulation Of Polyamine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: (R)-Carnitine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: D3 Vitamins Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Epigenetic
GO Term: Regulation Of Chromatin Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Voltage-Gated Potassium Channel Activity Involved In Ventricular Cardiac Muscle Cell Action Potential Repolarization -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Semaphorin-Plexin Signaling Pathway Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Lipid Metabolism
GO Term: Regulation Of Sodium Ion Transmembrane Transport -> Biodomain: Synapse, Vasculature, Myelination, Structural Stabilization, Endolysosome
GO Term: Negative Regulation Of Sodium Ion Transmembrane Transport -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Oxidative Stress
GO Term: Positive Regulation Of Sodium Ion Transmembrane Transport -> Biodomain: Vasculature, Synapse, Myelination, Structural Stabilization, Proteostasis
GO Term: Regulation Of Copper Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Positive Regulation Of Retinal Ganglion Cell Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Apoptotic Process Involved In Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Chromosome Condensation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Proteostasis, Apoptosis
GO Term: Response To Chloroquine -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Apoptosis
GO Term: Cellular Response To Chloroquine -> Biodomain: Autophagy, Endolysosome, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Oxaloacetate(2-) Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Sulfate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Melanocyte Apoptotic Process -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Protein Localization To Spindle Pole Body -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, DNA Repair
GO Term: Negative Regulation Of Notch Signaling Pathway Involved In Somitogenesis -> Biodomain: Developmental Biology, Cell Signaling, Cell Differentiation, Gene Regulation, Cell Cycle
GO Term: Negative Regulation Of Rna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, DNA Repair
GO Term: Negative Regulation Of Mrna Catabolic Process -> Biodomain: RNA Spliceosome, Proteostasis, Cell Cycle, Autophagy, Epigenetic
GO Term: Chemoattractant Activity Involved In Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Immune Response
GO Term: Ceramide 1-Phosphate Binding -> Biodomain: Lipid Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism
GO Term: Ceramide 1-Phosphate Transfer Activity -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Immune Response, Proteostasis
GO Term: Ceramide 1-Phosphate Transport -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Proteostasis, Mitochondrial Metabolism
GO Term: Protein Localization To Bicellular Tight Junction -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Vasculature, Endolysosome
GO Term: Mitotic Cytokinetic Process -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, DNA Repair
GO Term: Regulation Of Mitotic Cytokinesis -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Localization To Cell Junction -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Endolysosome, Autophagy
GO Term: Positive Regulation Of Mrna Binding -> Biodomain: Proteostasis, RNA Spliceosome, Synapse, Epigenetic, Autophagy
GO Term: Regulation Of Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Negative Regulation Of Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Positive Regulation Of Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, DNA Repair, Apoptosis
GO Term: Deactivation Of Mitotic Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Amyloid-Beta Formation -> Biodomain: APP Metabolism, Proteostasis, Endolysosome, Autophagy, Tau Homeostasis
GO Term: Positive Regulation Of Male Mating Behavior -> Biodomain: Synapse, Epigenetic, Proteostasis, Tau Homeostasis, Lipid Metabolism
GO Term: Negative Regulation Of Ripoptosome Assembly Involved In Necroptotic Process -> Biodomain: Apoptosis, Proteostasis, Immune Response, Autophagy, Oxidative Stress
GO Term: Riboflavin Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Regulation Of Mitochondrial Membrane Permeability Involved In Programmed Necrotic Cell Death -> Biodomain: Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Apoptosis, Epigenetic, Autophagy, Immune Response
GO Term: Positive Regulation Of Stem Cell Population Maintenance -> Biodomain: Cell Cycle, Stem Cells, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Mesenchymal Stem Cell Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Structural Stabilization
GO Term: Positive Regulation Of Mesenchymal Stem Cell Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Immune Response, Autophagy
GO Term: Protein Localization To Cell Leading Edge -> Biodomain: Structural Stabilization, Immune Response, Synapse, Proteostasis, Cell Cycle
GO Term: Regulation Of Protein Localization To Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, APP Metabolism, Endolysosome
GO Term: Positive Regulation Of Protein Localization To Synapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Myelination, Endolysosome
GO Term: L-Alpha-Amino Acid Transmembrane Transport -> Biodomain: Synapse, Proteostasis, Autophagy, Endolysosome, Mitochondrial Metabolism
GO Term: Chloride Transmembrane Transport -> Biodomain: Ion Homeostasis, Synapse, Endolysosome, Vasculature, Immune Response
GO Term: Protein Localization To Mitotic Spindle -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Autophagy, DNA Repair
GO Term: Regulatory T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Cytotoxic T Cell Pyroptotic Cell Death -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Sperm Capacitation -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Apoptosis
GO Term: Negative Regulation Of Sperm Capacitation -> Biodomain: Cell Cycle, Proteostasis, Lipid Metabolism, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Sperm Capacitation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Acetyltransferase Complex -> Biodomain: Epigenetic, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Catalytic Complex -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Metal Binding and Homeostasis
GO Term: Transmembrane Transporter Complex -> Biodomain: Synapse, Mitochondrial Metabolism, Endolysosome, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Regulation Of Protein Autoubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Protein Autoubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Immune Response
GO Term: Lysosomal Hops Complex -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Regulation Of Apoptotic Dna Fragmentation -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Apoptotic Dna Fragmentation -> Biodomain: Apoptosis, DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Apoptotic Dna Fragmentation -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Regulation Of Organelle Transport Along Microtubule -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Regulation Of Calcium Ion Transmembrane Transport Via High Voltage-Gated Calcium Channel -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Vasculature
GO Term: Positive Regulation Of Protein K63-Linked Ubiquitination -> Biodomain: Proteostasis, Immune Response, Autophagy, DNA Repair, Apoptosis
GO Term: Positive Regulation Of Protein K48-Linked Ubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Immune Response
GO Term: Regulation Of Protein Monoubiquitination -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Positive Regulation Of Protein Monoubiquitination -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Apoptosis
GO Term: Positive Regulation Of Protein Linear Polyubiquitination -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Endolysosome
GO Term: Regulation Of Intracellular Signal Transduction -> Biodomain: Cell Cycle, Autophagy, Apoptosis, Immune Response, Lipid Metabolism
GO Term: Negative Regulation Of Intracellular Signal Transduction -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Autophagy
GO Term: Positive Regulation Of Intracellular Signal Transduction -> Biodomain: Signal Transduction, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Negative Regulation Of Cellular Response To Vascular Endothelial Growth Factor Stimulus -> Biodomain: Vasculature, Immune Response, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Catalase Activity -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Serine/Threonine Protein Kinase Complex -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Structural Stabilization
GO Term: Endoribonuclease Complex -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: 5'-Adenylyl Sulfate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Endolysosome, Epigenetic, Lipid Metabolism
GO Term: 3'-Phospho-5'-Adenylyl Sulfate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Gmp Reductase Complex -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: H4 Histone Acetyltransferase Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Regulation Of Neutrophil Activation -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Neutrophil Activation -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Positive Regulation Of Neutrophil Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Negative Regulation Of Eosinophil Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Protein Localization To Nucleolus -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, DNA Repair, Autophagy
GO Term: Proton Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: Silver Ion Transmembrane Transport -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Proteostasis, Lipid Metabolism, Oxidative Stress
GO Term: Carnitine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: Heterotrimeric G-Protein Complex Assembly -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Large Conductance Calcium-Activated Potassium Channel Activity -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Anti-Mullerian Hormone Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Epigenetic
GO Term: Immune Response Involved In Response To Exogenous Dsrna -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: O-Acyl-L-Carnitine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Response To Fluoride -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Cellular Response To Fluoride -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Neutrophil Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Neutrophil Migration -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Vasculature
GO Term: Positive Regulation Of Neutrophil Migration -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Assembly Of Large Subunit Precursor Of Preribosome -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Epigenetic, Cell Cycle
GO Term: Regulation Of Mrna Stability Involved In Cellular Response To Uv -> Biodomain: Oxidative Stress, DNA Repair, Cell Cycle, Immune Response, Apoptosis
GO Term: Regulation Of Membrane Hyperpolarization -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Negative Regulation Of Membrane Hyperpolarization -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Membrane Hyperpolarization -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Structural Stabilization, Vasculature
GO Term: 1-Phosphatidyl-1D-Myo-Inositol 4,5-Bisphosphate Metabolic Process -> Biodomain: Lipid Metabolism, Signal Transduction, Endolysosome, Structural Stabilization, Autophagy
GO Term: 1-Phosphatidyl-1D-Myo-Inositol 4,5-Bisphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Vasculature, Proteostasis
GO Term: Kinociliary Basal Body -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Calcium Ion Import Into Cytosol -> Biodomain: Synapse, Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Regulation Of Glucose Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Positive Regulation Of Glucose Mediated Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Regulation Of Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Positive Regulation Of Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, APP Metabolism, Epigenetic
GO Term: Carbon Dioxide Binding -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Negative Regulation Of Rna Biosynthetic Process -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Rna Biosynthetic Process -> Biodomain: Epigenetic, RNA Spliceosome, Cell Cycle, Proteostasis, Oxidative Stress
