Running with TEMP=0.5, sub_array_index=5
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 5: rows 4000 to 4999
GO Term: Detection Of Virus -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Spermidine Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Abc-Type Fatty-Acyl-Coa Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Dna Translocase Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Actin Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Autophagy
GO Term: Microtubule Cytoskeleton -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Synapse
GO Term: Tubulin Binding -> Biodomain: Structural Stabilization, Tau Homeostasis, Cell Cycle, Synapse, Proteostasis
GO Term: Short-Chain Fatty Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Toxic Substance Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Fatty Acid Ligase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Peptidoglycan Transmembrane Transporter Activity -> Biodomain: Endolysosome, Immune Response, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Lactate:Proton Symporter Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Quaternary Ammonium Group Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Alanine:Sodium Symporter Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy
GO Term: Branched-Chain Amino Acid:Sodium Symporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Branched-Chain Amino Acid Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: P-Type Ion Transporter Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Carbon Dioxide Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress
GO Term: Oxygen Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Immune Response
GO Term: Nickel Cation Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, DNA Repair, Endolysosome
GO Term: Vanadium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome
GO Term: Copper Ion Import -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Plasma Membrane Copper Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Molybdate Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Lead Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis, Tau Homeostasis
GO Term: Magnesium Ion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Mercury Ion Transport -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Organic Cation Transport -> Biodomain: Endolysosome, Synapse, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Quaternary Ammonium Group Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Synapse, Proteostasis
GO Term: Inorganic Anion Transport -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Bicarbonate Transport -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: Iodide Transport -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Vasculature, Oxidative Stress, Proteostasis
GO Term: Nitrate Transmembrane Transport -> Biodomain: Vasculature, Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome
GO Term: Nitrite Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Vasculature, Immune Response
GO Term: Thiosulfate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Organic Anion Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Vasculature, Endolysosome, Synapse
GO Term: Monocarboxylic Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Bile Acid And Bile Salt Transport -> Biodomain: Lipid Metabolism, Endolysosome, Vasculature, Immune Response, Oxidative Stress
GO Term: Canalicular Bile Acid Transport -> Biodomain: Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy, Oxidative Stress
GO Term: Bilirubin Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Formate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Lactate Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Vasculature, Immune Response, Myelination
GO Term: Mevalonate Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Oxaloacetate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Propanoate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Prostaglandin Transport -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Endolysosome
GO Term: Taurine Transmembrane Transport -> Biodomain: Synapse, Endolysosome, Lipid Metabolism, Structural Stabilization, Vasculature
GO Term: Sialic Acid Transport -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: C4-Dicarboxylate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Fumarate Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Alpha-Ketoglutarate Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Succinate Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Citrate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Urate Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Organophosphate Ester Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress, Proteostasis
GO Term: Pentose Transmembrane Transport -> Biodomain: Lipid Metabolism, Oxidative Stress, DNA Repair, Cell Cycle, Mitochondrial Metabolism
GO Term: Fructose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Fucose Transmembrane Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Immune Response, Mitochondrial Metabolism
GO Term: Galactose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Glucose-6-Phosphate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Mannose Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy, Immune Response
GO Term: Sucrose Transport -> Biodomain: Vasculature, Lipid Metabolism, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Polysaccharide Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Vasculature
GO Term: Glucuronoside Transport -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Immune Response, Oxidative Stress
GO Term: Nucleotide-Sugar Transmembrane Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Cmp-N-Acetylneuraminate Transmembrane Transport -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Udp-Glucose Transmembrane Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Myelination
GO Term: Udp-Glucuronate Transmembrane Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress
GO Term: Udp-N-Acetylgalactosamine Transmembrane Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Udp-Xylose Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Polyol Transmembrane Transport -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Glycerol Transmembrane Transport -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Mannitol Transmembrane Transport -> Biodomain: Carbohydrate Metabolism, Membrane Trafficking, Nutrient Transport, Transporter Activity, Small Molecule Transport
GO Term: Myo-Inositol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Synapse, Autophagy, Oxidative Stress
GO Term: Acidic Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Synapse
GO Term: Aromatic Amino Acid Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Basic Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Branched-Chain Amino Acid Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Neutral Amino Acid Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Lipid Metabolism
GO Term: S-Adenosyl-L-Methionine Transport -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, RNA Spliceosome, Mitochondrial Metabolism
GO Term: L-Amino Acid Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Endolysosome
GO Term: L-Alanine Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Aspartate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: L-Cystine Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Endolysosome
GO Term: Gamma-Aminobutyric Acid Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: L-Glutamate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Glycine Transport -> Biodomain: Synapse, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Histidine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Endolysosome
GO Term: Isoleucine Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Lysine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: L-Leucine Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Cell Cycle
GO Term: Methionine Transport -> Biodomain: Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle, Proteostasis
GO Term: Ornithine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Cell Cycle, Lipid Metabolism
GO Term: Phenylalanine Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Synapse, Proteostasis
GO Term: Proline Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Oxidative Stress
GO Term: L-Serine Transport -> Biodomain: Amino Acid Metabolism, Membrane Trafficking and Transport, Metabolism, Mitochondrial Metabolism, Proteostasis
GO Term: Threonine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Vasculature, Lipid Metabolism, Endolysosome
GO Term: Tryptophan Transport -> Biodomain: Proteostasis, Synapse, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Tyrosine Transport -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome, Synapse
GO Term: Valine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Endolysosome
GO Term: Peptide Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Immune Response, Mitochondrial Metabolism
GO Term: Peptidoglycan Transport -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Structural Stabilization
GO Term: Amine Transport -> Biodomain: Synapse, Endolysosome, Proteostasis, Vasculature, Immune Response
GO Term: Amino-Acid Betaine Transport -> Biodomain: Oxidative Stress, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Urea Transport -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Aminergic Neurotransmitter Loading Into Synaptic Vesicle -> Biodomain: Synapse, Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Methylammonium Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Lipid Metabolism
GO Term: Monoamine Transport -> Biodomain: Synapse, Proteostasis, Endolysosome, Lipid Metabolism, Autophagy
GO Term: Putrescine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Spermidine Transport -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Structural Stabilization
GO Term: Organic Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Organic Hydroxy Compound Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Nucleobase Transport -> Biodomain: Endolysosome, Mitochondrial Metabolism, Cell Cycle, DNA Repair, Lipid Metabolism
GO Term: Adenine Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Endolysosome, Autophagy
GO Term: Guanine Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Proteostasis, Endolysosome, Autophagy
GO Term: Pyrimidine Nucleobase Transport -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Nucleoside Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Synapse, Epigenetic
GO Term: Purine Nucleoside Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Synapse, Vasculature, DNA Repair
GO Term: Cytidine Transport -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Endolysosome, Apoptosis
GO Term: Uridine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Cell Cycle, Epigenetic
GO Term: Pyrimidine Nucleoside Transport -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Immune Response, Mitochondrial Metabolism
GO Term: Purine Nucleotide Transport -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Adp Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Atp Transport -> Biodomain: Mitochondrial Metabolism, Synapse, Endolysosome, Proteostasis, Autophagy
GO Term: Acetylcholine Transport -> Biodomain: Synapse, Vasculature, Proteostasis, Lipid Metabolism, Endolysosome
GO Term: Choline Transport -> Biodomain: Lipid Metabolism, Synapse, Structural Stabilization, Endolysosome, Mitochondrial Metabolism
GO Term: Dopamine Transport -> Biodomain: Synapse, Neuronal Signaling, Proteostasis, Mitochondrial Metabolism, Endolysosome
GO Term: Norepinephrine Transport -> Biodomain: Synapse, Neurotransmission, Vasculature, Metabolism, Proteostasis
GO Term: Acetyl-Coa Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Biotin Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Carnitine Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Creatine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Endolysosome, Synapse, Proteostasis, Lipid Metabolism
GO Term: L-Ascorbic Acid Transmembrane Transport -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Folic Acid Transport -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Heme Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Pantothenate Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Thiamine Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Oxidative Stress, Synapse
GO Term: Cobalamin Transport -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Siderophore Transport -> Biodomain: Metal Binding and Homeostasis, Immune Response, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Tetracycline Transmembrane Transport -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Long-Chain Fatty Acid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Long-Chain Fatty Acid Import Into Peroxisome -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Long-Chain Fatty Acid Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Short-Chain Fatty Acid Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Oxidative Stress, Autophagy
GO Term: Short-Chain Fatty Acid Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Phospholipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Fatty-Acyl-Coa Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Oxidative Stress
GO Term: Aminophospholipid Transport -> Biodomain: Lipid Metabolism, Endolysosome, Structural Stabilization, Myelination, Proteostasis
GO Term: Sterol Transport -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Peroxisomal Membrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Lipopolysaccharide Transport -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Mannosidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Proteostasis
GO Term: Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Hexosaminidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Synapse, Oxidative Stress
GO Term: Nucleobase-Containing Compound Transport -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Immune Response, Endolysosome
GO Term: Nucleobase-Containing Compound Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Cell Cycle, DNA Repair
GO Term: Large Ribosomal Subunit -> Biodomain: Proteostasis, Cell Cycle, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: Small Ribosomal Subunit -> Biodomain: Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Coenzyme A Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Coenzyme A Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Coenzyme A Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Pantothenate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Formate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Formate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, DNA Repair, Cell Cycle
GO Term: Nucleobase-Containing Small Molecule Interconversion -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Diadenosine Polyphosphate Catabolic Process -> Biodomain: Nucleotide Metabolism, Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Diadenosine Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Diadenosine Tetraphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Autophagy, Proteostasis
GO Term: Energy Derivation By Oxidation Of Organic Compounds -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Proton Motive Force-Driven Atp Synthesis -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Electron Transport Coupled Proton Transport -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Phospholipase Activator Activity -> Biodomain: Lipid Metabolism, Signal Transduction, Oxidative Stress, Autophagy, Structural Stabilization
GO Term: Phospholipase A2 Activator Activity -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Dystrophin-Associated Glycoprotein Complex -> Biodomain: Structural Stabilization, Muscle System, Extracellular Matrix Organization, Cell Adhesion, Cytoskeleton Organization
GO Term: Dystroglycan Complex -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Sarcoglycan Complex -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Syntrophin Complex -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Morphogen Activity -> Biodomain: Developmental Biology, Cell Signaling, Cell Adhesion and Migration, Transcriptional Regulation, Neurogenesis
GO Term: Cyclosporin A Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Mitochondrial Metabolism
GO Term: Peptidoglycan Immune Receptor Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Membrane -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Mitochondrial Metabolism, Vasculature
GO Term: Cdp-Diacylglycerol Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Endolysosome
GO Term: Trna Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Autophagy, Metal Binding and Homeostasis
GO Term: Viral Process -> Biodomain: Immune Response, Apoptosis, Endolysosome, Proteostasis, Autophagy
GO Term: Maleylacetoacetate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Zeta Dna Polymerase Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Cellular Response To Phosphate Starvation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Endolysosome, Cell Cycle
GO Term: Absorption Of Visible Light -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Lipid Catabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Endolysosome
GO Term: Detection Of Bacterium -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Endolysosome, Apoptosis
GO Term: Detection Of Fungus -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Autophagy, Proteostasis
GO Term: Detection Of Temperature Stimulus -> Biodomain: Sensory Perception, Cell Signaling, Neuronal Processes, Thermoregulation, Membrane Transport
GO Term: Vesicle Organization -> Biodomain: Endolysosome, Autophagy, Proteostasis, Synapse, Lipid Metabolism
GO Term: Carbohydrate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Structural Stabilization, Proteostasis
GO Term: Carbohydrate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Wnt Signaling Pathway -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Immune Response, Epigenetic
GO Term: G Protein-Coupled Opsin Signaling Pathway -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism
GO Term: Immunoglobulin Mediated Immune Response -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Autophagy
GO Term: Type I Hypersensitivity -> Biodomain: Immune Response, Inflammation, Mast Cell Activity, Allergy, Antibody Response
GO Term: Rna Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy, Endolysosome
GO Term: Mrna Metabolic Process -> Biodomain: RNA Spliceosome, Cell Cycle, Proteostasis, Epigenetic, Endolysosome
