Running with TEMP=0.5, sub_array_index=11
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 11: rows 10000 to 10999
GO Term: Omega-6 Fatty Acid Desaturase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Hypotaurine Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: D-Lysine 5,6-Aminomutase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Autophagy
GO Term: D-Sorbitol Dehydrogenase (Acceptor) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: D-Threo-Aldose 1-Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Immune Response, Proteostasis
GO Term: D-Xylose 1-Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Dctp Diphosphatase Activity -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Apoptosis, Metal Binding and Homeostasis
GO Term: Deoxyuridine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Epigenetic, Proteostasis
GO Term: Diiodophenylpyruvate Reductase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Dimethylglycine Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Dolichyldiphosphatase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: Estradiol 17-Alpha-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Fad Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Farnesol Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Farnesyl Diphosphate Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Fatty Acid Peroxidase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis
GO Term: Flavonol 3-Sulfotransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response
GO Term: Ganglioside Galactosyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Structural Stabilization, Endolysosome, Autophagy
GO Term: Gdp-Mannose 3,5-Epimerase Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Glucosamine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Cell Cycle
GO Term: Glucose-1,6-Bisphosphate Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Glucose 1-Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Autophagy
GO Term: Glucose 1-Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glucose 1-Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: L-Glucuronate Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Glucuronolactone Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Glutamine N-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Glycerol-3-Phosphate Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycerol-2-Phosphatase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Glycerol Dehydrogenase (Nadp+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Glycine:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Glycine N-Acyltransferase Activity -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Lipid Metabolism, Small Molecule Biochemistry, Metabolic Pathways
GO Term: Glycine N-Benzoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Glycine N-Choloyltransferase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Glyoxylate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Guanidinobutyrase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Guanidinopropionase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Lipid Metabolism, Oxidative Stress
GO Term: Guanosine Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Endolysosome
GO Term: Hepoxilin-Epoxide Hydrolase Activity -> Biodomain: Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Homocysteine Desulfhydrase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Hydroxyacid-Oxoacid Transhydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Hydroxylysine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Autophagy, Apoptosis
GO Term: Hydroxymethylglutaryl-Coa Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: (2R)-Hydroxyphenylpyruvate Reductase [Nad(P)H] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Antigen Processing And Presentation Of Peptide Antigen -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation, Endogenous Lipid Antigen Via Mhc Class Ib -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Antigen Processing And Presentation, Exogenous Lipid Antigen Via Mhc Class Ib -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Platelet-Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Immune Response, Endolysosome, Cell Cycle, Proteostasis
GO Term: Insulin-Like Growth Factor Receptor Signaling Pathway -> Biodomain: Cell Cycle, Lipid Metabolism, Apoptosis, Vasculature, Endolysosome
GO Term: Vascular Endothelial Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Angiogenesis, Signal Transduction, Cell Proliferation, Immune Response
GO Term: Neurotrophin Trk Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Hepatocyte Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Ephrin Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Tie Signaling Pathway -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Immune Response, Proteostasis
GO Term: Phosphatidylinositol-Mediated Signaling -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Receptor Ligand Activity -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Autophagy
GO Term: Receptor Antagonist Activity -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Apoptosis
GO Term: Ccr Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Regulation Of Melanin Biosynthetic Process -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Endolysosome, Immune Response, Autophagy
GO Term: Negative Regulation Of Melanin Biosynthetic Process -> Biodomain: Melanin Biosynthesis, Pigmentation, Signal Transduction, Cell Differentiation, Developmental Processes
GO Term: Positive Regulation Of Melanin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Regulation Of Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, DNA Repair, Cell Cycle
GO Term: Negative Regulation Of Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Mrna Splicing, Via Spliceosome -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Mrna 5'-Utr Binding -> Biodomain: Epigenetic, RNA Spliceosome, Proteostasis, Cell Cycle, Autophagy
GO Term: Monosaccharide Binding -> Biodomain: Carbohydrate Metabolism, Glycosylation, Metabolic Processes, Intracellular Trafficking, Signaling Pathways
GO Term: Disaccharide Binding -> Biodomain: Glycosphingolipid Metabolism, Carbohydrate Metabolism, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Heme O Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Quinone Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Ubiquinone Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Udp-Glucuronate Decarboxylase Activity -> Biodomain: Structural Stabilization, Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Autophagy
GO Term: Focal Adhesion Assembly -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Cell Cycle
GO Term: Embryonic Eye Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Post-Embryonic Eye Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Autophagy
GO Term: Developmental Pigmentation -> Biodomain: Metal Binding and Homeostasis, Lipid Metabolism, Epigenetic, Proteostasis, Oxidative Stress
GO Term: Eye Pigmentation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Regulation Of Developmental Pigmentation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization, Endolysosome
GO Term: Regulation Of Eye Pigmentation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Negative Regulation Of Eye Pigmentation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Positive Regulation Of Eye Pigmentation -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Developmental Pigmentation -> Biodomain: Signaling Pathways, Cell Differentiation, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Developmental Pigmentation -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Epigenetic, Endolysosome, Structural Stabilization
GO Term: Calmodulin-Activated 3',5'-Cyclic-Gmp Phosphodiesterase Activity -> Biodomain: Synapse, Vasculature, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism
GO Term: Autophagic Cell Death -> Biodomain: Apoptosis, Autophagy, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Somatic Stem Cell Division -> Biodomain: Stem Cell, Cell Cycle, Epigenetic, Autophagy, Structural Stabilization
GO Term: Establishment Of Body Hair Planar Orientation -> Biodomain: Structural Stabilization, Epigenetic, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Male Germ-Line Stem Cell Asymmetric Division -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Spermatocyte Division -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Astrocyte Activation -> Biodomain: Immune Response, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Fibroblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Immune Response, Vasculature, Apoptosis
GO Term: Regulation Of Fibroblast Proliferation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Immune Response, Proteostasis
GO Term: Positive Regulation Of Fibroblast Proliferation -> Biodomain: Cell Cycle, Immune Response, Epigenetic, DNA Repair, Structural Stabilization
GO Term: Negative Regulation Of Fibroblast Proliferation -> Biodomain: Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis, Immune Response
GO Term: Behavioral Response To Cocaine -> Biodomain: Synapse, Neurotransmission, Neuronal Activity, Behavioral Neuroscience, Drug Response
GO Term: Behavioral Response To Ethanol -> Biodomain: Synapse, Oxidative Stress, Epigenetic, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Tau Protein Binding -> Biodomain: Tau Homeostasis, Proteostasis, Apoptosis, Synapse, Structural Stabilization
GO Term: Primary Follicle Stage -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis, Immune Response
GO Term: Regulation Of Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Neuronal Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Regulation Of Long-Term Neuronal Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Long-Term Neuronal Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Epigenetic, Autophagy
GO Term: Regulation Of Short-Term Neuronal Synaptic Plasticity -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Short-Term Neuronal Synaptic Plasticity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Activin Receptor Complex -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Activin Binding -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Apoptosis, Vasculature
GO Term: Set1C/Compass Complex -> Biodomain: Epigenetic, DNA Repair, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Golgi Vesicle Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Golgi Vesicle Budding -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Structural Stabilization
GO Term: Vesicle Targeting, To, From Or Within Golgi -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Vesicle Targeting, Trans-Golgi To Endosome -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Copi Coating Of Golgi Vesicle -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy
GO Term: Copii Vesicle Coating -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Golgi Vesicle Fusion To Target Membrane -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Golgi Vesicle Docking -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Structural Stabilization
GO Term: Inter-Golgi Cisterna Vesicle-Mediated Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Plasma Membrane To Endosome Transport -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Immune Response
GO Term: Male Gamete Generation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Rough Endoplasmic Reticulum Lumen -> Biodomain: Proteostasis, Synapse, Structural Stabilization, Autophagy, Endolysosome
GO Term: Negative Regulation Of Dna Recombination At Telomere -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy
GO Term: Sperm Capacitation -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Epinephrine Transport -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Epinephrine Secretion -> Biodomain: Synapse, Vasculature, Immune Response, Endolysosome, Oxidative Stress
GO Term: Norepinephrine Secretion -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Phytanoyl-Coa Dioxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Eosinophil Chemotaxis -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Macrophage Chemotaxis -> Biodomain: Immune Response, Cell Migration, Inflammation, Signal Transduction, Vasculature
GO Term: Lymphocyte Chemotaxis -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Proteostasis, Endolysosome
GO Term: Cxcr3 Chemokine Receptor Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Iron Import Into The Mitochondrion -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Elastic Fiber Assembly -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Lauric Acid Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Snorna Localization -> Biodomain: RNA Metabolism, RNA Processing, Intracellular Transport, Nuclear Organization, Epigenetic
GO Term: Mrna Stabilization -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Autophagy, Cell Cycle
GO Term: Flap Endonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Metal Binding and Homeostasis, Oxidative Stress
GO Term: 3'-Flap Endonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Regulation Of Receptor-Mediated Endocytosis -> Biodomain: Endolysosome, Proteostasis, Immune Response, Lipid Metabolism, Autophagy
GO Term: Positive Regulation Of Receptor-Mediated Endocytosis -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Immune Response, Synapse
GO Term: Negative Regulation Of Receptor-Mediated Endocytosis -> Biodomain: Endolysosome, Proteostasis, Immune Response, APP Metabolism, Lipid Metabolism
GO Term: Determination Of Dorsal Identity -> Biodomain: Epigenetic, Structural Stabilization, Autophagy, Apoptosis, Cell Cycle
GO Term: Determination Of Ventral Identity -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Immune Response
GO Term: Response To Pain -> Biodomain: Immune Response, Oxidative Stress, Synapse, Myelination, Epigenetic
GO Term: Behavioral Response To Pain -> Biodomain: Synapse, Immune Response, Autophagy, Oxidative Stress, Vasculature
GO Term: Clathrin Coat Assembly -> Biodomain: Endolysosome, Proteostasis, Structural Stabilization, Synapse, Autophagy
GO Term: Methionine Adenosyltransferase Complex -> Biodomain: Mitochondrial Metabolism, Epigenetic, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Methionine Adenosyltransferase Regulator Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Epigenetic, Metal Binding and Homeostasis
GO Term: Mitogen-Activated Protein Kinase P38 Binding -> Biodomain: Oxidative Stress, Apoptosis, Immune Response, Proteostasis, Structural Stabilization
GO Term: Vesicle Docking -> Biodomain: Synapse, Endolysosome, Autophagy, Proteostasis, Structural Stabilization
GO Term: Vesicle Fusion With Golgi Apparatus -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Organelle Fusion -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis, Synapse
GO Term: Lung Alveolus Development -> Biodomain: Vasculature, Structural Stabilization, Lipid Metabolism, Cell Cycle, Apoptosis
GO Term: Isotype Switching To Ige Isotypes -> Biodomain: Immune Response, DNA Repair, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Isotype Switching To Iga Isotypes -> Biodomain: Immune Response, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Isotype Switching To Igg Isotypes -> Biodomain: Immune Response, DNA Repair, Epigenetic, Proteostasis, Autophagy
GO Term: Negative Regulation Of Isotype Switching To Ige Isotypes -> Biodomain: Immune Response, Epigenetic, Autophagy, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Isotype Switching To Ige Isotypes -> Biodomain: Immune Response, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Isotype Switching To Iga Isotypes -> Biodomain: Immune Response, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Regulation Of Isotype Switching To Igg Isotypes -> Biodomain: Immune Response, DNA Repair, Apoptosis, Epigenetic, Cell Cycle
GO Term: Positive Regulation Of Isotype Switching To Igg Isotypes -> Biodomain: Immune Response, DNA Repair, Epigenetic, Apoptosis, Cell Cycle
GO Term: Calcium-Dependent Protein Binding -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Apoptosis, Endolysosome
GO Term: Mitochondrion Distribution -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Autophagy, Synapse
GO Term: Intracellular Distribution Of Mitochondria -> Biodomain: Mitochondrial Metabolism, Structural Stabilization, Cell Cycle, Autophagy, Synapse
GO Term: Golgi Inheritance -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Axial Mesoderm Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Autophagy, Apoptosis
GO Term: Axial Mesoderm Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Apoptosis
GO Term: Axial Mesoderm Formation -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Apoptosis, Epigenetic
GO Term: Axial Mesodermal Cell Fate Specification -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, DNA Repair, Mitochondrial Metabolism
GO Term: Mesoderm Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Epigenetic
GO Term: Mesodermal Cell Differentiation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Positive Regulation Of Mesodermal Cell Fate Specification -> Biodomain: Epigenetic, Cell Cycle, Vasculature, Structural Stabilization, Autophagy
GO Term: Paraxial Mesoderm Development -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism
GO Term: Paraxial Mesoderm Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Lipid Metabolism, Autophagy
GO Term: Paraxial Mesoderm Formation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Apoptosis, Autophagy
GO Term: Paraxial Mesodermal Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Autophagy
GO Term: Paraxial Mesoderm Structural Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Vasculature, Lipid Metabolism
GO Term: Lateral Mesoderm Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Autophagy
GO Term: Lateral Mesoderm Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Epigenetic
GO Term: Lateral Mesodermal Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Mitochondrial Metabolism
GO Term: Regulation Of Lateral Mesodermal Cell Fate Specification -> Biodomain: Vasculature, Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Mesendoderm Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Mitochondrial Metabolism
GO Term: Retinoic Acid Receptor Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Immune Response, Autophagy
GO Term: Regulation Of Retinoic Acid Receptor Signaling Pathway -> Biodomain: Epigenetic, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Retinoic Acid Receptor Signaling Pathway -> Biodomain: Epigenetic, Lipid Metabolism, Cell Cycle, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Retinoic Acid Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Epigenetic, Cell Cycle, Immune Response, Autophagy
GO Term: Endosomal Lumen Acidification -> Biodomain: Endolysosome, Autophagy, Immune Response, APP Metabolism, Lipid Metabolism
GO Term: Intermediate Mesoderm Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Mitochondrial Metabolism
GO Term: Intermediate Mesodermal Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Brain-Derived Neurotrophic Factor Binding -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Structural Stabilization
GO Term: Nerve Growth Factor Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Apoptosis, Cell Cycle
GO Term: Platelet-Derived Growth Factor Binding -> Biodomain: Vasculature, Immune Response, Proteostasis, Cell Cycle, Lipid Metabolism
GO Term: Epidermal Growth Factor Binding -> Biodomain: Growth Factor, Signal Transduction, Cell Proliferation, Receptor Binding, Molecular Function
GO Term: Cell Development -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Cell Maturation -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Perinuclear Region Of Cytoplasm -> Biodomain: Proteostasis, Lipid Metabolism, Endolysosome, Autophagy, Cell Cycle
GO Term: Holliday Junction Resolvase Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Apoptosis
GO Term: Oogenesis -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Proteostasis, Epigenetic
