Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 4: rows 3000 to 3999
GO Term: Steroid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Cholate 7-Alpha-Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: D-Amino-Acid Dehydrogenase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: D-Lactate Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: D-Serine Ammonia-Lyase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Synapse
GO Term: L-Allo-Threonine Aldolase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: N-Acetylmuramoyl-L-Alanine Amidase Activity -> Biodomain: Immune Response, Structural Stabilization, Endolysosome, Proteostasis, Lipid Metabolism
GO Term: N-Acetylneuraminate Lyase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Immune Response, Synapse, Autophagy
GO Term: Proton-Translocating Nad(P)+ Transhydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Nadph Dehydrogenase (Quinone) Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: S-Adenosylmethionine-Dependent Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Udp-N-Acetylglucosamine 2-Epimerase Activity -> Biodomain: Lipid Metabolism, Immune Response, Epigenetic, Myelination, Structural Stabilization
GO Term: Udp-Sugar Diphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Acetate Coa-Transferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Apoptosis, Proteostasis
GO Term: N-Acylneuraminate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Synapse, Immune Response, APP Metabolism, Myelination
GO Term: Agmatinase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Arginine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Arsenate Reductase (Glutaredoxin) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Metal Binding and Homeostasis, Apoptosis
GO Term: Beta-Aspartyl-Peptidase Activity -> Biodomain: APP Metabolism, Proteostasis, Autophagy, Endolysosome, Apoptosis
GO Term: Beta-Lactamase Activity -> Biodomain: Immune Response, Proteostasis, Autophagy, Endolysosome, Metal Binding and Homeostasis
GO Term: Betaine-Aldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Bis(5'-Nucleosyl)-Tetraphosphatase (Symmetrical) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Metal Binding and Homeostasis
GO Term: Chloramphenicol O-Acetyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Epigenetic, Autophagy
GO Term: Choline Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Corrinoid Adenosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Epigenetic
GO Term: Crossover Junction Dna Endonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Apoptosis, Metal Binding and Homeostasis
GO Term: Cupric Reductase (Nadh) Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Datp Diphosphatase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Dctp Deaminase Activity -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Apoptosis
GO Term: Dgtpase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Autophagy
GO Term: Endochitinase Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Structural Stabilization, Proteostasis
GO Term: Exoribonuclease Ii Activity -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Cell Cycle
GO Term: Fructokinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Structural Stabilization
GO Term: Glucose-1-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Glutamate Racemase Activity -> Biodomain: Structural Stabilization, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Immune Response
GO Term: Glycerate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Oxidative Stress
GO Term: Glycerophosphodiester Phosphodiesterase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycine C-Acetyltransferase Activity -> Biodomain: Amino Acid Metabolism, Mitochondrial Metabolism, Small Molecule Biochemistry, Metabolic Pathways, Transferase Activity
GO Term: Guanine Deaminase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Guanosine-3',5'-Bis(Diphosphate) 3'-Diphosphatase Activity -> Biodomain: Epigenetic, Cell Cycle, Oxidative Stress, Autophagy, Proteostasis
GO Term: Guanosine-5'-Triphosphate,3'-Diphosphate Diphosphatase Activity -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Lipid Metabolism
GO Term: Holo-[Acyl-Carrier-Protein] Synthase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: P-Type Potassium:Proton Transporter Activity -> Biodomain: Endolysosome, Metal Binding and Homeostasis, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Hydroxypyruvate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Methylglyoxal Synthase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Endolysosome
GO Term: Inositol Monophosphate 1-Phosphatase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Metal Binding and Homeostasis, Synapse, Autophagy
GO Term: Nitrate Reductase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Nitric Oxide Dioxygenase Nad(P)H Activity -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Vasculature, Proteostasis
GO Term: Oxaloacetate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Peptidoglycan Glycosyltransferase Activity -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Immune Response, Proteostasis
GO Term: Phenylacetaldehyde Dehydrogenase (Nad+) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Phosphatidylglycerophosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Phosphoglycolate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis
GO Term: Phospholipase A1 Activity -> Biodomain: Lipid Metabolism, Apoptosis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Phosphopentomutase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Protein-Glutamate O-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Rrna (Adenine-N6-)-Methyltransferase Activity -> Biodomain: Epigenetic, Structural Stabilization, Proteostasis, Cell Cycle, Mitochondrial Metabolism
GO Term: Ribonuclease E Activity -> Biodomain: RNA Spliceosome, Metal Binding and Homeostasis, Proteostasis, Autophagy, Epigenetic
GO Term: Protein-N-Terminal-Alanine Acetyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Cell Cycle, Autophagy, Structural Stabilization
GO Term: Selenocysteine Lyase Activity -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Site-Specific Dna-Methyltransferase (Adenine-Specific) Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Autophagy
GO Term: Dna-Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Succinate-Semialdehyde Dehydrogenase [Nad(P)+] Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Thymidine Phosphorylase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Type Ii Site-Specific Deoxyribonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Apoptosis, Immune Response
GO Term: Dosage Compensation By Inactivation Of X Chromosome -> Biodomain: Epigenetic, Structural Stabilization, DNA Repair, Cell Cycle, Proteostasis
GO Term: Pentose-Phosphate Shunt, Oxidative Branch -> Biodomain: Oxidative Stress, Lipid Metabolism, Cell Cycle, DNA Repair, Immune Response
GO Term: Pentose-Phosphate Shunt, Non-Oxidative Branch -> Biodomain: Lipid Metabolism, Cell Cycle, DNA Repair, Mitochondrial Metabolism, Oxidative Stress
GO Term: Electron Transfer Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Lipid Metabolism
GO Term: Macromolecule Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Lipid Metabolism
GO Term: Macromolecule Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Cell Cycle, RNA Spliceosome, Epigenetic
GO Term: Aerobic Respiration -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Fatty Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Lipid Metabolism
GO Term: Glutamine Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Aspartate Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Serine Family Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Serine Family Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Aromatic Amino Acid Metabolic Process -> Biodomain: Proteostasis, Synapse, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Aromatic Amino Acid Family Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Immune Response, Oxidative Stress, Autophagy
GO Term: Branched-Chain Amino Acid Metabolic Process -> Biodomain: Mitochondrial Metabolism, Amino Acid Metabolism, Metabolism, Lipid Metabolism, Proteostasis
GO Term: Branched-Chain Amino Acid Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Branched-Chain Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Methionine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: L-Methionine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Glycoprotein Metabolic Process -> Biodomain: Proteostasis, Immune Response, Vasculature, Structural Stabilization, APP Metabolism
GO Term: Glycoprotein Biosynthetic Process -> Biodomain: Immune Response, Structural Stabilization, Vasculature, Proteostasis, APP Metabolism
GO Term: Lipopolysaccharide Catabolic Process -> Biodomain: Immune Response, Endolysosome, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Lipoate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Purine Nucleobase Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism
GO Term: Hypoxanthine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Xanthine Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Proteostasis
GO Term: Nucleoside Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Epigenetic
GO Term: Nucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Immune Response
GO Term: Nucleoside Monophosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle
GO Term: Nucleoside Monophosphate Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Epigenetic, Cell Cycle, RNA Spliceosome
GO Term: Purine Nucleoside Monophosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Oxidative Stress, Epigenetic
GO Term: Nucleoside Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, DNA Repair, Epigenetic, RNA Spliceosome, Cell Cycle
GO Term: Nucleoside Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis
GO Term: Nucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, RNA Spliceosome, Metal Binding and Homeostasis
GO Term: Nucleoside Triphosphate Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, RNA Spliceosome, Mitochondrial Metabolism
GO Term: Nucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Apoptosis, Endolysosome
GO Term: Purine Ribonucleotide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Epigenetic, Apoptosis
GO Term: Purine Ribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Purine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Autophagy
GO Term: Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, RNA Spliceosome, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Deoxyribonucleoside Monophosphate Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Autophagy, Apoptosis, Mitochondrial Metabolism
GO Term: Nucleotide Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Nucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Purine Ribonucleoside Monophosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, RNA Spliceosome, Proteostasis, Lipid Metabolism
GO Term: Pyrimidine Deoxyribonucleoside Monophosphate Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Purine Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Cell Cycle, Immune Response
GO Term: Ribonucleoside Diphosphate Metabolic Process -> Biodomain: Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, DNA Repair, Epigenetic
GO Term: Ribonucleoside Diphosphate Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, RNA Spliceosome, Epigenetic, Mitochondrial Metabolism
GO Term: Cyclic Nucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Ribonucleoside Diphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Endolysosome, Autophagy
GO Term: Deoxyribonucleoside Triphosphate Metabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Metal Binding and Homeostasis
GO Term: Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Cyclic Nucleotide Catabolic Process -> Biodomain: Vasculature, Immune Response, Synapse, Oxidative Stress, Mitochondrial Metabolism
GO Term: Purine Deoxyribonucleoside Triphosphate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Lipid Metabolism
GO Term: Pyrimidine Ribonucleotide Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Pyrimidine Deoxyribonucleotide Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Pyrimidine Ribonucleotide Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, DNA Repair
GO Term: Pyrimidine Deoxyribonucleotide Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Oxidative Stress, Apoptosis
GO Term: Cmp Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Nucleotide-Sugar Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy, Endolysosome
GO Term: Nucleotide-Sugar Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Epigenetic, APP Metabolism, Cell Cycle
GO Term: Thiamine Diphosphate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Riboflavin Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Menaquinone Metabolic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Menaquinone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Cobalamin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Cell Cycle, DNA Repair
GO Term: Isopentenyl Diphosphate Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Glycolipid Biosynthetic Process -> Biodomain: Lipid Metabolism, Myelination, Endolysosome, Structural Stabilization, Autophagy
GO Term: Protein Lipoylation -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Peptidoglycan Catabolic Process -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: 10-Formyltetrahydrofolate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Oxidative Stress, Lipid Metabolism
GO Term: 10-Formyltetrahydrofolate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: 10-Formyltetrahydrofolate Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, DNA Repair, Oxidative Stress
GO Term: Ribonucleotide Metabolic Process -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Lipid Metabolism
GO Term: Deoxyribonucleotide Metabolic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Metal Binding and Homeostasis, Epigenetic
GO Term: Deoxyribonucleotide Catabolic Process -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Metal Binding and Homeostasis, Autophagy
GO Term: 2'-Deoxyribonucleotide Biosynthetic Process -> Biodomain: DNA Repair, Mitochondrial Metabolism, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Response To Temperature Stimulus -> Biodomain: Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Cellular Response To Starvation -> Biodomain: Autophagy, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Response To Ph -> Biodomain: Oxidative Stress, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Gdp-Mannose Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Immune Response
GO Term: Mrna Transcription -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Cell Cycle, Proteostasis
GO Term: Snrna Transcription -> Biodomain: RNA Spliceosome, Epigenetic, Cell Cycle, DNA Repair, Autophagy
GO Term: Rrna Transcription -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Cell Cycle
GO Term: Trna Transcription -> Biodomain: Mitochondrial Metabolism, Epigenetic, Cell Cycle, Metal Binding and Homeostasis, DNA Repair
GO Term: Protein Secretion -> Biodomain: Proteostasis, Immune Response, Autophagy, APP Metabolism, Endolysosome
GO Term: Amine Metabolic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Lipid Metabolism, Proteostasis, Epigenetic
GO Term: Amine Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Synapse, Immune Response, Lipid Metabolism, Oxidative Stress
GO Term: Oligosaccharide Metabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Oligosaccharide Biosynthetic Process -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Proteostasis, Myelination
GO Term: Oligosaccharide Catabolic Process -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Immune Response, Proteostasis
GO Term: Response To Radiation -> Biodomain: Oxidative Stress, DNA Repair, Apoptosis, Cell Cycle, Proteostasis
GO Term: Phenylalanine-Trna Ligase Complex -> Biodomain: Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Cell Cycle, Autophagy
GO Term: Dna Topoisomerase Type Ii (Double Strand Cut, Atp-Hydrolyzing) Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Metal Binding and Homeostasis
GO Term: Dna Polymerase Iii Complex -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Succinate-Coa Ligase Complex (Adp-Forming) -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Endopeptidase Clp Complex -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Mitochondrial Metabolism
GO Term: Biotin Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Four-Way Junction Helicase Activity -> Biodomain: DNA Repair, Metal Binding and Homeostasis, Proteostasis, Epigenetic, Cell Cycle
GO Term: Rrna (Cytosine-C5-)-Methyltransferase Activity -> Biodomain: Epigenetic, Mitochondrial Metabolism, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: N-Acylmannosamine Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Translational Attenuation -> Biodomain: Proteostasis, Immune Response, Oxidative Stress, Autophagy, RNA Spliceosome
GO Term: Phospholipid Catabolic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Immune Response, Autophagy, Oxidative Stress
GO Term: Folic Acid-Containing Compound Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Lipid Metabolism, Oxidative Stress
GO Term: Fmn Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Toxin Biosynthetic Process -> Biodomain: Proteostasis, Lipid Metabolism, Immune Response, Epigenetic, Oxidative Stress
GO Term: Toxin Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Endolysosome, Autophagy
GO Term: Toxin Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Immune Response
GO Term: Response To Heat -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Response To Cold -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Response To Xenobiotic Stimulus -> Biodomain: Oxidative Stress, Endolysosome, Proteostasis, Immune Response, Autophagy
GO Term: Response To Uv -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Response To Water Deprivation -> Biodomain: Oxidative Stress, Vasculature, Synapse, Epigenetic, Autophagy
GO Term: Response To Water -> Biodomain: Vasculature, Autophagy, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Response To Light Stimulus -> Biodomain: DNA Repair, Oxidative Stress, Autophagy, Epigenetic, Cell Cycle
