Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 9: rows 8000 to 8999
GO Term: Mitochondrial Respiratory Chain Complex Iii Assembly -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Cell Proliferation By Vegf-Activated Platelet Derived Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Proteostasis, Lipid Metabolism
GO Term: Nodal Signaling Pathway -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Immune Response, Proteostasis
GO Term: Fc Receptor Signaling Pathway -> Biodomain: Immune Response, Endolysosome, Oxidative Stress, Apoptosis, Proteostasis
GO Term: Fc-Gamma Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Fc-Epsilon Receptor Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Fc-Gamma Receptor Signaling Pathway Involved In Phagocytosis -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Mast Cell Activation By Fc-Epsilon Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Vasculature
GO Term: Sequestering Of Bmp From Receptor Via Bmp Binding -> Biodomain: Immune Response, Proteostasis, Vasculature, Apoptosis, Structural Stabilization
GO Term: Nodal Binding -> Biodomain: Signaling, Developmental Biology, Cell Growth and Proliferation, TGF-β Signaling, Cell Differentiation
GO Term: Sequestering Of Nodal From Receptor Via Nodal Binding -> Biodomain: Proteostasis, Immune Response, Structural Stabilization, Vasculature, Autophagy
GO Term: Activin Receptor Antagonist Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Choriogonadotropin Hormone Binding -> Biodomain: Proteostasis, Vasculature, Immune Response, Apoptosis, Cell Cycle
GO Term: Negative Regulation Of Appetite By Leptin-Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Synapse, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Kit Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Proteostasis, Synapse
GO Term: Interleukin-2-Mediated Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Interleukin-7-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, DNA Repair
GO Term: Interleukin-8-Mediated Signaling Pathway -> Biodomain: Immune Response, Vasculature, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Interleukin-9-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Interleukin-21-Mediated Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Chemokine (C-C Motif) Ligand 21 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Epigenetic
GO Term: C-C Motif Chemokine 19 Receptor Activity -> Biodomain: Immune Response, Vasculature, Endolysosome, Autophagy, Apoptosis
GO Term: Ccl19-Activated Ccr7 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Synapse
GO Term: Ccl21-Activated Ccr7 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Endolysosome, Epigenetic, Autophagy
GO Term: C-C Motif Chemokine 21 Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Endolysosome
GO Term: Toll-Like Receptor Tlr1:Tlr2 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Vasculature
GO Term: Toll-Like Receptor Tlr6:Tlr2 Signaling Pathway -> Biodomain: Immune Response, Epigenetic, Apoptosis, Autophagy, Proteostasis
GO Term: Erbb Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Endolysosome, Autophagy, Immune Response
GO Term: Erbb2 Signaling Pathway -> Biodomain: Cell Cycle, Synapse, Vasculature, Proteostasis, Autophagy
GO Term: Erbb3 Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Erbb4 Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Cell Cycle, Structural Stabilization
GO Term: Neuregulin Receptor Activity -> Biodomain: Synapse, Proteostasis, Immune Response, Mitochondrial Metabolism, Apoptosis
GO Term: Neuregulin Binding -> Biodomain: Synapse, Myelination, Proteostasis, Lipid Metabolism, Structural Stabilization
GO Term: Erbb2-Erbb3 Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Erbb2-Egfr Signaling Pathway -> Biodomain: Cell Cycle, Proteostasis, Endolysosome, Synapse, Vasculature
GO Term: Erbb2-Erbb4 Signaling Pathway -> Biodomain: Signal Transduction, Cell Growth and Proliferation, Receptor Tyrosine Kinase Signaling, Cancer Pathways, Cell Differentiation
GO Term: Erbb4-Erbb4 Signaling Pathway -> Biodomain: Synapse, Proteostasis, Cell Cycle, Apoptosis, Autophagy
GO Term: Erbb3:Erbb2 Complex -> Biodomain: Synapse, Cell Cycle, Proteostasis, Myelination, Endolysosome
GO Term: Macrophage Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Chemokine (C-X-C Motif) Ligand 12 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Synapse, Proteostasis, Apoptosis
GO Term: C-X-C Motif Chemokine 12 Receptor Activity -> Biodomain: Immune Response, Vasculature, Apoptosis, Cell Cycle, Proteostasis
GO Term: Chemokine (C-C Motif) Ligand 2 Signaling Pathway -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Interleukin-11-Mediated Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: Interleukin-23-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Interleukin-3-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Granulocyte-Macrophage Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Granulocyte Colony-Stimulating Factor Signaling Pathway -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Vasculature, Proteostasis
GO Term: C-X-C Chemokine Receptor Cxcr4 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Cxcl12-Activated Cxcr4 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Vasculature, Endolysosome, Proteostasis
GO Term: Prolactin Signaling Pathway -> Biodomain: Immune Response, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle, Oxidative Stress
GO Term: Erythropoietin-Mediated Signaling Pathway -> Biodomain: Cell Cycle, Apoptosis, Metal Binding and Homeostasis, Oxidative Stress, Immune Response
GO Term: Thrombopoietin-Mediated Signaling Pathway -> Biodomain: Cell Cycle, Vasculature, Immune Response, Apoptosis, Epigenetic
GO Term: Thrombopoietin Receptor Activity -> Biodomain: Vasculature, Immune Response, Cell Cycle, Apoptosis, Proteostasis
GO Term: Oncostatin-M-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Epigenetic
GO Term: Angiotensin-Activated Signaling Pathway -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Somatostatin Signaling Pathway -> Biodomain: Synapse, Immune Response, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Cannabinoid Signaling Pathway -> Biodomain: Synapse, Immune Response, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: Interleukin-33-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Interleukin-17A-Mediated Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Death Receptor Agonist Activity -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Autophagy
GO Term: Complement Component C5A Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Vasculature
GO Term: Neurotrophin Signaling Pathway -> Biodomain: Synapse, Apoptosis, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Nerve Growth Factor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Apoptosis, Autophagy, Immune Response
GO Term: G Protein-Coupled Bile Acid Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Apoptosis, Autophagy, Oxidative Stress
GO Term: Adenylate Cyclase-Activating G Protein-Coupled Bile Acid Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Endolysosome
GO Term: Nuclear Receptor-Mediated Bile Acid Signaling Pathway -> Biodomain: Lipid Metabolism, Epigenetic, Proteostasis, Endolysosome, Autophagy
GO Term: Bile Acid Nuclear Receptor Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Epigenetic, Autophagy
GO Term: Pattern Recognition Receptor Activity -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Cholecystokinin Signaling Pathway -> Biodomain: Synapse, Lipid Metabolism, Epigenetic, Cell Cycle, Proteostasis
GO Term: Neuropilin Signaling Pathway -> Biodomain: Vasculature, Immune Response, Synapse, Apoptosis, Structural Stabilization
GO Term: Vegf-Activated Neuropilin Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Endolysosome
GO Term: Neuropilin Binding -> Biodomain: Synapse, Vasculature, Structural Stabilization, Immune Response, Apoptosis
GO Term: Gastric Inhibitory Peptide Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Thromboxane A2 Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Thyroid-Stimulating Hormone Signaling Pathway -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Urokinase Plasminogen Activator Signaling Pathway -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Cell Cycle
GO Term: Type Iii Interferon-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Torc1 Signaling -> Biodomain: Autophagy, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism, Cell Cycle
GO Term: Torc2 Signaling -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Pronephric Field Specification -> Biodomain: Kidney Development, Embryonic Development, Organogenesis, Cell Differentiation, Cell Fate Commitment
GO Term: Pronephric Nephron Tubule Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Vasculature, Autophagy
GO Term: Pronephric Nephron Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Endolysosome
GO Term: Pronephric Nephron Tubule Development -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Apoptosis, Autophagy
GO Term: Rig-I Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Mda-5 Signaling Pathway -> Biodomain: Immune Response, Oxidative Stress, Autophagy, Apoptosis, Proteostasis
GO Term: Regulation Of Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Autophagy, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Negative Regulation Of Mda-5 Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Regulation Of Rig-I Signaling Pathway -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Negative Regulation Of Rig-I Signaling Pathway -> Biodomain: Immune Response, RNA Spliceosome, Apoptosis, Proteostasis, Oxidative Stress
GO Term: Symbiont-Mediated Suppression Of Cytoplasmic Pattern Recognition Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Rig-I Binding -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Pkr/Eifalpha Signaling -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Fusion Of Virus Membrane With Host Endosome Membrane -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Stranded Viral Rna Replication -> Biodomain: Immune Response, Proteostasis, Autophagy, Apoptosis, Endolysosome
GO Term: Single Stranded Viral Rna Replication Via Double Stranded Dna Intermediate -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Apoptosis
GO Term: Viral Rna Genome Replication -> Biodomain: RNA Spliceosome, Immune Response, Cell Cycle, Epigenetic, Proteostasis
GO Term: Dna-Templated Viral Transcription -> Biodomain: Immune Response, Epigenetic, Autophagy, Cell Cycle, DNA Repair
GO Term: Viral Budding Via Host Escrt Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Co-Receptor Binding -> Biodomain: Immune Response, Synapse, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Establishment Of Mitotic Spindle Localization -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Growth -> Biodomain: Cell Cycle, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Growth Rate -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Positive Regulation Of Growth Rate -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Epigenetic, RNA Spliceosome
GO Term: Locomotion -> Biodomain: Immune Response, Mitochondrial Metabolism, Lipid Metabolism, Structural Stabilization, Synapse
GO Term: Regulation Of Locomotion -> Biodomain: Synapse, Immune Response, Vasculature, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Locomotion -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Multicellular Organism Growth -> Biodomain: Cell Cycle, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Multicellular Organism Growth -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Embryonic Cleavage -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Locomotion -> Biodomain: Synapse, Immune Response, Myelination, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Multicellular Organism Growth -> Biodomain: Cell Cycle, Structural Stabilization, Autophagy, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Embryonic Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic, DNA Repair
GO Term: Regulation Of Meiotic Nuclear Division -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Proteostasis, Structural Stabilization
GO Term: Epigenetic Regulation Of Gene Expression -> Biodomain: Epigenetic, Epigenetic, Epigenetic, Epigenetic, Epigenetic
GO Term: Snrna Modification -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Regulation Of Development, Heterochronic -> Biodomain: Epigenetic, Cell Cycle, Apoptosis, DNA Repair, Proteostasis
GO Term: Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Immune Response, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway -> Biodomain: Vasculature, Cell Cycle, Proteostasis, Autophagy, Structural Stabilization
GO Term: Polar Body Extrusion After Meiotic Divisions -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Apoptosis, Autophagy
GO Term: Thermosensory Behavior -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Myelination, Epigenetic
GO Term: Interleukin-18 Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Endolysosome, Proteostasis
GO Term: Interleukin-18 Receptor Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Autophagy, Proteostasis
GO Term: Interleukin-15 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Interleukin-16 Binding -> Biodomain: Immune Response, Synapse, Apoptosis, Oxidative Stress, Proteostasis
GO Term: Interleukin-16 Receptor Activity -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Oxidative Stress, Vasculature
GO Term: Interleukin-20 Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Cell Cycle
GO Term: Interleukin-22 Binding -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Interleukin-22 Receptor Activity -> Biodomain: Immune Response, Autophagy, Apoptosis, Endolysosome, Proteostasis
GO Term: Interleukin-23 Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Oxidative Stress, Proteostasis
GO Term: Interleukin-23 Receptor Activity -> Biodomain: Immune Response, Proteostasis, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Interleukin-12 Receptor Complex -> Biodomain: Immune Response, Proteostasis, Vasculature, Endolysosome, Apoptosis
GO Term: Dna Endoreduplication -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy
GO Term: Protein Refolding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Atpase Inhibitor Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Neurexin Family Protein Binding -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Fluid Transport -> Biodomain: Vasculature, Endolysosome, Lipid Metabolism, Proteostasis, Immune Response
GO Term: Epithelial Fluid Transport -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Vasculature, Lipid Metabolism
GO Term: Olfactory Behavior -> Biodomain: Synapse, Neurogenesis, Signaling, Neurotransmitter Release, Neurodegeneration
GO Term: Regulation Of Dopamine Metabolic Process -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Histone Methyltransferase Activity -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Metal Binding and Homeostasis
GO Term: Chemoattractant Activity -> Biodomain: Immune Response, Vasculature, Lipid Metabolism, Epigenetic, Synapse
GO Term: Regulation Of Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Negative Regulation Of Epidermal Growth Factor Receptor Signaling Pathway -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Wound Healing -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Epigenetic, Autophagy
GO Term: Gliogenesis -> Biodomain: Synapse, Myelination, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Intraciliary Transport -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Synapse, Mitochondrial Metabolism
GO Term: Cell Migration Involved In Gastrulation -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Cell Cycle, Lipid Metabolism, Epigenetic
GO Term: Germ-Line Stem Cell Division -> Biodomain: Cell Cycle, Stem Cells, Reproductive Processes, Developmental Biology, Cell Differentiation
GO Term: T-Helper 1 Type Immune Response -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Autophagy
GO Term: Type 2 Immune Response -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: T-Helper Cell Differentiation -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Endolysosome
GO Term: T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Autophagy, Proteostasis
GO Term: B Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Autophagy
GO Term: T Cell Receptor Complex -> Biodomain: Immune Response, Synapse, Proteostasis, Apoptosis, Endolysosome
GO Term: Positive Regulation Of T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Activated T Cell Proliferation -> Biodomain: Immune Response, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Autophagy
GO Term: Alpha-Beta T Cell Receptor Complex -> Biodomain: Immune Response, Synapse, Proteostasis, Endolysosome, Apoptosis
GO Term: Gamma-Delta T Cell Receptor Complex -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Autophagy
GO Term: T Cell Activation -> Biodomain: Immune Response, Synapse, Apoptosis, Proteostasis, Lipid Metabolism
GO Term: B Cell Activation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Endolysosome
GO Term: Macrophage Activation -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: Monocyte Activation -> Biodomain: Immune Response, Oxidative Stress, Endolysosome, Epigenetic, Vasculature
GO Term: Endothelial Cell Activation -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Neutrophil Activation -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Proteostasis, Endolysosome
GO Term: Nitrate Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Immune Response
GO Term: Regulation Of Cell Population Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, DNA Repair, Immune Response
GO Term: Regulation Of T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Endolysosome
GO Term: Negative Regulation Of T Cell Proliferation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Thiamine Phosphate Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Fructose 1,6-Bisphosphate 1-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Rrna Primary Transcript Binding -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Cell Cycle, Metal Binding and Homeostasis, Proteostasis
GO Term: Meiotic Dna Double-Strand Break Formation -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Late Meiotic Recombination Nodule Assembly -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Vacuole Fusion, Non-Autophagic -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Structural Stabilization, Mitochondrial Metabolism
GO Term: Retrograde Transport, Endosome To Golgi -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Dna Strand Invasion -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Proteostasis
GO Term: Cellular Response To Glucose Starvation -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Lipid Metabolism
GO Term: Lipoprotein Metabolic Process -> Biodomain: Lipid Metabolism, Vasculature, Oxidative Stress, Endolysosome, Apoptosis
GO Term: Lipoprotein Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Lipoprotein Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Telomeric Dna Binding -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Structural Stabilization
GO Term: Interleukin-12 Beta Subunit Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Vasculature
GO Term: Interleukin-12 Alpha Subunit Binding -> Biodomain: Immune Response, Cytokine Signaling, Inflammation, Cell Communication, Protein Binding
GO Term: Acetylcholine Binding -> Biodomain: Synapse, Lipid Metabolism, Proteostasis, Vasculature, APP Metabolism
GO Term: Heme Catabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Lipid Metabolism
GO Term: Heme Metabolic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Sh2 Domain Binding -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Structural Stabilization, Synapse
GO Term: Lysophosphatidic Acid Acyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Nuclear Outer Membrane-Endoplasmic Reticulum Membrane Network -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Regulation Of Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, APP Metabolism, Apoptosis
GO Term: Negative Regulation Of Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Tau Homeostasis
GO Term: Xenobiotic Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Oxidative Stress, Lipid Metabolism, Autophagy
GO Term: Ketone Metabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Immune Response
GO Term: Ketone Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Ketone Catabolic Process -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Metal Binding and Homeostasis
GO Term: Halogenated Hydrocarbon Metabolic Process -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome, Autophagy
GO Term: Modified Amino Acid Catabolic Process -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Response To Cocaine -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Rna Repair -> Biodomain: RNA Spliceosome, DNA Repair, Proteostasis, Epigenetic, Autophagy
GO Term: Tissue Regeneration -> Biodomain: Cell Cycle, Apoptosis, Immune Response, Structural Stabilization, Vasculature
GO Term: Establishment Of Planar Polarity Of Follicular Epithelium -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Epigenetic, Cell Cycle
GO Term: Establishment Of Planar Polarity Of Embryonic Epithelium -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Ribosome Biogenesis -> Biodomain: Mitochondrial Metabolism, Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle
GO Term: Ribosome Assembly -> Biodomain: Proteostasis, Structural Stabilization, RNA Spliceosome, Autophagy, Cell Cycle
