Running with TEMP=0.1, sub_array_index=2
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 2: rows 1000 to 1999
GO Term: Positive Regulation Of B Cell Tolerance Induction -> Biodomain: Immune Response, Apoptosis, Proteostasis, Epigenetic, Autophagy
GO Term: Monooxygenase Activity -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Calcidiol 1-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response
GO Term: N,N-Dimethylaniline Monooxygenase Activity -> Biodomain: Oxidative Stress, Immune Response, Lipid Metabolism, Vasculature, Endolysosome
GO Term: Dopamine Beta-Monooxygenase Activity -> Biodomain: Neurotransmitter Signaling, Neurotransmitter Biosynthesis, Oxidative Stress, Monoamine Neurotransmitter Regulation, Metal Binding and Homeostasis
GO Term: Kynurenine 3-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Immune Response, Autophagy
GO Term: Tyrosinase Activity -> Biodomain: Metal Binding and Homeostasis, Oxidative Stress, Endolysosome, Proteostasis, Autophagy
GO Term: Peptidylglycine Monooxygenase Activity -> Biodomain: Proteostasis, Oxidative Stress, Metal Binding and Homeostasis, Synapse, Mitochondrial Metabolism
GO Term: Phenylalanine 4-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Synapse
GO Term: Squalene Monooxygenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Steroid 11-Beta-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Cell Cycle
GO Term: Steroid 17-Alpha-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Autophagy
GO Term: Steroid 21-Monooxygenase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Tryptophan 5-Monooxygenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Metal Binding and Homeostasis, Proteostasis
GO Term: Tyrosine 3-Monooxygenase Activity -> Biodomain: Synapse, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis
GO Term: Inositol-3-Phosphate Synthase Activity -> Biodomain: Lipid Metabolism, Autophagy, Cell Cycle, Oxidative Stress, Endolysosome
GO Term: Nicotinate-Nucleotide Diphosphorylase (Carboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Epigenetic, Lipid Metabolism
GO Term: Nicotinate-Nucleotide Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Nicotinate Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Nitric-Oxide Synthase Activity -> Biodomain: Vasculature, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Immune Response, Endolysosome, Proteostasis
GO Term: Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Proteostasis, Epigenetic, Structural Stabilization
GO Term: Dna Endonuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Metal Binding and Homeostasis
GO Term: Rna Endonuclease Activity -> Biodomain: Immune Response, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Ribonuclease A Activity -> Biodomain: RNA Spliceosome, Immune Response, Metal Binding and Homeostasis, Cell Cycle, Autophagy
GO Term: Rna-Dna Hybrid Ribonuclease Activity -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Proteostasis, RNA Spliceosome
GO Term: Ribonuclease Iii Activity -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Proteostasis, Autophagy
GO Term: Ribonuclease P Activity -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Endolysosome, Autophagy
GO Term: Exonuclease Activity -> Biodomain: DNA Repair, RNA Spliceosome, Cell Cycle, Metal Binding and Homeostasis, Epigenetic
GO Term: Phosphodiesterase I Activity -> Biodomain: Metal Binding and Homeostasis, Synapse, Vasculature, Immune Response, DNA Repair
GO Term: Dna Exonuclease Activity -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Immune Response
GO Term: Deoxyribonuclease I Activity -> Biodomain: DNA Repair, Apoptosis, Immune Response, Epigenetic, Proteostasis
GO Term: Deoxyribonuclease Ii Activity -> Biodomain: DNA Repair, Endolysosome, Apoptosis, Autophagy, Proteostasis
GO Term: Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Epigenetic, Autophagy, Apoptosis, Cell Cycle
GO Term: 5'-3' Rna Exonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Epigenetic, DNA Repair
GO Term: Poly(A)-Specific Ribonuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Dna Nuclease Activity -> Biodomain: DNA Repair, Apoptosis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Rna Nuclease Activity -> Biodomain: RNA Spliceosome, Proteostasis, Mitochondrial Metabolism, Epigenetic, Autophagy
GO Term: Trna-Specific Ribonuclease Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Nucleoside Diphosphate Kinase Activity -> Biodomain: Mitochondrial Metabolism, DNA Repair, Cell Cycle, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Dinucleotide Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis
GO Term: Hydrolase Activity, Hydrolyzing O-Glycosyl Compounds -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Alpha,Alpha-Trehalase Activity -> Biodomain: Mitochondrial Metabolism, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Alpha-Amylase Activity -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Endolysosome, Proteostasis, Autophagy
GO Term: Alpha-Galactosidase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Alpha-1,4-Glucosidase Activity -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Mitochondrial Metabolism
GO Term: Alpha-Mannosidase Activity -> Biodomain: Glycosylation and Glycobiology, Proteostasis, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Alpha-L-Fucosidase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Immune Response
GO Term: Alpha-N-Acetylglucosaminidase Activity -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Beta-N-Acetylhexosaminidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Structural Stabilization, Autophagy, Proteostasis
GO Term: Beta-Galactosidase Activity -> Biodomain: Endolysosome, Autophagy, Lipid Metabolism, Proteostasis, Oxidative Stress
GO Term: Beta-Glucuronidase Activity -> Biodomain: Endolysosome, Lipid Metabolism, Autophagy, Proteostasis, Structural Stabilization
GO Term: Beta-Mannosidase Activity -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Chitinase Activity -> Biodomain: Immune Response, Endolysosome, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Glycoprotein Endo-Alpha-1,2-Mannosidase Activity -> Biodomain: Endolysosome, Glycoprotein Metabolism, Protein Processing, Carbohydrate Metabolism, Vesicle Trafficking
GO Term: Mannosyl-Oligosaccharide 1,2-Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Oxidative Stress
GO Term: Mannosyl-Oligosaccharide 1,3-1,6-Alpha-Mannosidase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Glc3Man9Glcnac2 Oligosaccharide Glucosidase Activity -> Biodomain: Proteostasis, Endolysosome, Structural Stabilization, Autophagy, Immune Response
GO Term: Oligo-1,6-Glucosidase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Sucrose Alpha-Glucosidase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, Endolysosome, Oxidative Stress
GO Term: Oligosaccharyl Transferase Activity -> Biodomain: Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome
GO Term: N-Acetylglucosaminyldiphosphodolichol N-Acetylglucosaminyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Chitobiosyldiphosphodolichol Beta-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Structural Stabilization, Autophagy
GO Term: Dolichyl-Diphosphooligosaccharide-Protein Glycotransferase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization
GO Term: Dolichyl-Phosphate Beta-Glucosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Dolichyl-Phosphate Beta-D-Mannosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Endolysosome, Autophagy
GO Term: Dolichyl-Phosphate-Glucose-Glycolipid Alpha-Glucosyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Structural Stabilization
GO Term: Ornithine Carbamoyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Apoptosis
GO Term: Ornithine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Lipid Metabolism
GO Term: Ornithine Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Orotate Phosphoribosyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Orotidine-5'-Phosphate Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Metal Binding and Homeostasis, Cell Cycle, Oxidative Stress
GO Term: Oxoglutarate Dehydrogenase (Succinyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pantothenate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Pantetheine-Phosphate Adenylyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Structural Stabilization
GO Term: Protein-N-Terminal Amino-Acid Acetyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Lipid Metabolism, Autophagy, Apoptosis
GO Term: Peptidylamidoglycolate Lyase Activity -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Peroxidase Activity -> Biodomain: Oxidative Stress, Immune Response, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Glutathione Peroxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Endolysosome, Apoptosis
GO Term: Phenylethanolamine N-Methyltransferase Activity -> Biodomain: Synapse, Epigenetic, Immune Response, Vasculature, Oxidative Stress
GO Term: Phosphatidate Cytidylyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Endolysosome, Structural Stabilization
GO Term: Phosphatidylcholine-Sterol O-Acyltransferase Activity -> Biodomain: Lipid Metabolism, Vasculature, Immune Response, Mitochondrial Metabolism, Proteostasis
GO Term: Phosphatidylethanolamine N-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Structural Stabilization, Autophagy, Proteostasis
GO Term: Phosphatidylserine Decarboxylase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Phosphoacetylglucosamine Mutase Activity -> Biodomain: Proteostasis, Endolysosome, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Phosphoenolpyruvate Carboxykinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Autophagy, Proteostasis
GO Term: Phosphoenolpyruvate Carboxykinase (Gtp) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phosphoglucomutase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Phosphomannomutase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Endolysosome
GO Term: Phosphogluconate Dehydrogenase (Decarboxylating) Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, DNA Repair, Cell Cycle
GO Term: Phosphoglycerate Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Epigenetic, Oxidative Stress, Proteostasis
GO Term: Phosphoglycerate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Phosphoglycerate Mutase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Phospholipase Activity -> Biodomain: Lipid Metabolism, Immune Response, Apoptosis, Autophagy, Endolysosome
GO Term: Glycosylphosphatidylinositol Phospholipase D Activity -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Immune Response, Autophagy
GO Term: Phosphatidylcholine Lysophospholipase Activity -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress, Mitochondrial Metabolism
GO Term: Phospholipase A2 Activity -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Mitochondrial Metabolism, Structural Stabilization
GO Term: Phospholipase C Activity -> Biodomain: Lipid Metabolism, Synapse, Vasculature, Immune Response, Cell Cycle
GO Term: Phospholipase D Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Endolysosome
GO Term: Phosphomevalonate Kinase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis
GO Term: Phosphopantothenate--Cysteine Ligase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Autophagy
GO Term: Phosphopantothenoylcysteine Decarboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Phosphopyruvate Hydratase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Cell Cycle
GO Term: Phosphoribosylamine-Glycine Ligase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Proteostasis, Epigenetic
GO Term: Phosphoribosylaminoimidazole Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Proteostasis
GO Term: Phosphoribosylaminoimidazolesuccinocarboxamide Synthase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Proteostasis, Lipid Metabolism
GO Term: Phosphoribosylformylglycinamidine Cyclo-Ligase Activity -> Biodomain: DNA Repair, Cell Cycle, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Phosphoribosylformylglycinamidine Synthase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Phosphoribosylaminoimidazolecarboxamide Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Epigenetic, DNA Repair, Cell Cycle, Apoptosis
GO Term: Phosphoribosylglycinamide Formyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: 1,4-Alpha-Oligoglucan Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: O-Phospho-L-Serine:2-Oxoglutarate Aminotransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Poly(Adp-Ribose) Glycohydrolase Activity -> Biodomain: DNA Repair, Mitochondrial Metabolism, Proteostasis, Apoptosis, Epigenetic
GO Term: Polynucleotide 5'-Phosphatase Activity -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Structural Stabilization, Cell Cycle
GO Term: Polypeptide N-Acetylgalactosaminyltransferase Activity -> Biodomain: Proteostasis, APP Metabolism, Structural Stabilization, Immune Response, Autophagy
GO Term: Polyribonucleotide Nucleotidyltransferase Activity -> Biodomain: RNA Spliceosome, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Porphobilinogen Synthase Activity -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Procollagen-Proline 4-Dioxygenase Activity -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Proline Dehydrogenase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Propionyl-Coa Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis, Oxidative Stress
GO Term: Prenyltransferase Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Protein Farnesyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Autophagy, Apoptosis
GO Term: Protein Geranylgeranyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Apoptosis
GO Term: Caax-Protein Geranylgeranyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Mitochondrial Metabolism, Structural Stabilization, Autophagy
GO Term: Rab Geranylgeranyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Structural Stabilization, Mitochondrial Metabolism, Autophagy
GO Term: Prostaglandin-Endoperoxide Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Mitochondrial Metabolism
GO Term: Prostaglandin-D Synthase Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Oxidative Stress, Apoptosis
GO Term: Protein-Arginine Deiminase Activity -> Biodomain: Proteostasis, Epigenetic, Immune Response, Apoptosis, Oxidative Stress
GO Term: Protein C-Terminal S-Isoprenylcysteine Carboxyl O-Methyltransferase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Cell Cycle, Structural Stabilization, Endolysosome
GO Term: Protein Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Protein Histidine Kinase Activity -> Biodomain: Proteostasis, Phosphorylation, Signal Transduction, Epigenetic, Metal Binding and Homeostasis
GO Term: Protein Serine/Threonine Kinase Activity -> Biodomain: Signal Transduction, DNA Repair, Apoptosis, Cell Cycle, Autophagy
GO Term: Transmembrane Receptor Protein Serine/Threonine Kinase Activity -> Biodomain: Vasculature, Immune Response, Apoptosis, Cell Cycle, Proteostasis
GO Term: 3-Phosphoinositide-Dependent Protein Kinase Activity -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Dna-Dependent Protein Kinase Activity -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Apoptosis, Epigenetic
GO Term: Amp-Activated Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Autophagy, Proteostasis, Oxidative Stress
GO Term: Calcium/Calmodulin-Dependent Protein Kinase Activity -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Apoptosis, Structural Stabilization
GO Term: Elongation Factor-2 Kinase Activity -> Biodomain: Proteostasis, Signal Transduction, Cellular Stress Response, Autophagy, Apoptosis
GO Term: Myosin Light Chain Kinase Activity -> Biodomain: Muscle System, Cell Signaling, Enzymes, Cytoskeleton, Cellular Processes
GO Term: Phosphorylase Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Cell Cycle
GO Term: Camp-Dependent Protein Kinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic, Autophagy
GO Term: Cgmp-Dependent Protein Kinase Activity -> Biodomain: Vasculature, Synapse, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cyclin-Dependent Protein Serine/Threonine Kinase Activity -> Biodomain: Cell Cycle, DNA Repair, Proteostasis, Epigenetic, Autophagy
GO Term: Eukaryotic Translation Initiation Factor 2Alpha Kinase Activity -> Biodomain: Proteostasis, Oxidative Stress, Apoptosis, Autophagy, Mitochondrial Metabolism
GO Term: Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress
GO Term: Calcium,Diacylglycerol-Dependent Serine/Threonine Kinase Activity -> Biodomain: Lipid Metabolism, Metal Binding and Homeostasis, Synapse, Oxidative Stress, Proteostasis
GO Term: Diacylglycerol-Dependent, Calcium-Independent Serine/Threonine Kinase Activity -> Biodomain: Lipid Metabolism, Proteostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: G Protein-Coupled Receptor Kinase Activity -> Biodomain: Proteostasis, Synapse, Cell Cycle, Immune Response, Vasculature
GO Term: Jun Kinase Activity -> Biodomain: Oxidative Stress, Apoptosis, Proteostasis, Epigenetic, Immune Response
GO Term: Jun Kinase Kinase Kinase Activity -> Biodomain: Apoptosis, Oxidative Stress, Immune Response, Cell Cycle, Proteostasis
GO Term: Map Kinase Activity -> Biodomain: Cell Cycle, Apoptosis, Oxidative Stress, Immune Response, Epigenetic
GO Term: Map Kinase Kinase Activity -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Autophagy, Oxidative Stress
GO Term: Map Kinase Kinase Kinase Activity -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Cell Cycle
GO Term: Ribosomal Protein S6 Kinase Activity -> Biodomain: Proteostasis, Mitochondrial Metabolism, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Protein Serine/Threonine/Tyrosine Kinase Activity -> Biodomain: Signal Transduction, Cell Cycle, Apoptosis, Autophagy, Epigenetic
GO Term: Protein Tyrosine Kinase Activity -> Biodomain: Signal Transduction, Immune Response, Cell Growth and Proliferation, Neuroregulation, Apoptosis
GO Term: Transmembrane Receptor Protein Tyrosine Kinase Activity -> Biodomain: Signal Transduction, Receptor Activity, Kinase Activity, Cell Communication, Phosphorylation
GO Term: Non-Membrane Spanning Protein Tyrosine Kinase Activity -> Biodomain: Proteostasis, Immune Response, Cell Cycle, Apoptosis, Autophagy
GO Term: Protein-L-Isoaspartate (D-Aspartate) O-Methyltransferase Activity -> Biodomain: Proteostasis, Structural Stabilization, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Protein-Lysine 6-Oxidase Activity -> Biodomain: Structural Stabilization, Oxidative Stress, Vasculature, Proteostasis, Metal Binding and Homeostasis
GO Term: Phosphoprotein Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Oxidative Stress, DNA Repair
GO Term: Protein Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Structural Stabilization
GO Term: Calcium-Dependent Protein Serine/Threonine Phosphatase Activity -> Biodomain: Proteostasis, Synapse, Apoptosis, Immune Response, Oxidative Stress
GO Term: Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Apoptosis, Oxidative Stress
GO Term: Non-Membrane Spanning Protein Tyrosine Phosphatase Activity -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Autophagy, Apoptosis
GO Term: Oxygen-Dependent Protoporphyrinogen Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Lipid Metabolism, Autophagy
GO Term: Purine-Nucleoside Phosphorylase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Epigenetic, Oxidative Stress
GO Term: Pyridoxamine Phosphate Oxidase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Myelination, Synapse, Epigenetic
GO Term: Pyrroline-5-Carboxylate Reductase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Metal Binding and Homeostasis
GO Term: Pyruvate Carboxylase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyruvate Dehydrogenase (Acetyl-Transferring) Kinase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Autophagy, Oxidative Stress
GO Term: [Pyruvate Dehydrogenase (Acetyl-Transferring)]-Phosphatase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Oxidative Stress, Autophagy
GO Term: Dihydrolipoyllysine-Residue Acetyltransferase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Pyruvate Kinase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Apoptosis, Metal Binding and Homeostasis
GO Term: All-Trans-Retinol Dehydrogenase (Nad+) Activity -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Epigenetic
GO Term: Ribokinase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, DNA Repair, Lipid Metabolism, Cell Cycle
GO Term: Ribonucleoside-Diphosphate Reductase Activity, Thioredoxin Disulfide As Acceptor -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Ribose Phosphate Diphosphokinase Activity -> Biodomain: Mitochondrial Metabolism, Cell Cycle, DNA Repair, Metal Binding and Homeostasis, Oxidative Stress
GO Term: D-Ribulose-Phosphate 3-Epimerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Autophagy
GO Term: Ribose-5-Phosphate Isomerase Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Autophagy, Cell Cycle
