Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 18: rows 17000 to 17999
GO Term: Positive Regulation Of Protein Polyubiquitination -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Oxidative Stress
GO Term: Positive Regulation Of Establishment Of Protein Localization -> Biodomain: Proteostasis, Autophagy, Mitochondrial Metabolism, Endolysosome, Synapse
GO Term: Regulation Of Midbrain Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Epigenetic, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Midbrain Dopaminergic Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Regulation Of Cytochrome-C Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Cytochrome-C Oxidase Activity -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Brush Border Assembly -> Biodomain: Structural Stabilization, Proteostasis, Metal Binding and Homeostasis, Endolysosome, Lipid Metabolism
GO Term: Negative Regulation Of Viral Translation -> Biodomain: Immune Response, Proteostasis, Apoptosis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Viral Translation -> Biodomain: Proteostasis, Immune Response, RNA Spliceosome, Cell Cycle, Epigenetic
GO Term: Heparanase Complex -> Biodomain: Endolysosome, Proteostasis, Immune Response, Vasculature, Autophagy
GO Term: Response To Bleomycin -> Biodomain: DNA Repair, Oxidative Stress, Proteostasis, Apoptosis, Autophagy
GO Term: Cellular Response To Bleomycin -> Biodomain: DNA Repair, Apoptosis, Oxidative Stress, Cell Cycle, Proteostasis
GO Term: Lymphatic Endothelial Cell Migration -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Cell Cycle, Endolysosome
GO Term: Regulation Of Endosome Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Endosome Organization -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Vasculature
GO Term: Glycine Import Into Mitochondrion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Quinolinate Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Apoptosis, Immune Response
GO Term: Positive Regulation Of Endothelial Cell Activation -> Biodomain: Vasculature, Immune Response, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Adenylate Cyclase-Inhibiting Dopamine Receptor Signaling Pathway -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Epigenetic
GO Term: Regulation Of Leukocyte Adhesion To Vascular Endothelial Cell -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Leukocyte Adhesion To Vascular Endothelial Cell -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Leukocyte Adhesion To Vascular Endothelial Cell -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Regulation Of Leukocyte Adhesion To Arterial Endothelial Cell -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Leukocyte Adhesion To Arterial Endothelial Cell -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Positive Regulation Of Leukocyte Adhesion To Arterial Endothelial Cell -> Biodomain: Immune Response, Vasculature, Oxidative Stress, Structural Stabilization, Proteostasis
GO Term: Regulation Of Membrane Repolarization During Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis
GO Term: Negative Regulation Of Membrane Repolarization During Atrial Cardiac Muscle Cell Action Potential -> Biodomain: Unknown, Structural Stabilization, Lipid Metabolism, Oxidative Stress, Metal Binding and Homeostasis
GO Term: Picolinic Acid Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Apoptosis
GO Term: Regulation Of Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: Epigenetic, Vasculature, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Negative Regulation Of Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: Vasculature, Epigenetic, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Epithelial To Mesenchymal Transition Involved In Endocardial Cushion Formation -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Regulation Of 'De Novo' Nad Biosynthetic Process From L-Tryptophan -> Biodomain: Mitochondrial Metabolism, Epigenetic, Oxidative Stress, Autophagy, DNA Repair
GO Term: Regulation Of Membrane Repolarization During Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Membrane Repolarization During Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism
GO Term: Positive Regulation Of Membrane Repolarization During Ventricular Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Membrane Depolarization During Av Node Cell Action Potential -> Biodomain: Vasculature, Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Structural Stabilization
GO Term: Voltage-Gated Monoatomic Ion Channel Activity Involved In Regulation Of Postsynaptic Membrane Potential -> Biodomain: Synapse, Structural Stabilization, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Regulation Of Membrane Repolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Vasculature
GO Term: Negative Regulation Of Membrane Repolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Vasculature, Metal Binding and Homeostasis, Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Membrane Repolarization During Cardiac Muscle Cell Action Potential -> Biodomain: Metal Binding and Homeostasis, Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Antifungal Innate Immune Response -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Antifungal Innate Immune Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Oxidative Stress, Proteostasis
GO Term: Autophagosome Organization -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Apoptosis
GO Term: Regulation Of Membrane Lipid Metabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism
GO Term: Carboxylic Acid Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Endolysosome, Autophagy, Oxidative Stress
GO Term: Otic Placode Development -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, RNA Spliceosome, Proteostasis
GO Term: Regulation Of Epithelium Regeneration -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Epithelium Regeneration -> Biodomain: Epigenetic, Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization
GO Term: Negative Regulation Of Schwann Cell Proliferation Involved In Axon Regeneration -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Unknown
GO Term: Positive Regulation Of Schwann Cell Proliferation Involved In Axon Regeneration -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Cell Cycle, Immune Response
GO Term: Regulation Of Metallopeptidase Activity -> Biodomain: Proteostasis, Metal Binding and Homeostasis, Oxidative Stress, Apoptosis, Autophagy
GO Term: Negative Regulation Of Metallopeptidase Activity -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Oxidative Stress, Apoptosis, Immune Response
GO Term: Regulation Of Base-Excision Repair -> Biodomain: DNA Repair, Epigenetic, Proteostasis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Base-Excision Repair -> Biodomain: DNA Repair, Epigenetic, Oxidative Stress, Proteostasis, Cell Cycle
GO Term: P-Type Calcium Transporter Activity Involved In Regulation Of Presynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Structural Stabilization, Apoptosis
GO Term: P-Type Calcium Transporter Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Unknown
GO Term: Calcium:Monoatomic Cation Antiporter Activity Involved In Regulation Of Postsynaptic Cytosolic Calcium Ion Concentration -> Biodomain: Synapse, Calcium Homeostasis, Ion Channel & Transporter, Cell Signaling, Synaptic Plasticity
GO Term: Negative Regulation Of Cardioblast Proliferation -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Vasculature, Unknown
GO Term: Positive Regulation Of Cardioblast Proliferation -> Biodomain: Cell Cycle, Vasculature, Epigenetic, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Proteostasis, Immune Response
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Immune Response
GO Term: Allantois Development -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Immune Response, Apoptosis
GO Term: Anterior Visceral Endoderm Cell Migration -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Unknown
GO Term: Cardiac Jelly Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Tight Junction Disassembly -> Biodomain: Vasculature, Immune Response, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Type 2 Mitophagy -> Biodomain: Mitochondrial Metabolism, Autophagy, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Type 2 Mitophagy -> Biodomain: Autophagy, Mitochondrial Metabolism, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Negative Regulation Of Apolipoprotein A-I-Mediated Signaling Pathway -> Biodomain: Lipid Metabolism, Vasculature, Proteostasis, Immune Response, APP Metabolism
GO Term: Negative Regulation Of Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Apoptosome Assembly -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Immune Response
GO Term: Positive Regulation Of Pulmonary Blood Vessel Remodeling -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Lateral Attachment Of Mitotic Spindle Microtubules To Kinetochore -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis, Unknown
GO Term: Biotin Import Across Plasma Membrane -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Eukaryotic Translation Initiation Factor 2 Complex Assembly -> Biodomain: Proteostasis, RNA Spliceosome, Epigenetic, Cell Cycle, Autophagy
GO Term: Response To Acetylcholine -> Biodomain: Synapse, Vasculature, Immune Response, APP Metabolism, Epigenetic
GO Term: Cellular Response To Acetylcholine -> Biodomain: Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Lysosomal Protein Catabolic Process -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Apoptosis
GO Term: Positive Regulation Of Smooth Muscle Hypertrophy -> Biodomain: Vasculature, Structural Stabilization, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Voltage-Gated Sodium Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Positive Regulation Of Voltage-Gated Sodium Channel Activity -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Oxidative Stress
GO Term: Protein Localization To Phagocytic Vesicle -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Regulation Of Phagosome Maturation -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Phagosome Maturation -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Lysosomal Protein Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Negative Regulation Of Lysosomal Protein Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, Apoptosis, APP Metabolism
GO Term: Positive Regulation Of Lysosomal Protein Catabolic Process -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Double-Strand Break Repair Via Homologous Recombination -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Positive Regulation Of Protein Localization To Phagocytic Vesicle -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Risc Complex Binding -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, Autophagy, Immune Response
GO Term: Regulation Of Vascular Associated Smooth Muscle Cell Dedifferentiation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Vascular Associated Smooth Muscle Cell Dedifferentiation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Cell Cycle, Apoptosis
GO Term: Positive Regulation Of Vascular Associated Smooth Muscle Cell Dedifferentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Negative Regulation Of Cardiac Muscle Tissue Regeneration -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Cell Cycle, Vasculature
GO Term: Positive Regulation Of Cardiac Muscle Tissue Regeneration -> Biodomain: Mitochondrial Metabolism, Cell Cycle, Vasculature, Autophagy, Proteostasis
GO Term: Positive Regulation Of Metaphase/Anaphase Transition Of Meiosis I -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Epigenetic, DNA Repair
GO Term: Manchette Assembly -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Manchette Disassembly -> Biodomain: Structural Stabilization, Proteostasis, Apoptosis, Cell Cycle, Autophagy
GO Term: Methylcrotonoyl-Coa Carboxylase Complex -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Connective Tissue Replacement -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Connective Tissue Replacement -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Cardiocyte Differentiation -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Epigenetic, Structural Stabilization
GO Term: Positive Regulation Of Cardiocyte Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Immune Response
GO Term: Negative Regulation Of Mitotic Chromosome Condensation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, DNA Repair, Proteostasis
GO Term: Positive Regulation Of Rna Binding -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Response To Astaxanthin -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Positive Regulation Of Platelet Formation -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Immune Response
GO Term: Atrioventricular Canal Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Epigenetic, Cell Cycle
GO Term: Epicardium Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Epigenetic
GO Term: Response To Thyrotropin-Releasing Hormone -> Biodomain: Synapse, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress
GO Term: Cellular Response To Thyrotropin-Releasing Hormone -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Synapse, Proteostasis, Cell Cycle
GO Term: Cellular Response To Borneol -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Cellular Response To L-Glutamate -> Biodomain: Synapse, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Response To Codeine -> Biodomain: Synapse, Immune Response, Oxidative Stress, Apoptosis, Epigenetic
GO Term: Response To Quercetin -> Biodomain: Oxidative Stress, Immune Response, Autophagy, Proteostasis, Apoptosis
GO Term: Response To Cyclosporin A -> Biodomain: Immune Response, Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Response To 3,3',5-Triiodo-L-Thyronine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cellular Response To 3,3',5-Triiodo-L-Thyronine -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Regulation Of Modification Of Synaptic Structure -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Aspartic-Type Peptidase Activity -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Lipid Metabolism
GO Term: Negative Regulation Of Nitrosative Stress-Induced Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Oxidative Stress, Proteostasis, Mitochondrial Metabolism, Unknown
GO Term: Positive Regulation Of Chromatin Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Proton-Transporting Atp Synthase Activity, Rotational Mechanism -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Endolysosome
GO Term: Regulation Of Modification Of Postsynaptic Actin Cytoskeleton -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Positive Regulation Of Epithelial Tube Formation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Immune Response, Endolysosome
GO Term: Regulation Of Retrograde Transport, Endosome To Golgi -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Negative Regulation Of Retrograde Transport, Endosome To Golgi -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Unknown
GO Term: Positive Regulation Of Retrograde Transport, Endosome To Golgi -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Synapse
GO Term: Fibrous Ring Of Heart Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Mitochondrial Metabolism, Apoptosis
GO Term: Serine-Type Peptidase Complex -> Biodomain: Vasculature, Proteostasis, Immune Response, Autophagy, Apoptosis
GO Term: Vascular Associated Smooth Muscle Cell Apoptotic Process -> Biodomain: Apoptosis, Vasculature, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Regulation Of Camkk-Ampk Signaling Cascade -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Autophagy, Lipid Metabolism, Proteostasis
GO Term: Positive Regulation Of Camkk-Ampk Signaling Cascade -> Biodomain: Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Neural Crest Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Intestinal Epithelial Cell Development -> Biodomain: Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis, Immune Response
GO Term: Positive Regulation Of Intestinal Epithelial Cell Development -> Biodomain: Cell Cycle, Immune Response, Vasculature, Structural Stabilization, Autophagy
GO Term: Negative Regulation Of Macropinocytosis -> Biodomain: Endolysosome, Autophagy, Proteostasis, Immune Response, Lipid Metabolism
GO Term: Positive Regulation Of Macropinocytosis -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Cardiac Myofibril Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Apoptosis, Cell Cycle
GO Term: Regulation Of Cardiac Neural Crest Cell Migration Involved In Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Unknown, Mitochondrial Metabolism
GO Term: Positive Regulation Of Cardiac Neural Crest Cell Migration Involved In Outflow Tract Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis
GO Term: Semi-Lunar Valve Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Unknown
GO Term: Cell Proliferation Involved In Endocardial Cushion Morphogenesis -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Autophagy, Epigenetic
GO Term: Superior Endocardial Cushion Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis
GO Term: Inferior Endocardial Cushion Morphogenesis -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Autophagy
GO Term: Mesenchymal Stem Cell Migration -> Biodomain: Vasculature, Immune Response, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Mesenchymal Stem Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Telomerase Holoenzyme Complex Assembly -> Biodomain: DNA Repair, Cell Cycle, Proteostasis, Structural Stabilization, Epigenetic
GO Term: Telomere-Telomerase Complex Assembly -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Regulation Of Meiosis I Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Autophagy, DNA Repair
GO Term: Positive Regulation Of Meiosis I Spindle Assembly Checkpoint -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Structural Stabilization, DNA Repair
GO Term: Tracheoesophageal Septum Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Synapse
GO Term: Regulation Of Morphogenesis Of An Epithelium -> Biodomain: Structural Stabilization, Proteostasis, Vasculature, Immune Response, Epigenetic
GO Term: Positive Regulation Of Morphogenesis Of An Epithelium -> Biodomain: Structural Stabilization, Vasculature, Apoptosis, Cell Cycle, Epigenetic
GO Term: Regulation Of Gastric Motility -> Biodomain: Synapse, Vasculature, Immune Response, Autophagy, Unknown
GO Term: Negative Regulation Of Aggrephagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Positive Regulation Of Aggrephagy -> Biodomain: Autophagy, Proteostasis, Endolysosome, Oxidative Stress, Tau Homeostasis
GO Term: Positive Regulation Of Protein Localization To Kinetochore -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Prostaglandin Catabolic Process -> Biodomain: Lipid Metabolism, Immune Response, Oxidative Stress, Vasculature, Apoptosis
GO Term: Protein Localization To Cleavage Furrow -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Lipid Metabolism, Unknown
GO Term: Endodeoxyribonuclease Complex -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Ciliary Transition Zone Assembly -> Biodomain: Structural Stabilization, Proteostasis, Synapse, Cell Cycle, Autophagy
GO Term: Exoribonuclease Complex -> Biodomain: RNA Spliceosome, Autophagy, Proteostasis, Epigenetic, Unknown
GO Term: Spine Apparatus Assembly -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Gtpase Complex -> Biodomain: Proteostasis, Synapse, Endolysosome, Structural Stabilization, Autophagy
GO Term: Regulation Of Endosomal Vesicle Fusion -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Immune Response
GO Term: Negative Regulation Of Intralumenal Vesicle Formation -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Peptidase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Oxidative Stress
GO Term: Endopeptidase Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Immune Response
GO Term: Serine-Type Endopeptidase Complex -> Biodomain: Proteostasis, Apoptosis, Immune Response, Vasculature, Endolysosome
GO Term: Ceramide Phosphoethanolamine Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Mitochondrial Metabolism, Apoptosis
GO Term: Ceramide Phosphoethanolamine Biosynthetic Process -> Biodomain: Lipid Metabolism, Structural Stabilization, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Beta-N-Acetylhexosaminidase Complex -> Biodomain: Endolysosome, Lipid Metabolism, Proteostasis, Autophagy, Synapse
GO Term: Negative Regulation Of Snrna Transcription By Rna Polymerase Ii -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Unknown
GO Term: Positive Regulation Of Snrna Transcription By Rna Polymerase Ii -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Protein Localization To Presynapse -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Autophagy, Tau Homeostasis
GO Term: Retromer Complex Binding -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, APP Metabolism
GO Term: Response To Flavonoid -> Biodomain: Oxidative Stress, Immune Response, Lipid Metabolism, Apoptosis, Proteostasis
GO Term: Cellular Response To Flavonoid -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Apoptosis
GO Term: Regulation Of Activated Cd4-Positive, Alpha-Beta T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Mitochondrial Metabolism, Proteostasis
GO Term: Negative Regulation Of Activated Cd8-Positive, Alpha-Beta T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Activated Cd8-Positive, Alpha-Beta T Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Regulation Of Dense Core Granule Exocytosis -> Biodomain: Synapse, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Positive Regulation Of Dense Core Granule Exocytosis -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Endolysosome
GO Term: Response To Glycine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Cellular Response To Glycine -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Lipid Metabolism, Autophagy
GO Term: Negative Regulation Of Retrograde Trans-Synaptic Signaling By Neuropeptide -> Biodomain: Synapse, Proteostasis, Autophagy, Apoptosis, Oxidative Stress
GO Term: Regulation Of Clathrin Coat Assembly -> Biodomain: Endolysosome, Proteostasis, Synapse, Autophagy, Structural Stabilization
