Running with TEMP=0.1, sub_array_index=19
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 19: rows 18000 to 18972
GO Term: Regulation Of Blood-Brain Barrier Permeability -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Oxidative Stress, Lipid Metabolism
GO Term: Positive Regulation Of Interleukin-1-Mediated Signaling Pathway -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Dendritic Cell Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Dendritic Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Synapse, Proteostasis, Cell Cycle, Oxidative Stress
GO Term: Negative Regulation Of Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Structural Stabilization, Synapse
GO Term: Positive Regulation Of Motor Neuron Apoptotic Process -> Biodomain: Apoptosis, Proteostasis, Oxidative Stress, Mitochondrial Metabolism, Synapse
GO Term: Negative Regulation Of Type B Pancreatic Cell Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Autophagy, Cell Cycle, Oxidative Stress
GO Term: Positive Regulation Of Type B Pancreatic Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Transcription Regulatory Region Dna Binding -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Autophagy, Apoptosis
GO Term: Negative Regulation Of Transcription Regulatory Region Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Transcription Regulatory Region Dna Binding -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Immune Response, Apoptosis
GO Term: Regulation Of Cellular Response To X-Ray -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Structural Stabilization
GO Term: Actomyosin Contractile Ring Assembly Actin Filament Organization -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Cardiac Muscle Cell Myoblast Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Apoptosis
GO Term: Regulation Of Epithelial Cell Differentiation Involved In Kidney Development -> Biodomain: Vasculature, Structural Stabilization, Apoptosis, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Epithelial Cell Differentiation Involved In Kidney Development -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Negative Regulation Of Fibroblast Growth Factor Receptor Signaling Pathway Involved In Ureteric Bud Formation -> Biodomain: Cell Cycle, Structural Stabilization, Apoptosis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Dense Core Granule Biogenesis -> Biodomain: Proteostasis, Synapse, Autophagy, Apoptosis, Endolysosome
GO Term: Positive Regulation Of Dense Core Granule Biogenesis -> Biodomain: Proteostasis, Endolysosome, Synapse, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Maintenance Of Mitotic Sister Chromatid Cohesion, Centromeric -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Maintenance Of Mitotic Sister Chromatid Cohesion, Centromeric -> Biodomain: Cell Cycle, Proteostasis, Structural Stabilization, Apoptosis, Epigenetic
GO Term: Negative Regulation Of Cardiac Vascular Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Cardiac Vascular Smooth Muscle Cell Differentiation -> Biodomain: Vasculature, Epigenetic, Cell Cycle, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Cardiac Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Apoptosis, Proteostasis, Cell Cycle
GO Term: Negative Regulation Of Cardiac Muscle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Cardiac Muscle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Positive Regulation Of Mesenchymal Cell Proliferation Involved In Ureter Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Endolysosome
GO Term: Regulation Of Termination Of Rna Polymerase I Transcription -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Proteostasis, Autophagy
GO Term: Negative Regulation Of Glial Cell-Derived Neurotrophic Factor Receptor Signaling Pathway Involved In Ureteric Bud Formation -> Biodomain: Proteostasis, Cell Cycle, Epigenetic, Structural Stabilization, Autophagy
GO Term: Regulation Of Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Apoptosis
GO Term: Negative Regulation Of Stem Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Autophagy, Proteostasis
GO Term: Positive Regulation Of Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Regulation Of Mesenchymal Stem Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Negative Regulation Of Mesenchymal Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Mesenchymal Stem Cell Differentiation -> Biodomain: Epigenetic, Cell Cycle, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Anterior Head Development -> Biodomain: Developmental Process, Cell Growth And Proliferation, Signaling Pathways, Gene Expression And Epigenetic, Cell Differentiation
GO Term: Regulation Of Glucosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Positive Regulation Of Glucosylceramide Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Positive Regulation Of Sphingomyelin Catabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Peptidyl-Lysine Acetylation -> Biodomain: Epigenetic, Proteostasis, Autophagy, Apoptosis, DNA Repair
GO Term: Positive Regulation Of Peptidyl-Lysine Acetylation -> Biodomain: Epigenetic, Proteostasis, Autophagy, DNA Repair, Cell Cycle
GO Term: Regulation Of Cytoplasmic Translation -> Biodomain: Proteostasis, Autophagy, RNA Spliceosome, Cell Cycle, Synapse
GO Term: Negative Regulation Of Cytoplasmic Translation -> Biodomain: Proteostasis, Autophagy, Cell Cycle, Immune Response, Apoptosis
GO Term: Positive Regulation Of Cytoplasmic Translation -> Biodomain: Proteostasis, Cell Cycle, Autophagy, RNA Spliceosome, Epigenetic
GO Term: Positive Regulation Of Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Cell Cycle, Proteostasis
GO Term: Regulation Of Cellular Senescence -> Biodomain: Apoptosis, Cell Cycle, DNA Repair, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Cellular Senescence -> Biodomain: Cell Cycle, DNA Repair, Autophagy, Oxidative Stress, Proteostasis
GO Term: Positive Regulation Of Cellular Senescence -> Biodomain: Cell Cycle, DNA Repair, Oxidative Stress, Epigenetic, Apoptosis
GO Term: Regulation Of Double-Strand Break Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Double-Strand Break Repair -> Biodomain: DNA Repair, Epigenetic, Cell Cycle, Apoptosis, Autophagy
GO Term: Positive Regulation Of Double-Strand Break Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization
GO Term: Positive Regulation Of Establishment Of Cell Polarity Regulating Cell Shape -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Regulation Of Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Positive Regulation Of Autophagosome Assembly -> Biodomain: Autophagy, Proteostasis, Epigenetic, Structural Stabilization, Oxidative Stress
GO Term: Negative Regulation Of Mesenchymal Cell Proliferation Involved In Lung Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Epigenetic, Immune Response
GO Term: Cell Proliferation Involved In Heart Valve Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Immune Response, Endolysosome
GO Term: Regulation Of Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Vasculature, Apoptosis
GO Term: Negative Regulation Of Epithelial Cell Proliferation Involved In Lung Morphogenesis -> Biodomain: Cell Cycle, Epigenetic, Apoptosis, Structural Stabilization, Vasculature
GO Term: Negative Regulation Of Amniotic Stem Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Endocardial Cushion To Mesenchymal Transition Involved In Heart Valve Formation -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Termination Of Rna Polymerase Ii Transcription, Poly(A)-Coupled -> Biodomain: Epigenetic, RNA Spliceosome, DNA Repair, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Termination Of Rna Polymerase Ii Transcription, Poly(A)-Coupled -> Biodomain: RNA Spliceosome, Epigenetic, Proteostasis, DNA Repair, Autophagy
GO Term: Regulation Of Synaptic Vesicle Clustering -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Endolysosome, Autophagy
GO Term: Negative Regulation Of Synaptic Vesicle Clustering -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Endolysosome
GO Term: Positive Regulation Of Synaptic Vesicle Clustering -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Bicellular Tight Junction Assembly -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Synapse, Proteostasis
GO Term: Negative Regulation Of Anoikis -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization, Mitochondrial Metabolism
GO Term: Regulation Of Barbed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Barbed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Apoptosis
GO Term: Positive Regulation Of Barbed-End Actin Filament Capping -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Apoptosis
GO Term: Negative Regulation Of Myoblast Proliferation -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, Structural Stabilization, Autophagy
GO Term: Regulation Of Nucleotide-Excision Repair -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Regulation Of Grooming Behavior -> Biodomain: Synapse, Proteostasis, Oxidative Stress, Endolysosome, Mitochondrial Metabolism
GO Term: Regulation Of Behavioral Fear Response -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Heart Morphogenesis -> Biodomain: Vasculature, Cell Cycle, Apoptosis, Structural Stabilization, Epigenetic
GO Term: Mitochondrial Rna Surveillance -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, RNA Spliceosome, Endolysosome
GO Term: Positive Regulation Of Parathyroid Hormone Secretion -> Biodomain: Endolysosome, Proteostasis, Metal Binding and Homeostasis, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Androgen Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Epigenetic
GO Term: Positive Regulation Of Testosterone Secretion -> Biodomain: Hormone Regulation, Reproductive System, Cell Signaling, Endocrine System, Metabolic Regulation
GO Term: Negative Regulation Of Glucocorticoid Secretion -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Oxidative Stress, Epigenetic
GO Term: Regulation Of Corticosterone Secretion -> Biodomain: Oxidative Stress, Lipid Metabolism, Mitochondrial Metabolism, Immune Response, Autophagy
GO Term: Negative Regulation Of Corticosterone Secretion -> Biodomain: Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Corticosterone Secretion -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Oxidative Stress, Immune Response
GO Term: Negative Regulation Of Aldosterone Secretion -> Biodomain: Lipid Metabolism, Oxidative Stress, Immune Response, Epigenetic, Autophagy
GO Term: Positive Regulation Of Aldosterone Secretion -> Biodomain: Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Epigenetic
GO Term: Regulation Of Estradiol Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Estradiol Secretion -> Biodomain: Endocrine System, Hormone Activity, Reproductive System, Regulation Of Secretion, Steroid Metabolism
GO Term: Regulation Of Progesterone Secretion -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Epigenetic, Oxidative Stress
GO Term: Positive Regulation Of Progesterone Secretion -> Biodomain: Endocrine System, Reproductive System, Regulation, Cellular Processes, Cell Signaling
GO Term: Cellobiose Catabolic Process -> Biodomain: Mitochondrial Metabolism, Autophagy, Endolysosome, Proteostasis, Oxidative Stress
GO Term: Cyclodextrin Metabolic Process -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Autophagy, Oxidative Stress
GO Term: Positive Regulation Of Detection Of Glucose -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Regulation Of Pro-B Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Pro-B Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Autophagy
GO Term: Positive Regulation Of Pro-B Cell Differentiation -> Biodomain: Immune Response, Epigenetic, Cell Cycle, Apoptosis, Proteostasis
GO Term: Regulation Of Forebrain Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Negative Regulation Of Forebrain Neuron Differentiation -> Biodomain: Epigenetic, Cell Cycle, RNA Spliceosome, Synapse, Autophagy
GO Term: Positive Regulation Of Forebrain Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Negative Regulation Of Inner Ear Receptor Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Proteostasis, Apoptosis
GO Term: Positive Regulation Of Inner Ear Receptor Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Structural Stabilization, Synapse
GO Term: Positive Regulation Of Behavioral Fear Response -> Biodomain: Synapse, Oxidative Stress, Structural Stabilization, Immune Response, Epigenetic
GO Term: Epithelial Cell Proliferation Involved In Renal Tubule Morphogenesis -> Biodomain: Cell Cycle, Structural Stabilization, Epigenetic, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Regulation Of Skeletal Muscle Cell Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Epigenetic
GO Term: Negative Regulation Of Skeletal Muscle Cell Differentiation -> Biodomain: Cell Cycle, Proteostasis, Epigenetic, Autophagy, Apoptosis
GO Term: Positive Regulation Of Skeletal Muscle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Positive Regulation Of Retrograde Axon Cargo Transport -> Biodomain: Synapse, Proteostasis, Autophagy, Structural Stabilization, Endolysosome
GO Term: Regulation Of Response To Drug -> Biodomain: Oxidative Stress, Proteostasis, Immune Response, Autophagy, Mitochondrial Metabolism
GO Term: Negative Regulation Of Response To Drug -> Biodomain: Proteostasis, Apoptosis, Autophagy, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Response To Drug -> Biodomain: Immune Response, Proteostasis, Oxidative Stress, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Endothelial Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Endothelial Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Epigenetic, Proteostasis
GO Term: Positive Regulation Of Double-Strand Break Repair Via Nonhomologous End Joining -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Tongue Muscle Cell Differentiation -> Biodomain: Cell Cycle, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Regulation Of Cellular Response To Drug -> Biodomain: Oxidative Stress, Apoptosis, Autophagy, Proteostasis, Mitochondrial Metabolism
GO Term: Negative Regulation Of Cellular Response To Drug -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Immune Response
GO Term: Positive Regulation Of Cellular Response To Drug -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Regulation Of Integrin-Mediated Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Lipid Metabolism
GO Term: Negative Regulation Of Integrin-Mediated Signaling Pathway -> Biodomain: Immune Response, Vasculature, Cell Cycle, Structural Stabilization, Apoptosis
GO Term: Positive Regulation Of Integrin-Mediated Signaling Pathway -> Biodomain: Structural Stabilization, Vasculature, Immune Response, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Tendon Cell Differentiation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Epigenetic, RNA Spliceosome
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process -> Biodomain: Apoptosis, Structural Stabilization, Proteostasis, Autophagy, Immune Response
GO Term: Positive Regulation Of Mesenchymal Cell Apoptotic Process -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Oxidative Stress
GO Term: Reactive Nitrogen Species Metabolic Process -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Immune Response, Apoptosis, Proteostasis
GO Term: Mannan Binding -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Glycogen Binding -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Autophagy, Oxidative Stress
GO Term: Starch Binding -> Biodomain: Lipid Metabolism, Autophagy, Endolysosome, Mitochondrial Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Metanephric Ureteric Bud Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Negative Regulation Of Rho Guanyl-Nucleotide Exchange Factor Activity -> Biodomain: Structural Stabilization, Cell Cycle, Immune Response, Synapse, Autophagy
GO Term: Positive Regulation Of Lens Epithelial Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Lipid Metabolism, Proteostasis, Autophagy
GO Term: Negative Regulation Of Cellular Response To Hepatocyte Growth Factor Stimulus -> Biodomain: Cell Cycle, Proteostasis, Autophagy, Endolysosome, Structural Stabilization
GO Term: Positive Regulation Of Cellular Response To Hepatocyte Growth Factor Stimulus -> Biodomain: Cell Cycle, Vasculature, Proteostasis, Epigenetic, Autophagy
GO Term: Negative Regulation Of Translational Frameshifting -> Biodomain: Proteostasis, Immune Response, RNA Spliceosome, Cell Cycle, Autophagy
GO Term: Regulation Of Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Lipid Metabolism, Autophagy, Synapse
GO Term: Negative Regulation Of Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Endocytic Recycling -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Structural Stabilization
GO Term: Positive Regulation Of Phospholipid Transport -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Regulation Of Rna Biosynthetic Process -> Biodomain: RNA Spliceosome, Epigenetic, DNA Repair, Cell Cycle, Immune Response
GO Term: Nicotinate Transport -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Negative Regulation Of Phosphatidylinositol-3,4,5-Trisphosphate 5-Phosphatase Activity -> Biodomain: Lipid Metabolism, Cell Cycle, Immune Response, Autophagy, Apoptosis
GO Term: Positive Regulation Of Dipeptide Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Renal Water Transport -> Biodomain: Vasculature, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Negative Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Metal Binding and Homeostasis, Proteostasis
GO Term: Positive Regulation Of Atp Biosynthetic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Mediator Complex Assembly -> Biodomain: Epigenetic, Proteostasis, Structural Stabilization, DNA Repair, Cell Cycle
GO Term: Regulation Of Cd8-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Cell Cycle, Apoptosis, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Cd8-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of Cd8-Positive, Alpha-Beta T Cell Activation -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Endolysosome
GO Term: Negative Regulation Of T Cell Activation Via T Cell Receptor Contact With Antigen Bound To Mhc Molecule On Antigen Presenting Cell -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Positive Regulation Of T Cell Activation Via T Cell Receptor Contact With Antigen Bound To Mhc Molecule On Antigen Presenting Cell -> Biodomain: Immune Response, Endolysosome, Apoptosis, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Gamma-Delta T Cell Activation Involved In Immune Response -> Biodomain: Immune Response, Endolysosome, Autophagy, Apoptosis, Cell Cycle
GO Term: Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Vasculature, Proteostasis, Epigenetic
GO Term: Negative Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Positive Regulation Of Dendritic Cell Differentiation -> Biodomain: Immune Response, Cell Cycle, Autophagy, Proteostasis, Apoptosis
GO Term: Regulation Of Osteoclast Development -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Negative Regulation Of Osteoclast Development -> Biodomain: Apoptosis, Immune Response, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Positive Regulation Of Osteoclast Development -> Biodomain: Apoptosis, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Vasculogenesis -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Proteostasis, Endolysosome
GO Term: Negative Regulation Of Vasculogenesis -> Biodomain: Vasculature, Immune Response, Apoptosis, Structural Stabilization, Proteostasis
GO Term: Positive Regulation Of Vasculogenesis -> Biodomain: Vasculature, Cell Cycle, Immune Response, Structural Stabilization, Lipid Metabolism
GO Term: Regulation Of Neuron Migration -> Biodomain: Structural Stabilization, Tau Homeostasis, Proteostasis, Synapse, Lipid Metabolism
GO Term: Negative Regulation Of Neuron Migration -> Biodomain: Structural Stabilization, Synapse, Autophagy, Proteostasis, Lipid Metabolism
GO Term: Positive Regulation Of Neuron Migration -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Regulation Of Chloride Transport -> Biodomain: Synapse, Vasculature, Immune Response, Endolysosome, Autophagy
GO Term: Negative Regulation Of Chloride Transport -> Biodomain: Endolysosome, Synapse, Vasculature, Autophagy, Immune Response
GO Term: Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Cell Cycle, Proteostasis, Autophagy, Immune Response
GO Term: Negative Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Autophagy, Cell Cycle, DNA Repair
GO Term: Positive Regulation Of Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Regulation Of Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Immune Response, Cell Cycle, Epigenetic
GO Term: Negative Regulation Of Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Immune Response, Cell Cycle, Autophagy
GO Term: Positive Regulation Of Extrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Oxidative Stress, Autophagy
GO Term: Negative Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Proteostasis, Immune Response, Oxidative Stress, Endolysosome
GO Term: Positive Regulation Of Extrinsic Apoptotic Signaling Pathway In Absence Of Ligand -> Biodomain: Apoptosis, Proteostasis, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Positive Regulation Of Intrinsic Apoptotic Signaling Pathway -> Biodomain: Apoptosis, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Cell Cycle
GO Term: Regulation Of Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Oxidative Stress, Proteostasis
GO Term: Negative Regulation Of Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Proteostasis, Autophagy, APP Metabolism, Oxidative Stress
GO Term: Positive Regulation Of Phosphatidylcholine Biosynthetic Process -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Autophagy, Proteostasis
GO Term: Positive Regulation Of Ammonia Assimilation Cycle -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis, Autophagy
GO Term: Negative Regulation Of Chromosome Organization -> Biodomain: Epigenetic, DNA Repair, Cell Cycle, Structural Stabilization, Proteostasis
