Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 6: rows 5000 to 5999
GO Term: Glial Cell-Derived Neurotrophic Factor Receptor Activity -> Biodomain: Synapse, Apoptosis, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Antigen Processing And Presentation Of Endogenous Peptide Antigen Via Mhc Class I -> Biodomain: Immune Response, Proteostasis, Endolysosome, Autophagy, Apoptosis
GO Term: Antigen Processing And Presentation Of Exogenous Peptide Antigen Via Mhc Class Ii -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Apoptosis
GO Term: Protein Kinase Regulator Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Epigenetic, DNA Repair
GO Term: Protein Phosphatase Regulator Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Oxidative Stress, DNA Repair
GO Term: Kinesin Binding -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Synapse, Autophagy
GO Term: Axonal Transport Of Mitochondrion -> Biodomain: Mitochondrial Metabolism, Synapse, Structural Stabilization, Proteostasis, Oxidative Stress
GO Term: Extrinsic Component Of Plasma Membrane -> Biodomain: Structural Stabilization, Synapse, Immune Response, Lipid Metabolism, Proteostasis
GO Term: Extrinsic Component Of Membrane -> Biodomain: Proteostasis, Structural Stabilization, Synapse, Lipid Metabolism, Endolysosome
GO Term: Enzyme Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Oxidative Stress, Endolysosome
GO Term: Kinase Binding -> Biodomain: Cell Cycle, Proteostasis, Apoptosis, Immune Response, DNA Repair
GO Term: Protein Kinase Binding -> Biodomain: Cell Cycle, Immune Response, Apoptosis, Proteostasis, Autophagy
GO Term: Phosphatase Binding -> Biodomain: Proteostasis, Cell Cycle, Immune Response, Apoptosis, Tau Homeostasis
GO Term: Protein Phosphatase Binding -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Protein Domain Specific Binding -> Biodomain: Proteostasis, Structural Stabilization, Synapse, APP Metabolism, Tau Homeostasis
GO Term: Syntaxin Binding -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Nuclear Cyclin-Dependent Protein Kinase Holoenzyme Complex -> Biodomain: Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Proteostasis
GO Term: Structural Constituent Of Myelin Sheath -> Biodomain: Myelination, Structural Stabilization, Lipid Metabolism, Synapse, Proteostasis
GO Term: Cyclin-Dependent Protein Kinase Regulator Activity -> Biodomain: Cell Cycle, Apoptosis, Proteostasis, DNA Repair, Epigenetic
GO Term: Lipid Storage -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Autophagy, Proteostasis, Endolysosome
GO Term: Peptidyl-Arginine Methylation, To Symmetrical-Dimethyl Arginine -> Biodomain: Epigenetic, Proteostasis, DNA Repair, Cell Cycle, Structural Stabilization
GO Term: Camp-Mediated Signaling -> Biodomain: Synapse, Immune Response, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Cgmp-Mediated Signaling -> Biodomain: Vasculature, Synapse, Oxidative Stress, Proteostasis, Mitochondrial Metabolism
GO Term: Modification-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Autophagy, Endolysosome, Oxidative Stress, Apoptosis
GO Term: Sumo Activating Enzyme Activity -> Biodomain: Proteostasis, Autophagy, Apoptosis, Epigenetic, DNA Repair
GO Term: Sexual Reproduction -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Apoptosis, Lipid Metabolism
GO Term: Cytokine Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Autophagy, Oxidative Stress
GO Term: Chemokine Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Vasculature, Oxidative Stress
GO Term: C-C Chemokine Binding -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Endolysosome, Apoptosis
GO Term: C-X-C Chemokine Binding -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Interleukin-8 Binding -> Biodomain: Immune Response, Apoptosis, Vasculature, Oxidative Stress, Proteostasis
GO Term: C-X3-C Chemokine Binding -> Biodomain: Immune Response, Vasculature, Apoptosis, Proteostasis, Synapse
GO Term: Type I Interferon Binding -> Biodomain: Immune Response, Apoptosis, Autophagy, Cell Cycle, Proteostasis
GO Term: Type Ii Interferon Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Synapse, Autophagy
GO Term: Interleukin-1 Binding -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Oxidative Stress
GO Term: Interleukin-10 Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome
GO Term: Interleukin-11 Binding -> Biodomain: Immune Response, Proteostasis, Apoptosis, Endolysosome, Synapse
GO Term: Interleukin-2 Binding -> Biodomain: Immune Response, Apoptosis, Cell Cycle, Proteostasis, Epigenetic
GO Term: Interleukin-6 Binding -> Biodomain: Immune Response, Apoptosis, Oxidative Stress, Autophagy, Proteostasis
GO Term: Interleukin-9 Binding -> Biodomain: Immune Response, Proteostasis, Cell Cycle, Apoptosis, Endolysosome
GO Term: Translesion Synthesis -> Biodomain: DNA Repair, Cell Cycle, Oxidative Stress, Epigenetic, Apoptosis
GO Term: Diacylglycerol Binding -> Biodomain: Lipid Metabolism, Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Apoptosis
GO Term: Symbiont-Containing Vacuole -> Biodomain: Endolysosome, Immune Response, Proteostasis, Autophagy, Apoptosis
GO Term: Ciliary Pocket Membrane -> Biodomain: Structural Stabilization, Lipid Metabolism, Endolysosome, Proteostasis, Cell Cycle
GO Term: Hemoglobin Metabolic Process -> Biodomain: Metal Binding and Homeostasis, Proteostasis, Endolysosome, Oxidative Stress, Autophagy
GO Term: Heme Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Prechordal Plate Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Autophagy
GO Term: Neural Fold Elevation Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Endolysosome
GO Term: Neural Fold Bending -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Vasculature, Epigenetic
GO Term: Floor Plate Formation -> Biodomain: Structural Stabilization, Synapse, Vasculature, Immune Response, Endolysosome
GO Term: Roof Plate Formation -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Epigenetic, Myelination
GO Term: Spinal Cord Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Cell Cycle
GO Term: Spinal Cord Patterning -> Biodomain: Structural Stabilization, Vasculature, Epigenetic, Lipid Metabolism, Synapse
GO Term: Spinal Cord Anterior/Posterior Patterning -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Spinal Cord Dorsal/Ventral Patterning -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Synapse, Epigenetic
GO Term: Ventral Spinal Cord Interneuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Myelination
GO Term: Cell Differentiation In Spinal Cord -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Dorsal Spinal Cord Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Cell Cycle
GO Term: Ventral Spinal Cord Development -> Biodomain: Structural Stabilization, Cell Cycle, Myelination, Epigenetic, RNA Spliceosome
GO Term: Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Cell Cycle, Epigenetic, RNA Spliceosome, Autophagy, Proteostasis
GO Term: Ventral Spinal Cord Interneuron Specification -> Biodomain: Epigenetic, Cell Cycle, Synapse, Structural Stabilization, Proteostasis
GO Term: Spinal Cord Motor Neuron Differentiation -> Biodomain: Cell Cycle, Epigenetic, Synapse, Structural Stabilization, Autophagy
GO Term: Somatic Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Visceral Motor Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Medial Motor Column Neuron Differentiation -> Biodomain: Structural Stabilization, Synapse, Myelination, Epigenetic, Autophagy
GO Term: Spinal Cord Association Neuron Differentiation -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Proteostasis
GO Term: Commissural Neuron Differentiation In Spinal Cord -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Spinal Cord Oligodendrocyte Cell Differentiation -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Lipid Metabolism, Proteostasis
GO Term: Spinal Cord Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Proteostasis
GO Term: Neural Tube Patterning -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Autophagy, Apoptosis
GO Term: Cell Differentiation In Hindbrain -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Autophagy, Proteostasis
GO Term: Cell Migration In Hindbrain -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Mitochondrial Metabolism
GO Term: Diencephalon Development -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Mitochondrial Metabolism
GO Term: Telencephalon Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Subthalamus Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Epigenetic
GO Term: Corpus Callosum Morphogenesis -> Biodomain: Myelination, Structural Stabilization, Synapse, Lipid Metabolism, Proteostasis
GO Term: Ammon Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Dentate Gyrus Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Epigenetic
GO Term: Pallium Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Subpallium Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Epigenetic
GO Term: Cranial Nerve Development -> Biodomain: Neurogenesis, Synapse, Peripheral Nervous System, Axonogenesis, Neural Crest
GO Term: Rhombomere Development -> Biodomain: Structural Stabilization, Epigenetic, RNA Spliceosome, Cell Cycle, Apoptosis
GO Term: Midbrain-Hindbrain Boundary Initiation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Autophagy
GO Term: Pons Development -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Epigenetic
GO Term: Cerebellum Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Central Nervous System Morphogenesis -> Biodomain: Myelination, Synapse, Vasculature, Structural Stabilization, Lipid Metabolism
GO Term: Olfactory Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Cell Cycle
GO Term: Optic Nerve Development -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Midbrain-Hindbrain Boundary Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic, Lipid Metabolism
GO Term: Central Nervous System Formation -> Biodomain: Myelination, Structural Stabilization, Cell Cycle, Epigenetic, Synapse
GO Term: Oculomotor Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Proteostasis
GO Term: Trochlear Nerve Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Apoptosis
GO Term: Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Lipid Metabolism
GO Term: Vestibulocochlear Nerve Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Proteostasis
GO Term: Glossopharyngeal Nerve Development -> Biodomain: Myelination, Synapse, Structural Stabilization, Lipid Metabolism, Autophagy
GO Term: Vagus Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Autophagy, Proteostasis
GO Term: Rhombomere 2 Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Myelination
GO Term: Rhombomere 3 Development -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Synapse, Myelination
GO Term: Rhombomere 4 Development -> Biodomain: Structural Stabilization, Vasculature, Synapse, Myelination, Autophagy
GO Term: Rhombomere 5 Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, RNA Spliceosome
GO Term: Rhombomere 6 Development -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, DNA Repair
GO Term: Hindbrain Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Apoptosis, Myelination
GO Term: Cerebellum Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Cell Cycle
GO Term: Cerebellum Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy
GO Term: Cerebellum Structural Organization -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Myelination
GO Term: Ventricular System Development -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Fourth Ventricle Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Epigenetic
GO Term: Abducens Nerve Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Cell Cycle
GO Term: Cranial Nerve Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Lipid Metabolism, Cell Cycle, Epigenetic
GO Term: Facial Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Vasculature
GO Term: Facial Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Vasculature
GO Term: Glossopharyngeal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Synapse, Proteostasis, Autophagy
GO Term: Hypoglossal Nerve Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Synapse, Cell Cycle, Vasculature
GO Term: Oculomotor Nerve Formation -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Central Nervous System Maturation -> Biodomain: Synapse, Myelination, Structural Stabilization, Cell Cycle, Epigenetic
GO Term: Olfactory Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Vasculature
GO Term: Olfactory Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Optic Nerve Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Mitochondrial Metabolism
GO Term: Optic Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Synapse, Vasculature, Proteostasis
GO Term: Trigeminal Nerve Morphogenesis -> Biodomain: Neurogenesis, Neuronal Development, Structural Stabilization, Cell Differentiation, Synapse
GO Term: Trigeminal Nerve Structural Organization -> Biodomain: Structural Stabilization, Myelination, Synapse, Vasculature, Proteostasis
GO Term: Trochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Vasculature, Autophagy, Cell Cycle
GO Term: Vagus Nerve Morphogenesis -> Biodomain: Structural Stabilization, Myelination, Synapse, Proteostasis, Autophagy
GO Term: Vestibulocochlear Nerve Maturation -> Biodomain: Synapse, Sensory Processing, Neurogenesis, Cranial Nerve Development, Auditory System
GO Term: Vestibulocochlear Nerve Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Vasculature
GO Term: Vestibulocochlear Nerve Formation -> Biodomain: Synapse, Structural Stabilization, Myelination, Epigenetic, Cell Cycle
GO Term: Rhombomere 3 Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Vasculature, Autophagy
GO Term: Rhombomere 3 Structural Organization -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Synapse, Myelination
GO Term: Rhombomere 3 Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Autophagy, Epigenetic
GO Term: Rhombomere 5 Structural Organization -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Rhombomere 5 Formation -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Synapse, Vasculature
GO Term: Lateral Ventricle Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Synapse
GO Term: Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Third Ventricle Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Apoptosis, Lipid Metabolism
GO Term: Cerebellar Purkinje Cell Layer Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Cerebellar Granular Layer Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Nerve Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Cerebellar Granular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Autophagy
GO Term: Cerebellar Granular Layer Structural Organization -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Autophagy, Endolysosome
GO Term: Cerebellar Granular Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Apoptosis
GO Term: Cerebellar Molecular Layer Morphogenesis -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Cerebellar Molecular Layer Formation -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Myelination, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Maturation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Proteostasis, Epigenetic
GO Term: Cerebellar Purkinje Cell Layer Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Cell Cycle, Autophagy
GO Term: Cerebellar Purkinje Cell Layer Structural Organization -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Proteostasis
GO Term: Cerebellar Purkinje Cell Layer Formation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Cerebellar Cortex Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Proteostasis
GO Term: Cerebellar Cortex Morphogenesis -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Autophagy
GO Term: Cerebellar Cortex Formation -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Vasculature
GO Term: Developmental Maturation -> Biodomain: Cell Cycle, Epigenetic, Myelination, Structural Stabilization, Autophagy
GO Term: Cerebellar Purkinje Cell Differentiation -> Biodomain: Synapse, Proteostasis, Cell Cycle, Epigenetic, Structural Stabilization
GO Term: Locus Ceruleus Development -> Biodomain: Synapse, Mitochondrial Metabolism, Oxidative Stress, Structural Stabilization, Myelination
GO Term: Cerebellar Granule Cell Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Apoptosis, Proteostasis
GO Term: Superior Olivary Nucleus Maturation -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Medullary Reticular Formation Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Endolysosome
GO Term: Principal Sensory Nucleus Of Trigeminal Nerve Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Epigenetic
GO Term: Abducens Nucleus Development -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Autophagy, Epigenetic
GO Term: Hypoglossal Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Cochlear Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Immune Response
GO Term: Vestibular Nucleus Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Myelination, Synapse
GO Term: Facial Nucleus Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Proteostasis
GO Term: Striatum Development -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Epigenetic, Vasculature
GO Term: Caudate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Immune Response, Myelination
GO Term: Putamen Development -> Biodomain: Structural Stabilization, Synapse, Cell Cycle, Epigenetic, Apoptosis
GO Term: Globus Pallidus Development -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Epigenetic
GO Term: Limbic System Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Vasculature, Immune Response
GO Term: Substantia Nigra Development -> Biodomain: Synapse, Structural Stabilization, Mitochondrial Metabolism, Oxidative Stress, Proteostasis
GO Term: Subthalamic Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Autophagy
GO Term: Amygdala Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Apoptosis, Immune Response
GO Term: Hippocampus Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Cell Cycle, Epigenetic
GO Term: Mammillary Body Development -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Nucleus Accumbens Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Myelination, Epigenetic
GO Term: Orbitofrontal Cortex Development -> Biodomain: Synapse, Myelination, Structural Stabilization, Vasculature, Immune Response
GO Term: Lateral Geniculate Nucleus Development -> Biodomain: Synapse, Structural Stabilization, Neurogenesis, Axon Guidance, Synaptic Signaling
GO Term: Olfactory Bulb Development -> Biodomain: Synapse, Structural Stabilization, Neurogenesis, Axon Guidance, Cell Differentiation
GO Term: Striatal Medium Spiny Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Cell Cycle
GO Term: Smoothened Signaling Pathway Involved In Ventral Spinal Cord Interneuron Specification -> Biodomain: Lipid Metabolism, Epigenetic, Synapse, Proteostasis, Cell Cycle
GO Term: Smoothened Signaling Pathway Involved In Spinal Cord Motor Neuron Cell Fate Specification -> Biodomain: Synapse, Proteostasis, Cell Cycle, Structural Stabilization, Autophagy
GO Term: Oligodendrocyte Cell Fate Specification -> Biodomain: Myelination, Cell Cycle, Structural Stabilization, Synapse, Epigenetic
GO Term: Oligodendrocyte Cell Fate Commitment -> Biodomain: Myelination, Synapse, Cell Cycle, Structural Stabilization, Proteostasis
GO Term: Glial Cell Fate Specification -> Biodomain: Myelination, Cell Cycle, Epigenetic, RNA Spliceosome, Lipid Metabolism
GO Term: Glial Cell Fate Commitment -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Glial Cell Development -> Biodomain: Myelination, Synapse, Structural Stabilization, Cell Cycle, Proteostasis
GO Term: Postganglionic Parasympathetic Fiber Development -> Biodomain: Synapse, Structural Stabilization, Vasculature, Proteostasis, Lipid Metabolism
GO Term: Branchiomotor Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Autophagy
GO Term: Chemorepulsion Of Branchiomotor Axon -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Tau Homeostasis, Cell Cycle
GO Term: Thalamus Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism, Synapse
GO Term: Cerebral Cortex Cell Migration -> Biodomain: Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Oxidative Stress, Synapse
GO Term: Cerebral Cortex Regionalization -> Biodomain: Structural Stabilization, Synapse, Myelination, Vasculature, Epigenetic
GO Term: Forebrain Anterior/Posterior Pattern Specification -> Biodomain: Epigenetic, Synapse, Structural Stabilization, Cell Cycle, Autophagy
GO Term: Forebrain Dorsal/Ventral Pattern Formation -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Proteostasis, Cell Cycle
GO Term: Cerebral Cortex Radially Oriented Cell Migration -> Biodomain: Structural Stabilization, Mitochondrial Metabolism, Proteostasis, Lipid Metabolism, Epigenetic
GO Term: Cerebral Cortex Tangential Migration -> Biodomain: Structural Stabilization, Synapse, Vasculature, Myelination, Cell Cycle
GO Term: Cerebral Cortex Radial Glia-Guided Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Mitochondrial Metabolism, Autophagy
GO Term: Neuronal-Glial Interaction Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Proteostasis, Lipid Metabolism
GO Term: Cell-Cell Adhesion Involved In Neuronal-Glial Interactions Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Lipid Metabolism, Cell Cycle
GO Term: Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Autophagy
GO Term: Extension Of A Leading Process Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Cell Cycle, Synapse, Myelination, Proteostasis
GO Term: Nucleokinesis Involved In Cell Motility In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Layer Formation In Cerebral Cortex -> Biodomain: Structural Stabilization, Synapse, Myelination, Cell Cycle, Autophagy
GO Term: Negative Regulation Of Cell Motility Involved In Cerebral Cortex Radial Glia Guided Migration -> Biodomain: Synapse, Structural Stabilization, Tau Homeostasis, Cell Cycle, Autophagy
GO Term: Gonadotrophin-Releasing Hormone Neuronal Migration To The Hypothalamus -> Biodomain: Synapse, Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis
GO Term: Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Structural Stabilization, Synapse, Vasculature, Cell Cycle, Proteostasis
GO Term: Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Structural Stabilization, Synapse, Epigenetic, Proteostasis, Lipid Metabolism
GO Term: Chemorepulsion Involved In Embryonic Olfactory Bulb Interneuron Precursor Migration -> Biodomain: Synapse, Immune Response, Vasculature, Cell Cycle, Proteostasis
GO Term: Chemorepulsion Involved In Postnatal Olfactory Bulb Interneuron Migration -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Autophagy, Immune Response
GO Term: Chemorepulsion Involved In Interneuron Migration From The Subpallium To The Cortex -> Biodomain: Synapse, Structural Stabilization, Proteostasis, Vasculature, Immune Response
GO Term: Cell Proliferation In Forebrain -> Biodomain: Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, DNA Repair, Autophagy
GO Term: Ventricular Zone Neuroblast Division -> Biodomain: Cell Cycle, Structural Stabilization, Synapse, Epigenetic, Proteostasis
GO Term: Neuroblast Division In Subventricular Zone -> Biodomain: Cell Cycle, Neurogenesis, Neurodevelopment, Neuronal Migration, Tissue Regeneration
GO Term: Pyramidal Neuron Migration To Cerebral Cortex -> Biodomain: Structural Stabilization, Synapse, Lipid Metabolism, Cell Cycle, Autophagy
GO Term: Cerebral Cortex Gabaergic Interneuron Migration -> Biodomain: Structural Stabilization, Synapse, Vasculature, Lipid Metabolism, Epigenetic
GO Term: Hypothalamus Development -> Biodomain: Neurodevelopment, Structural Stabilization, Vasculature, Immune Response, Endolysosome
GO Term: Hypothalamus Cell Migration -> Biodomain: Structural Stabilization, Synapse, Vasculature, Proteostasis, Autophagy
GO Term: Gabaergic Neuron Differentiation In Basal Ganglia -> Biodomain: Synapse, Epigenetic, Structural Stabilization, Proteostasis, Cell Cycle
GO Term: Pyramidal Neuron Differentiation -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Autophagy, Epigenetic
GO Term: Pyramidal Neuron Development -> Biodomain: Synapse, Structural Stabilization, Myelination, Tau Homeostasis, Proteostasis
