Running with TEMP=0.5, sub_array_index=14
Changed working directory to: /panfs/compbio/users/xran2/wen/JX/02-AI-BioDomain/git_folder
Processing array index 14: rows 13000 to 13999
GO Term: Peroxynitrite Isomerase Activity -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Apoptosis, Metal Binding and Homeostasis
GO Term: Positive Regulation Of Ip-10 Production -> Biodomain: Immune Response, Oxidative Stress, Proteostasis, Autophagy, Apoptosis
GO Term: Positive Regulation Of Granzyme B Production -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Catenin-Tcf7L2 Complex -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Proteostasis
GO Term: Gamma-Catenin-Tcf7L2 Complex -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Proteostasis, Apoptosis
GO Term: Dna/Rna Hybrid Binding -> Biodomain: Epigenetic, DNA Repair, RNA Spliceosome, Structural Stabilization, Metal Binding and Homeostasis
GO Term: Smooth Muscle Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Proteostasis, Lipid Metabolism
GO Term: Negative Regulation Of Smooth Muscle Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Proteostasis, Structural Stabilization, Lipid Metabolism
GO Term: Positive Regulation Of Smooth Muscle Cell Chemotaxis -> Biodomain: Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Mononuclear Cell Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Structural Stabilization, Apoptosis
GO Term: Regulation Of Mononuclear Cell Migration -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Apoptosis, Endolysosome
GO Term: Negative Regulation Of Mononuclear Cell Migration -> Biodomain: Immune Response, Apoptosis, Proteostasis, Structural Stabilization, Vasculature
GO Term: Positive Regulation Of Mononuclear Cell Migration -> Biodomain: Immune Response, Vasculature, Endolysosome, Proteostasis, Apoptosis
GO Term: Olfactory Bulb Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Myelination, Proteostasis, Epigenetic
GO Term: Commissural Neuron Axon Guidance -> Biodomain: Synapse, Structural Stabilization, Cell Cycle, Myelination, Proteostasis
GO Term: Response To Indole-3-Methanol -> Biodomain: Oxidative Stress, Autophagy, Apoptosis, Epigenetic, Mitochondrial Metabolism
GO Term: Cellular Response To Indole-3-Methanol -> Biodomain: Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism, Apoptosis
GO Term: Endocytic Vesicle Lumen -> Biodomain: Endolysosome, Proteostasis, Autophagy, APP Metabolism, Lipid Metabolism
GO Term: Cardiac Muscle Thin Filament Assembly -> Biodomain: Structural Stabilization, Proteostasis, Autophagy, Cell Cycle, Mitochondrial Metabolism
GO Term: Protein Localization To Extracellular Region -> Biodomain: Proteostasis, Immune Response, Vasculature, Synapse, APP Metabolism
GO Term: Protein Transport Within Extracellular Region -> Biodomain: Immune Response, Vasculature, APP Metabolism, Proteostasis, Synapse
GO Term: Immunoglobulin Heavy Chain V-D-J Recombination -> Biodomain: Immune Response, DNA Repair, Cell Cycle, Epigenetic, Proteostasis
GO Term: Membrane Assembly -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Basement Membrane Organization -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Synapse
GO Term: Para-Aminobenzoyl-Glutamate Hydrolase Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Epigenetic, Autophagy
GO Term: Icosanoid Transmembrane Transporter Activity -> Biodomain: Lipid Metabolism, Immune Response, Vasculature, Endolysosome, Oxidative Stress
GO Term: Leukotriene Transport -> Biodomain: Immune Response, Lipid Metabolism, Endolysosome, Apoptosis, Oxidative Stress
GO Term: Detoxification Of Arsenic-Containing Substance -> Biodomain: Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Endolysosome, Mitochondrial Metabolism
GO Term: Lipopeptide Binding -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress, Endolysosome
GO Term: Cellular Response To Diacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Endolysosome, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Cellular Response To Triacyl Bacterial Lipopeptide -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Endolysosome, Autophagy
GO Term: Response To Nitric Oxide -> Biodomain: Oxidative Stress, Immune Response, Vasculature, Apoptosis, Mitochondrial Metabolism
GO Term: Cellular Response To Nitric Oxide -> Biodomain: Oxidative Stress, Immune Response, Mitochondrial Metabolism, Vasculature, Apoptosis
GO Term: Igg Immunoglobulin Complex -> Biodomain: Immune Response, Vasculature, Structural Stabilization, Proteostasis, Synapse
GO Term: Igd Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Synapse, Endolysosome, Vasculature
GO Term: Ige Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Vasculature
GO Term: Ige B Cell Receptor Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Apoptosis, Autophagy
GO Term: Iga Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Endolysosome, Apoptosis, Vasculature
GO Term: Monomeric Iga Immunoglobulin Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Apoptosis
GO Term: Dimeric Iga Immunoglobulin Complex -> Biodomain: Immune Response, Endolysosome, Vasculature, Proteostasis, Structural Stabilization
GO Term: Secretory Iga Immunoglobulin Complex -> Biodomain: Immune Response, Endolysosome, Proteostasis, Synapse, Vasculature
GO Term: Secretory Dimeric Iga Immunoglobulin Complex -> Biodomain: Immune Response, Vasculature, Proteostasis, Endolysosome, Metal Binding and Homeostasis
GO Term: Igm Immunoglobulin Complex -> Biodomain: Immune Response, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Igm B Cell Receptor Complex -> Biodomain: Immune Response, Synapse, Proteostasis, Structural Stabilization, Vasculature
GO Term: Pentameric Igm Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Vasculature, Lipid Metabolism
GO Term: Hexameric Igm Immunoglobulin Complex -> Biodomain: Immune Response, Proteostasis, Structural Stabilization, Endolysosome, Lipid Metabolism
GO Term: Nuclear Membrane Organization -> Biodomain: Structural Stabilization, Lipid Metabolism, Cell Cycle, Apoptosis, Autophagy
GO Term: Nuclear Inner Membrane Organization -> Biodomain: Structural Stabilization, Cell Cycle, Lipid Metabolism, Epigenetic, DNA Repair
GO Term: Cellular Response To Bmp Stimulus -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Apoptosis, Cell Cycle
GO Term: Response To Fibroblast Growth Factor -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Immune Response, Cell Cycle
GO Term: Endoplasmic Reticulum Tubular Network -> Biodomain: Proteostasis, Lipid Metabolism, Structural Stabilization, Endolysosome, Autophagy
GO Term: Endoplasmic Reticulum Tubular Network Organization -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Autophagy
GO Term: Endoplasmic Reticulum Tubular Network Formation -> Biodomain: Structural Stabilization, Lipid Metabolism, Proteostasis, Autophagy, Endolysosome
GO Term: Endoplasmic Reticulum Tubular Network Maintenance -> Biodomain: Structural Stabilization, Proteostasis, Lipid Metabolism, Autophagy, Mitochondrial Metabolism
GO Term: Chemokine (C-C Motif) Ligand 5 Binding -> Biodomain: Immune Response, Synapse, Vasculature, Apoptosis, Proteostasis
GO Term: K11-Linked Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Apoptosis, Endolysosome, Mitochondrial Metabolism
GO Term: K6-Linked Polyubiquitin Modification-Dependent Protein Binding -> Biodomain: Proteostasis, Autophagy, Endolysosome, Apoptosis, Ubiquitin Proteasome System
GO Term: Lubac Complex -> Biodomain: Proteostasis, Immune Response, Apoptosis, Autophagy, Structural Stabilization
GO Term: Cellular Response To Prostaglandin D Stimulus -> Biodomain: Immune Response, Lipid Metabolism, Apoptosis, Oxidative Stress, Vasculature
GO Term: Podosome Assembly -> Biodomain: Structural Stabilization, Immune Response, Proteostasis, Synapse, Vasculature
GO Term: Regulation Of Podosome Assembly -> Biodomain: Structural Stabilization, Proteostasis, Immune Response, Cell Cycle, Vasculature
GO Term: Positive Regulation Of Podosome Assembly -> Biodomain: Structural Stabilization, Immune Response, Vasculature, Proteostasis, Apoptosis
GO Term: Potassium Ion Transmembrane Transport -> Biodomain: Synapse, Vasculature, Immune Response, Apoptosis, Metal Binding and Homeostasis
GO Term: Protein Transmembrane Transport -> Biodomain: Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Synapse
GO Term: Positive Regulation Of Fever Generation By Positive Regulation Of Prostaglandin Secretion -> Biodomain: Immune Response, Lipid Metabolism, Proteostasis, Oxidative Stress, Autophagy
GO Term: Lipoprotein Particle Binding -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Vasculature, Immune Response
GO Term: Tail-Anchored Membrane Protein Insertion Into Er Membrane -> Biodomain: Proteostasis, Endolysosome, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Mmxd Complex -> Biodomain: Cell Cycle, DNA Repair, Structural Stabilization, Mitochondrial Metabolism, Metal Binding and Homeostasis
GO Term: Bat3 Complex -> Biodomain: Proteostasis, Endolysosome, Autophagy, Apoptosis, Structural Stabilization
GO Term: Dubm Complex -> Biodomain: Epigenetic, Proteostasis, Cell Cycle, Autophagy, DNA Repair
GO Term: N-Box Binding -> Biodomain: Synapse, Epigenetic, Proteostasis, Structural Stabilization, DNA Repair
GO Term: Fancm-Mhf Complex -> Biodomain: DNA Repair, Cell Cycle, Structural Stabilization, Epigenetic, Proteostasis
GO Term: Triglyceride-Rich Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Vasculature
GO Term: Intermediate-Density Lipoprotein Particle Clearance -> Biodomain: Lipid Metabolism, Endolysosome, Proteostasis, Vasculature, Autophagy
GO Term: Hmg Box Domain Binding -> Biodomain: DNA Repair, Epigenetic, Metal Binding and Homeostasis, Proteostasis, Cell Cycle
GO Term: Cell Proliferation In Bone Marrow -> Biodomain: Cell Cycle, Immune Response, DNA Repair, Lipid Metabolism, Epigenetic
GO Term: Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, Immune Response, Cell Cycle, Proteostasis, Autophagy
GO Term: Actin Filament Debranching -> Biodomain: Structural Stabilization, Cytoskeletal Organization, Proteostasis, Autophagy, Cell Cycle
GO Term: Neuropeptide Receptor Binding -> Biodomain: Synapse, Proteostasis, Lipid Metabolism, Mitochondrial Metabolism, Cell Cycle
GO Term: Regulation Of Cell Proliferation In Bone Marrow -> Biodomain: Immune Response, Cell Cycle, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Positive Regulation Of Cell Proliferation In Bone Marrow -> Biodomain: Cell Cycle, Hematopoiesis, Immune Response, Apoptosis, Structural Stabilization
GO Term: Negative Regulation Of Apoptotic Process In Bone Marrow Cell -> Biodomain: Apoptosis, Immune Response, Vasculature, Cell Cycle, Proteostasis
GO Term: Response To Catecholamine -> Biodomain: Synapse, Vasculature, Oxidative Stress, Immune Response, Mitochondrial Metabolism
GO Term: Cellular Response To Catecholamine Stimulus -> Biodomain: Synapse, Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism
GO Term: Response To Epinephrine -> Biodomain: Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Autophagy, Immune Response
GO Term: Cellular Response To Epinephrine Stimulus -> Biodomain: Vasculature, Synapse, Lipid Metabolism, Mitochondrial Metabolism, Immune Response
GO Term: Response To Norepinephrine -> Biodomain: Vasculature, Oxidative Stress, Immune Response, Synapse, Proteostasis
GO Term: Cellular Response To Norepinephrine Stimulus -> Biodomain: Vasculature, Synapse, Immune Response, Oxidative Stress, Proteostasis
GO Term: Adrenergic Receptor Signaling Pathway -> Biodomain: Vasculature, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress, Proteostasis
GO Term: Regulation Of Adenylate Cyclase-Inhibiting Adrenergic Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Proteostasis, Mitochondrial Metabolism, Oxidative Stress
GO Term: Negative Regulation Of Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway -> Biodomain: Signal Transduction, Cell Communication, Oxidative Stress, Vasculature, Proteostasis
GO Term: Positive Regulation Of Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway -> Biodomain: Synapse, Vasculature, Proteostasis, Immune Response, Oxidative Stress
GO Term: Adenylate Cyclase-Activating Adrenergic Receptor Signaling Pathway -> Biodomain: Signaling, Metabolism, Cardiovascular, Neurotransmission, Immune Response
GO Term: Adenylate Cyclase-Inhibiting Adrenergic Receptor Signaling Pathway -> Biodomain: Signal Transduction, Neurotransmission, Synapse, GPCR Signaling, Cell Signaling
GO Term: Phospholipase C-Activating Adrenergic Receptor Signaling Pathway -> Biodomain: Lipid Metabolism, Vasculature, Synapse, Proteostasis, Epigenetic
GO Term: N-Terminal Protein N-Methyltransferase Activity -> Biodomain: Proteostasis, Epigenetic, Structural Stabilization, Autophagy, Mitochondrial Metabolism
GO Term: 1-(4-Iodo-2,5-Dimethoxyphenyl)Propan-2-Amine Binding -> Biodomain: Synapse, Proteostasis, Immune Response, Vasculature, Oxidative Stress
GO Term: Leukocyte Apoptotic Process -> Biodomain: Immune Response, Apoptosis, Proteostasis, Endolysosome, Autophagy
GO Term: Macrophage Apoptotic Process -> Biodomain: Apoptosis, Immune Response, Oxidative Stress, Proteostasis, Endolysosome
GO Term: 14-3-3 Protein Binding -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Synapse, Structural Stabilization
GO Term: Bicarbonate Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Metal Binding and Homeostasis, Proteostasis, Autophagy
GO Term: Odontoblast Differentiation -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Protein Localization To Adherens Junction -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Endolysosome, Autophagy
GO Term: Dna Biosynthetic Process -> Biodomain: Cell Cycle, DNA Repair, Mitochondrial Metabolism, Epigenetic, Proteostasis
GO Term: Regulation Of Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Autophagy, Oxidative Stress
GO Term: Negative Regulation Of Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Apoptosis, Cell Cycle, Immune Response, Oxidative Stress
GO Term: Positive Regulation Of Protein Serine/Threonine Kinase Activity -> Biodomain: Proteostasis, Cell Cycle, Apoptosis, Autophagy, Oxidative Stress
GO Term: Determination Of Digestive Tract Left/Right Asymmetry -> Biodomain: Structural Stabilization, Epigenetic, Vasculature, Endolysosome, Autophagy
GO Term: Determination Of Intestine Left/Right Asymmetry -> Biodomain: Epigenetic, Cell Cycle, Structural Stabilization, Autophagy, Apoptosis
GO Term: Determination Of Stomach Left/Right Asymmetry -> Biodomain: Structural Stabilization, Epigenetic, DNA Repair, Cell Cycle, Autophagy
GO Term: Determination Of Liver Left/Right Asymmetry -> Biodomain: Epigenetic, Structural Stabilization, Cell Cycle, Vasculature, Lipid Metabolism
GO Term: Synchronous Neurotransmitter Secretion -> Biodomain: Synapse, Proteostasis, Structural Stabilization, Endolysosome, Autophagy
GO Term: Citrate Secondary Active Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Lipid Metabolism, Metal Binding and Homeostasis, Oxidative Stress, Proteostasis
GO Term: Prominosome -> Biodomain: Endolysosome, Proteostasis, Synapse, Vasculature, Lipid Metabolism
GO Term: Dipeptide Transmembrane Transporter Activity -> Biodomain: Mitochondrial Metabolism, Proteostasis, Endolysosome, Autophagy, Immune Response
GO Term: Urea Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Vasculature, Proteostasis, Oxidative Stress, Endolysosome
GO Term: G-Quadruplex Dna Formation -> Biodomain: DNA Repair, Epigenetic, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis
GO Term: Cleavage Body -> Biodomain: RNA Spliceosome, Proteostasis, Epigenetic, Autophagy, DNA Repair
GO Term: Endocannabinoid Signaling Pathway -> Biodomain: Lipid Metabolism, Synapse, Immune Response, Oxidative Stress, Proteostasis
GO Term: Alpha-Tubulin Acetylation -> Biodomain: Structural Stabilization, Proteostasis, Cell Cycle, Autophagy, Mitochondrial Metabolism
GO Term: Replication Fork Reversal -> Biodomain: DNA Repair, Cell Cycle, Apoptosis, Oxidative Stress, Autophagy
GO Term: Arp2/3 Complex Binding -> Biodomain: Structural Stabilization, Synapse, Proteostasis, Cell Cycle, Endolysosome
GO Term: Thiamine Transmembrane Transport -> Biodomain: Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Endolysosome, Lipid Metabolism
GO Term: Vitamin A Import Into Cell -> Biodomain: Lipid Metabolism, Proteostasis, Endolysosome, Oxidative Stress, Immune Response
GO Term: Nitrogen Cycle Metabolic Process -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Xpc Complex -> Biodomain: DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy
GO Term: Myc-Max Complex -> Biodomain: Epigenetic, Cell Cycle, DNA Repair, Apoptosis, Lipid Metabolism
GO Term: Cell Periphery -> Biodomain: Structural Stabilization, Lipid Metabolism, Immune Response, Endolysosome, Synapse
GO Term: Protein Deubiquitination Involved In Ubiquitin-Dependent Protein Catabolic Process -> Biodomain: Proteostasis, Ubiquitin Proteasome Pathway, Autophagy, Endolysosome, Apoptosis
GO Term: Fad Binding -> Biodomain: Mitochondrial Metabolism, Oxidative Stress, Lipid Metabolism, Proteostasis, Metal Binding and Homeostasis
GO Term: Conversion Of Methionyl-Trna To N-Formyl-Methionyl-Trna -> Biodomain: Mitochondrial Metabolism, Proteostasis, Autophagy, Oxidative Stress, Endolysosome
GO Term: Elastic Fiber -> Biodomain: Structural Stabilization, Vasculature, Lipid Metabolism, Endolysosome, Proteostasis
GO Term: Recycling Endosome To Golgi Transport -> Biodomain: Endolysosome, Proteostasis, Autophagy, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Mitotic Sister Chromatid Cohesion, Centromeric -> Biodomain: Cell Cycle, Structural Stabilization, DNA Repair, Proteostasis, Epigenetic
GO Term: Establishment Or Maintenance Of Cell Polarity Regulating Cell Shape -> Biodomain: Structural Stabilization, Cell Cycle, Proteostasis, Autophagy, Lipid Metabolism
GO Term: Multicellular Organismal Locomotion -> Biodomain: Synapse, Mitochondrial Metabolism, Vasculature, Lipid Metabolism, Structural Stabilization
GO Term: Extracellular Exosome Assembly -> Biodomain: Proteostasis, Endolysosome, Synapse, Immune Response, Lipid Metabolism
GO Term: Cell Gliding -> Biodomain: Cell Cycle, Structural Stabilization, Proteostasis, Autophagy, Synapse
GO Term: Multivesicular Body Sorting Pathway -> Biodomain: Endolysosome, Proteostasis, Autophagy, Protein Degradation, Immune Response
GO Term: Ragulator Complex -> Biodomain: Autophagy, Proteostasis, Endolysosome, Mitochondrial Metabolism, Oxidative Stress
GO Term: Wd40-Repeat Domain Binding -> Biodomain: Proteostasis, Structural Stabilization, Epigenetic, Cell Cycle, Autophagy
GO Term: Renal System Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Kidney Rudiment Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Nephron Development -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Epigenetic, RNA Spliceosome
GO Term: Glomerular Epithelium Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Lipid Metabolism
GO Term: Glomerular Endothelium Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Endolysosome, Proteostasis
GO Term: Glomerulus Vasculature Development -> Biodomain: Vasculature, Structural Stabilization, Immune Response, Apoptosis, Lipid Metabolism
GO Term: Proximal Tubule Development -> Biodomain: Structural Stabilization, Vasculature, Metal Binding and Homeostasis, Cell Cycle, Epigenetic
GO Term: Podocyte Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Proteostasis, Oxidative Stress
GO Term: Glomerular Parietal Epithelial Cell Development -> Biodomain: Vasculature, Structural Stabilization, Epigenetic, Proteostasis, Cell Cycle
GO Term: Distal Tubule Development -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Apoptosis
GO Term: Nephron Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Renal Vesicle Formation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Proteostasis
GO Term: Renal Vesicle Induction -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Immune Response
GO Term: Mesenchymal Stem Cell Maintenance Involved In Nephron Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, DNA Repair, Vasculature
GO Term: Negative Regulation Of Mesenchymal Cell Apoptotic Process Involved In Nephron Morphogenesis -> Biodomain: Apoptosis, Structural Stabilization, Cell Cycle, Vasculature, Proteostasis
GO Term: Collecting Duct Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Metal Binding and Homeostasis, Epigenetic
GO Term: Establishment Of Planar Polarity Involved In Nephron Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Lipid Metabolism
GO Term: Proximal/Distal Pattern Formation Involved In Nephron Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Epigenetic
GO Term: Comma-Shaped Body Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: S-Shaped Body Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Apoptosis
GO Term: Juxtaglomerular Apparatus Development -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Proteostasis, Autophagy
GO Term: Renal Inner Medulla Development -> Biodomain: Structural Stabilization, Vasculature, Mitochondrial Metabolism, Endolysosome, Apoptosis
GO Term: Renal Outer Medulla Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Lipid Metabolism, Apoptosis
GO Term: Outer Medullary Collecting Duct Development -> Biodomain: Vasculature, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Oxidative Stress
GO Term: Inner Medullary Collecting Duct Development -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Autophagy, Endolysosome
GO Term: Loop Of Henle Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Proteostasis
GO Term: Kidney Epithelium Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Endolysosome
GO Term: Metanephric Mesenchyme Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Nephrogenic Mesenchyme Development -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Autophagy, Vasculature
GO Term: Renal Vesicle Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Vasculature
GO Term: Nephron Tubule Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Nephron Tubule Formation -> Biodomain: Structural Stabilization, Cell Cycle, Vasculature, Epigenetic, Proteostasis
GO Term: Nephron Tubule Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, RNA Spliceosome
GO Term: Specification Of Loop Of Henle Identity -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Epigenetic, Lipid Metabolism
GO Term: Stem Cell Proliferation -> Biodomain: Cell Cycle, Stem Cell Biology, Developmental Biology, Epigenetic, DNA Repair
GO Term: Regulation Of Stem Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, Autophagy, Apoptosis, Immune Response
GO Term: Ureteric Bud Invasion -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Apoptosis, Immune Response
GO Term: Regulation Of Branch Elongation Involved In Ureteric Bud Branching -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Autophagy, Proteostasis
GO Term: Glomerulus Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Endolysosome, Immune Response, Apoptosis
GO Term: Glomerular Capillary Formation -> Biodomain: Vasculature, Structural Stabilization, Endolysosome, Autophagy, Lipid Metabolism
GO Term: Ureteric Peristalsis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Mitochondrial Metabolism, Lipid Metabolism
GO Term: Positive Regulation Of Ureteric Bud Formation -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Lipid Metabolism
GO Term: Positive Regulation Of Mesenchymal To Epithelial Transition Involved In Metanephros Morphogenesis -> Biodomain: Structural Stabilization, Epigenetic, Lipid Metabolism, Proteostasis, Cell Cycle
GO Term: Glomerular Mesangial Cell Proliferation -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, Immune Response, Oxidative Stress
GO Term: Cell Proliferation Involved In Kidney Development -> Biodomain: Cell Cycle, Vasculature, Structural Stabilization, DNA Repair, Lipid Metabolism
GO Term: Podocyte Differentiation -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Proteostasis, Oxidative Stress
GO Term: Regulation Of Glomerular Mesangial Cell Proliferation -> Biodomain: Vasculature, Immune Response, Structural Stabilization, Apoptosis, Proteostasis
GO Term: Negative Regulation Of Glomerular Mesangial Cell Proliferation -> Biodomain: Vasculature, Immune Response, Proteostasis, Apoptosis, Structural Stabilization
GO Term: Positive Regulation Of Glomerular Mesangial Cell Proliferation -> Biodomain: Vasculature, Cell Cycle, Structural Stabilization, Apoptosis, Immune Response
GO Term: Metanephric Mesenchyme Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Nephrogenic Mesenchyme Morphogenesis -> Biodomain: Structural Stabilization, Cell Cycle, Epigenetic, Apoptosis, Lipid Metabolism
GO Term: Metanephric Mesenchymal Cell Proliferation Involved In Metanephros Development -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Condensed Mesenchymal Cell Proliferation -> Biodomain: Cell Cycle, Epigenetic, DNA Repair, Lipid Metabolism, Mitochondrial Metabolism
GO Term: Mesenchymal Cell Proliferation Involved In Ureteric Bud Development -> Biodomain: Cell Cycle, Structural Stabilization, Vasculature, Epigenetic, Apoptosis
GO Term: Glomerular Parietal Epithelial Cell Differentiation -> Biodomain: Vasculature, Structural Stabilization, Proteostasis, Epigenetic, Cell Cycle
GO Term: Renal Interstitial Fibroblast Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Immune Response, Epigenetic
GO Term: Mesangial Cell Development -> Biodomain: Structural Stabilization, Vasculature, Cell Cycle, Epigenetic, Autophagy
GO Term: Glomerular Mesangial Cell Development -> Biodomain: Vasculature, Structural Stabilization, Cell Cycle, Immune Response, Apoptosis
GO Term: Epithelial Cell Fate Commitment -> Biodomain: Cell Cycle, Epigenetic, Structural Stabilization, Autophagy, Proteostasis
GO Term: Distal Tubule Morphogenesis -> Biodomain: Structural Stabilization, Vasculature, Proteostasis, Metal Binding and Homeostasis, Lipid Metabolism
GO Term: Nephron Tubule Epithelial Cell Differentiation -> Biodomain: Structural Stabilization, Epigenetic, Cell Cycle, Vasculature, Immune Response
